,,,,,,,,,,,,,,"Summary Statistics for Arts, Entertainment and Recreation  Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..Northern Mindanao,"..Creative, arts and entertainment activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..Northern Mindanao,"..Libraries, archives, museums and other cultural activities",3,221,221,-,100612,89957,15128,74829,36804,1896,209,-,-
..Northern Mindanao,..Gambling and betting activities,64,545,527,-,714718,614672,117268,497404,321447,-,-,-,-
..Northern Mindanao,..Sports activities,28,442,324,-,51874,40864,22682,18182,38224,577,-,-,-
..Northern Mindanao,..Other amusement and recreation activities,63,768,751,88,213580,182315,107391,74924,161646,161500,542,-,-
..Davao Region,"Arts, Entertainment and Recreation",232,4743,4572,95,2577043,2013003,710935,1302068,1380363,77159,19389,-,-
..Davao Region,"..Creative, arts and entertainment activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..Davao Region,"..Libraries, archives, museums and other cultural activities",8,279,257,15,39043,35536,13472,22064,19681,-,34,-,-
..Davao Region,..Gambling and betting activities,69,868,868,-,1369307,1022980,298197,724782,652339,-,3069,-,-
..Davao Region,..Sports activities,22,568,556,80,244652,201123,59716,141407,169383,30,-241,-,-
..Davao Region,..Other amusement and recreation activities,133,3028,2892,-,924042,753364,339550,413814,538960,77129,16527,-,-
..SOCCSKSARGEN,"Arts, Entertainment and Recreation",86,1174,1129,145,592927,491479,148935,342544,293958,9610,806,-,-
..SOCCSKSARGEN,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..SOCCSKSARGEN,"..Libraries, archives, museums and other cultural activities",,,,,,,,,,,,,
..SOCCSKSARGEN,..Gambling and betting activities,23,102,97,-,101276,88467,10220,78246,28232,1197,195,-,-
..SOCCSKSARGEN,..Sports activities,14,125,85,-,11158,9805,3975,5829,5847,-,-121,-,-
..SOCCSKSARGEN,..Other amusement and recreation activities,49,948,948,145,480493,393208,134740,258468,259878,8413,732,-,-
..Caraga,"Arts, Entertainment and Recreation",52,785,776,-,662942,534752,75422,459330,243186,660,4412,-,732
..Caraga,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..Caraga,"..Libraries, archives, museums and other cultural activities",,,,,,,,,,,,,
..Caraga,..Gambling and betting activities,14,346,346,-,482809,392506,39190,353315,152313,544,18,-,-
..Caraga,..Sports activities,7,53,45,-,10865,8569,4671,3898,8692,117,-2,-,-
..Caraga,..Other amusement and recreation activities,31,386,386,-,169268,133677,31561,102116,82181,-,4396,-,732
..Autonomous Region in Muslim Mindanao,"Arts, Entertainment and Recreation",c,c,c,c,c,c,c,c,c,c,c,c,c
..Autonomous Region in Muslim Mindanao,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,"..Libraries, archives, museums and other cultural activities",,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Gambling and betting activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Sports activities,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Other amusement and recreation activities,c,c,c,c,c,c,c,c,c,c,c,c,c
