,,,,,,,,,,,,,,,"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Gross Margin,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..Ilocos Region,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",517,3630,3630,-,4937464,4769867,438048,4331819,863080,657286,12168,72164,-,-
..Ilocos Region,..Wholesale on a fee or contract basis,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Wholesale of agricultural raw materials and live animals,78,645,592,-,855462,850222,39559,810663,123658,56021,272524,24967,-,17667
..Ilocos Region,"..Wholesale of food, beverages and tobacco",141,5569,5540,181,45239799,44649384,634704,44014681,1944059,1402788,12252,-942514,-,-
..Ilocos Region,..Wholesale of household goods,142,3052,3019,-,19908272,19058856,603799,18455057,2513183,1699300,16662,-87519,-,-
..Ilocos Region,"..Wholesale of machinery, equipment and supplies",36,170,166,-,557002,504393,32514,471879,99548,92924,28306,87682,-,-
..Ilocos Region,..Other specialized wholesale,109,1997,1967,599,8842656,8308167,467728,7840439,1663873,1011575,23324,69434,-,-
..Ilocos Region,..Non-specialized wholesale trade,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Retail sale in non-specialized stores,579,11840,11682,1915,50983331,49290495,1224375,48066120,7978981,3574788,118058,1078694,-,-
..Ilocos Region,"..Retail sale of food, beverages and tobacco in specialized stores",452,4899,4711,-,37926480,27816516,1361858,26454658,12356281,11737098,1880,-833740,-,-
..Ilocos Region,..Retail sale of automotive fuel in specialized stores,436,3798,3798,61,32078952,29140630,566558,28574072,4752565,3994876,44262,85899,-,-
..Ilocos Region,..Retail sale of information and communications equipment in specialized stores,244,2048,1936,-,31945085,31849567,423189,31426378,1613013,701721,501,500676,-,-
..Ilocos Region,..Retail sale of other household equipment in specialized stores,753,9422,9058,1685,10159129,9622440,848237,8774203,2444000,1716122,136410,65154,-,-
..Ilocos Region,..Retail sale of cultural and recreation goods in specialized stores,149,1043,994,25,3936913,3810217,106307,3703910,527346,319251,22041,-17814,-,-
..Ilocos Region,..Retail sale of other goods in specialized stores,1525,10092,9848,129,55936750,57736908,2768530,54968379,3762302,2296927,-,330488,-,-
..Ilocos Region,"..Retail trade not in stores, stalls or markets",s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,4080,43323,42219,816,176750008,163507338,5599155,157908183,32049375,23158901,853784,-3917299,-,-
..Cagayan Valley,..Sale of motor vehicles,43,934,934,-,10420672,10134121,141387,9992734,847201,575444,1250,-1171506,-,-
..Cagayan Valley,..Maintenance and repair of motor vehicles,s,s,s,s,s,s,s,s,s,s,s,s,s,s
