,,,,,,,,,,,,,,"Summary Statistics for Administrative and Support Service Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..MIMAROPA Region,..Travel agency and tour operator activities,10,91,91,-,47411,44347,11687,32660,16534,643,-13,-,-
..MIMAROPA Region,..Other reservation service and related activities,18,2219,2219,-,3330272,3089695,355586,2734110,640870,-,479,-,-
..MIMAROPA Region,..Private security activities,6,144,144,252,30593,29388,25744,3644,28160,-,50,-,-
..MIMAROPA Region,..Security systems service activities,,,,,,,,,,,,,
..MIMAROPA Region,..Investigation activities,,,,,,,,,,,,,
..MIMAROPA Region,..Combined facilities support activities,,,,,,,,,,,,,
..MIMAROPA Region,..Cleaning activities,4,153,153,-,25012,22559,15893,6666,19463,-,-117,-,-
..MIMAROPA Region,..Landscape care and maintenance service activities,1,4,4,-,10052,5696,634,5062,5005,-,1,-,-
..MIMAROPA Region,..Office administrative and support activities,14,47,47,-,15375,14964,4777,10186,5658,108,-37,-,-
..MIMAROPA Region,..Call centers and other related activities,3,323,323,-,30229,29258,15896,13362,18559,1006,-,-,-
..MIMAROPA Region,..Organization of conventions and trade shows,,,,,,,,,,,,,
..MIMAROPA Region,"..Business support service activities, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c
..Bicol Region,Administrative and Support Service Activities,110,9799,9648,-,5769663,4263935,3603625,660310,5252643,105735,-35132,771928,-
..Bicol Region,..Renting and leasing of motor vehicles,s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Renting and leasing of personal and household goods,11,66,57,-,9771,7007,2956,4051,41518,-,-35010,-,-
..Bicol Region,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,"..Leasing of intellectual property and  similar products, except copyrighted works",,,,,,,,,,,,,
..Bicol Region,..Activities of employment placement agencies,16,805,805,-,1733709,1665852,1631685,34167,1706105,5454,290,-,-
..Bicol Region,..Temporary employment agency activities,15,2399,2399,-,185469,168509,160836,7673,179423,-,-13,-,-
..Bicol Region,..Other human resources provision,,,,,,,,,,,,,
..Bicol Region,..Travel agency and tour operator activities,10,301,172,-,66735,60395,20704,39691,26261,-,-,-,-
..Bicol Region,..Other reservation service and related activities,5,51,51,-,18836,15768,6818,8950,11320,7890,-,-,-
..Bicol Region,..Private security activities,12,820,815,-,71850,60487,49668,10819,63935,8314,50,-,-
..Bicol Region,..Security systems service activities,,,,,,,,,,,,,
..Bicol Region,..Investigation activities,,,,,,,,,,,,,
..Bicol Region,..Combined facilities support activities,,,,,,,,,,,,,
..Bicol Region,..Cleaning activities,4,24,24,-,10871,8986,3343,5643,5610,350,60,-,-
..Bicol Region,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Bicol Region,..Office administrative and support activities,9,39,39,-,15878,14073,3977,10095,6260,117,6,-,-
..Bicol Region,..Call centers and other related activities,15,5213,5206,-,3628206,2237962,1716694,521268,3200782,66331,19,771928,-
..Bicol Region,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Bicol Region,"..Business support service activities, n.e.c.",10,63,63,-,8929,8426,5795,2631,6758,7945,-,-,-
..Western Visayas,Administrative and Support Service Activities,278,43139,43119,7648,28934582,25348113,9612454,15735659,14457159,193026,-996,97809,239892
..Western Visayas,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Western Visayas,..Renting and leasing of personal and household goods,9,72,72,-,20219,10596,5452,5144,18210,537,-2266,-,-
..Western Visayas,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",5,79,79,-,74124,66797,5398,61399,14871,-,540,-,-
..Western Visayas,"..Leasing of intellectual property and  similar products, except copyrighted works",,,,,,,,,,,,,
..Western Visayas,..Activities of employment placement agencies,85,2608,2606,7512,755879,670771,335940,334831,434606,58560,-113,-,-
..Western Visayas,..Temporary employment agency activities,28,3055,3055,-,423542,396576,344999,51576,380070,81,-71,-,-
..Western Visayas,..Other human resources provision,,,,,,,,,,,,,
..Western Visayas,..Travel agency and tour operator activities,13,203,203,-,53847,49298,26754,22544,33001,1233,8,400,-
..Western Visayas,..Other reservation service and related activities,22,1321,1306,36,249860,213267,133717,79550,191509,1902,-2794,-,-
..Western Visayas,..Private security activities,31,4525,4524,81,839299,799153,733117,66036,781699,2816,1393,-,-
..Western Visayas,..Security systems service activities,,,,,,,,,,,,,
..Western Visayas,..Investigation activities,,,,,,,,,,,,,
..Western Visayas,..Combined facilities support activities,,,,,,,,,,,,,
..Western Visayas,..Cleaning activities,15,2023,2023,-,524464,453101,226214,226888,304398,10962,2005,-,-
..Western Visayas,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Western Visayas,..Office administrative and support activities,24,155,155,-,58975,57261,18503,38758,35430,20129,-317,744,-
..Western Visayas,..Call centers and other related activities,42,29072,29071,19,25922469,22621176,7778783,14842393,12256109,96807,618,96665,239892
..Western Visayas,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Western Visayas,"..Business support service activities, n.e.c.",4,25,25,-,11906,10118,3577,6541,7255,-,-,-,-
..Central Visayas,Administrative and Support Service Activities,578,140393,140302,4782,73993312,62928302,41615325,21312977,55580482,1211036,3728,904604,16967
..Central Visayas,..Renting and leasing of motor vehicles,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Renting and leasing of personal and household goods,18,402,395,5,89853,72182,40374,31807,71643,247,-3942,-,-
..Central Visayas,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",14,252,252,-,399789,189588,44133,145455,287413,31757,-,-,-
..Central Visayas,"..Leasing of intellectual property and  similar products, except copyrighted works",,,,,,,,,,,,,
..Central Visayas,..Activities of employment placement agencies,110,1170,1142,124,1089936,1043068,592519,450548,682428,4416,-4593,6058,16586
..Central Visayas,..Temporary employment agency activities,73,38482,38452,2613,7936364,7480081,5188455,2291626,5721100,87553,809,-,-
..Central Visayas,..Other human resources provision,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Travel agency and tour operator activities,65,239,239,-,115553,107180,41351,65829,57754,820,-,1416,-
..Central Visayas,..Other reservation service and related activities,26,980,980,-,288508,972695,245931,726764,249673,-,-98,-,-
..Central Visayas,..Private security activities,45,9578,9577,1510,1513878,1465389,1261527,203862,1338267,25132,291,-,-
..Central Visayas,..Security systems service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Investigation activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Combined facilities support activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Cleaning activities,24,2508,2508,27,600432,526547,202612,323935,282060,7902,2529,-,-
..Central Visayas,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Central Visayas,..Office administrative and support activities,24,482,482,-,222854,198343,51793,146550,87839,-,2985,-,-
..Central Visayas,..Call centers and other related activities,149,85238,85214,503,61119122,50551989,33839038,16712951,46381619,1053207,7481,897130,381
..Central Visayas,..Organization of conventions and trade shows,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,"..Business support service activities, n.e.c.",23,437,437,-,225739,133593,52203,81390,152547,-,-3408,-,-
..Eastern Visayas,Administrative and Support Service Activities,102,4245,4233,7,1174716,978428,527236,451192,805975,3674,-117690,-,-
..Eastern Visayas,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Eastern Visayas,..Renting and leasing of personal and household goods,5,28,28,-,6010,4990,2032,2958,3166,75,-,-,-
..Eastern Visayas,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",6,39,39,-,26828,12685,3606,9079,19782,-,-172,-,-
..Eastern Visayas,"..Leasing of intellectual property and  similar products, except copyrighted works",,,,,,,,,,,,,
..Eastern Visayas,..Activities of employment placement agencies,11,51,51,-,19141,19176,11577,7600,10675,7,-,-,-
..Eastern Visayas,..Temporary employment agency activities,14,3065,3063,-,718345,571883,399785,172098,550361,3538,-62812,-,-
..Eastern Visayas,..Other human resources provision,,,,,,,,,,,,,
..Eastern Visayas,..Travel agency and tour operator activities,7,26,26,-,5812,4520,2113,2407,3754,-,-3,-,-
..Eastern Visayas,..Other reservation service and related activities,21,289,283,7,269497,261493,43495,217998,62868,-,70,-,-
..Eastern Visayas,..Private security activities,4,482,479,-,58871,49837,44319,5518,53907,54,2,-,-
..Eastern Visayas,..Security systems service activities,,,,,,,,,,,,,
..Eastern Visayas,..Investigation activities,,,,,,,,,,,,,
..Eastern Visayas,..Combined facilities support activities,,,,,,,,,,,,,
..Eastern Visayas,..Cleaning activities,3,18,18,-,8726,6127,1460,4667,6548,-,-7,-,-
..Eastern Visayas,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Eastern Visayas,..Office administrative and support activities,27,203,203,-,46014,40040,13971,26069,81023,-,-54845,-,-
..Eastern Visayas,..Call centers and other related activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Eastern Visayas,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Eastern Visayas,"..Business support service activities, n.e.c.",4,43,43,-,15473,7677,4878,2799,13890,-,77,-,-
..Zamboanga Peninsula,Administrative and Support Service Activities,74,3663,3656,-,2520268,2402852,438128,1964723,586980,27887,60905,-,-
..Zamboanga Peninsula,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Zamboanga Peninsula,..Renting and leasing of personal and household goods,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",,,,,,,,,,,,,
..Zamboanga Peninsula,"..Leasing of intellectual property and  similar products, except copyrighted works",,,,,,,,,,,,,
..Zamboanga Peninsula,..Activities of employment placement agencies,19,181,181,-,1161762,1118831,15321,1103510,65163,-,41781,-,-
..Zamboanga Peninsula,..Temporary employment agency activities,9,1643,1643,-,341912,311271,233160,78111,268208,754,-,-,-
..Zamboanga Peninsula,..Other human resources provision,,,,,,,,,,,,,
..Zamboanga Peninsula,..Travel agency and tour operator activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Other reservation service and related activities,10,64,64,-,19092,17784,4332,13452,7994,14535,-362,-,-
..Zamboanga Peninsula,..Private security activities,10,1430,1429,-,145358,134904,101405,33499,116507,12598,-,-,-
..Zamboanga Peninsula,..Security systems service activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Investigation activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Combined facilities support activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Cleaning activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Office administrative and support activities,8,52,52,-,20079,19057,4662,14395,7235,-,1417,-,-
..Zamboanga Peninsula,..Call centers and other related activities,7,153,149,-,638449,629310,31813,597497,47539,-,17766,-,-
..Zamboanga Peninsula,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Business support service activities, n.e.c.",3,31,31,-,166331,151280,38871,112409,55317,-,-,-,-
..Northern Mindanao,Administrative and Support Service Activities,135,16889,16888,2853,13003607,9196756,3091391,6105365,1531673,161801,4006,384433,-
..Northern Mindanao,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
