incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2023-04-19 13:00:00,2023-04-19,13:00:00,2023,Wednesday,2023-04-20 00:15:00,126788074000,1267880,230273120,231093408,II,Initial,True,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,"Hyde St , Washington St",25261000,Central,Russian hill,3,3,37.79368209838867,-122.41793823242188
2022-10-20 03:24:00,2022-10-20,03:24:00,2022,Thursday,2022-11-29 09:21:00,121966205072,1219662,220819875,223330732,II,Initial,True,5072,Burglary,Burglary - Other,"Burglary, Other Bldg., Att. Forcible Entry",Open or Active,"02nd St , Clementina St",24535000,Southern,Fimissioncial district/south beach,6,6,37.78596496582031,-122.39723205566406
2023-02-05 21:59:00,2023-02-05,21:59:00,2023,Sunday,2023-02-05 23:32:00,124173003074,1241730,230088333,230363073,II,Initial,True,3074,Robbery,Robbery - Other,"Robbery, W/ Force",Cite or Arrest Adult,"Mission St , Virginia Ave",21331000,Ingleside,Bernal heights,9,9,37.74312210083008,-122.4214859008789
2023-07-25 13:57:00,2023-07-25,13:57:00,2023,Tuesday,2023-07-25 14:00:00,129983616220,1299836,230519106,232061803,II,Initial,True,16220,Drug Offense,Drug Violation,"Opiates, Possession For Sale",Cite or Arrest Adult,"09th St , Mission St",24313000,Southern,South of market,6,6,37.77622985839844,-122.41471099853516
2023-03-14 09:30:00,2023-03-14,09:30:00,2023,Tuesday,2023-03-14 10:10:00,127153504134,1271535,230179960,230672881,II,Initial,True,4134,Assault,Simple Assault,Battery,Cite or Arrest Adult,"Hill Point Ave , Parnassus Ave",26310000,Park,Inner sunset,7,5,37.764068603515625,-122.45578002929688
2023-03-10 13:00:00,2023-03-10,13:00:00,2023,Friday,2023-03-13 22:58:00,125374207020,1253742,230179255,230723052,II,Initial,True,7020,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",Open or Active,"Amador St , Illinois St",54330000,Central,Bayview hunters point,10,10,37.74575805664063,-122.38606262207033
2022-11-03 19:30:00,2022-11-03,19:30:00,2022,Thursday,2022-11-04 11:21:00,121236506372,1212365,226209347,230672881,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,"04th St , Ellis St , Market St , Stockton St",24895000,Mission,Mission,6,6,37.767249666551535,-122.42386793124396
2023-03-30 19:00:00,2023-03-30,19:00:00,2023,Thursday,2023-03-30 19:00:00,126076807045,1260768,230211233,230892721,VS,Vehicle Supplement,True,7045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,"Rutland St , Sunnydale Ave",20352000,Ingleside,Visitacion valley,10,10,37.709842681884766,-122.40863800048828
2023-01-22 03:36:00,2023-01-22,03:36:00,2023,Sunday,2023-01-22 17:29:00,123728671000,1237286,236013423,230672881,II,Coplogic Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"Geary St , Polk St",25182000,Northern,Tenderloin,5,6,37.785892486572266,-122.41973876953124
2023-08-03 18:30:00,2023-08-03,18:30:00,2023,Thursday,2023-08-04 09:30:00,130391907021,1303919,230547511,232160868,VI,Vehicle Initial,True,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,"22nd St , Wisconsin St",23705000,Bayview,Potrero hill,10,10,37.757301330566406,-122.39894104003906
2022-12-02 19:30:00,2022-12-02,19:30:00,2022,Friday,2022-12-03 15:44:00,122165006372,1221650,226231760,230672881,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,"Monterey Blvd , Santa Ana Ave",22929000,Taraval,West of twin peaks,7,7,37.73311996459961,-122.46784973144533
2022-07-30 22:30:00,2022-07-30,22:30:00,2022,Saturday,2022-08-01 11:35:00,117714406304,1177144,220510493,222131147,II,Initial,True,6304,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, >$950",Open or Active,"Jones St , North Point St",25593000,Central,North beach,3,3,37.8061408996582,-122.41707611083984
2023-05-11 08:30:00,2023-05-11,08:30:00,2023,Thursday,2023-05-11 09:19:00,127487861030,1274878,230326967,231310793,II,Initial,True,61030,Other,Other,"Death Report, Cause Unknown",Open or Active,"Dorland St , Guerrero St",25689000,Mission,Mission,8,8,37.7623405456543,-122.4239273071289
