"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"6083964565015","060839645","65015","OTHER OFFENSES","TRAFFIC VIOLATION","Tuesday","2006-08-08T00:00:00.000","16:12","MISSION","ARREST, CITED","MISSION ST / 25TH ST","-122.418289276866","37.750640293923","POINT (-122.418289276866 37.750640293923)","53","3","2","20","2","4","7","28859","19",,,,"3",,,"2",,,"3",,"53"
"13616340906244","136163409","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Tuesday","2013-09-03T00:00:00.000","02:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"8105051128160","081050511","28160","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","2008-10-02T00:00:00.000","15:15","TARAVAL","NONE","0 Block of FONT BL","-122.472279908251","37.7146944676334","POINT (-122.472279908251 37.7146944676334)","42","10","8","16","1","8","4","64","14",,,,,,,"2",,,,,"42"
"11090694865016","110906948","65016","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Thursday","2011-11-10T00:00:00.000","09:30","INGLESIDE","ARREST, CITED","DIAMOND ST / DUNCAN ST","-122.435769225176","37.7455500653341","POINT (-122.435769225176 37.7455500653341)","84","9","5","22","2","7","5","63","22",,,,,,,"1",,,,,"84"
"6056084005043","060560840","05043","BURGLARY","BURGLARY OF RESIDENCE, UNLAWFUL ENTRY","Friday","2006-05-26T00:00:00.000","12:00","NORTHERN","NONE","200 Block of HERMANN ST","-122.429660025459","37.7703510826971","POINT (-122.42966002545901 37.7703510826971)","28","7","11","9","7","9","11","29492","10",,,,,,,"1",,,,,"28"
"13008830006244","130088300","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Thursday","2013-01-31T00:00:00.000","10:00","RICHMOND","NONE","4800 Block of BALBOA ST","-122.51074665273","37.7751560854548","POINT (-122.51074665273 37.7751560854548)","6","8","4","29","11","6","2","55","26",,,,,,,"1",,,,,"6"
"7098943406222","070989434","06222","LARCENY/THEFT","PETTY THEFT FROM UNLOCKED AUTO","Monday","2007-05-21T00:00:00.000","23:59","MISSION","NONE","500 Block of SOUTH VAN NESS AV","-122.417339031772","37.7643660722829","POINT (-122.41733903177202 37.7643660722829)","53","3","2","20","8","4","7","28859","19","12",,"14","3","14",,"2",,,"3",,"53"
"9050854726170","090508547","26170","OTHER OFFENSES","PROBATION VIOLATION","Saturday","2009-05-16T00:00:00.000","08:07","TENDERLOIN","ARREST, BOOKED","TURK ST / JONES ST","-122.412414263581","37.7830037964534","POINT (-122.41241426358101 37.7830037964534)","20","5","10","36","7","10","9","28852","36","17","1","18","1","18","6","2","1","1","1",,"20"
"13012763504134","130127635","04134","ASSAULT","BATTERY","Wednesday","2013-02-13T00:00:00.000","14:19","BAYVIEW","ARREST, CITED","1300 Block of UNDERWOOD AV","-122.387153625351","37.7271911468699","POINT (-122.387153625351 37.7271911468699)","86","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"86"
"7127524604144","071275246","04144","SEX OFFENSES, FORCIBLE","SEXUAL BATTERY","Wednesday","2007-12-12T00:00:00.000","20:50","SOUTHERN","NONE","JESSIE ST / 5TH ST","-122.40718855811","37.7832917166536","POINT (-122.40718855811 37.7832917166536)","32","5","10","34","14","2","9","28853","34",,"1",,,,"7","2","1","1",,,"32"
"12072111204014","120721112","04014","ASSAULT","AGGRAVATED ASSAULT WITH BODILY FORCE","Saturday","2012-09-08T00:00:00.000","19:30","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"4078198106361","040781981","06361","LARCENY/THEFT","PETTY THEFT SHOPLIFTING","Friday","2004-07-09T00:00:00.000","12:30","SOUTHERN","ARREST, CITED","800 Block of MARKET ST","-122.406520987144","37.7850629421661","POINT (-122.40652098714399 37.7850629421661)","32","5","10","34","12","2","9","28853","34","17",,"18",,"18","5","2",,,,"35","32"
"3008919307046","030089193","07046","VEHICLE THEFT","VEHICLE, RECOVERED, OTHER VEHICLE","Tuesday","2003-01-21T00:00:00.000","15:00","NORTHERN","NONE","POLK ST / GREEN ST","-122.422149614365","37.7978243786036","POINT (-122.422149614365 37.7978243786036)","105","4","3","32","13","9","10","28858","32",,,,,,,"1",,,,,"105"
"5067625310010","050676253","10010","EMBEZZLEMENT","EMBEZZLEMENT, PETTY THEFT","Saturday","2005-04-23T00:00:00.000","00:01","CENTRAL","NONE","200 Block of SACRAMENTO ST","-122.39840549202","37.7944120086129","POINT (-122.39840549202 37.7944120086129)","108","6","3","8","3","1","10","28860","6",,,,,,,"1",,,,,"108"
