1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
113,Samar (Western Samar),174.22,97.42,115.79,125.69,124.2,125.91,145.1,172.4,162.86,239.19,433.18,180.64,96.96,116.93,128.51,140.66,150.03,150.07,165.14,188.9,225.58,442.98,179.19,107.29,123.51,130.87,142.19,145.16,152.23,151.72,174.92,226.07,437.38,3.69,-0.47,0.98,2.24,13.25,19.16,3.43,-4.21,15.99,-5.69,2.26,-0.8,10.66,5.62,1.84,1.08,-3.25,1.44,-8.13,-7.4,0.22,-1.27
114,Southern Leyte,187.51,112.67,130.28,139.22,145.53,138.71,154.04,162.76,197.43,262.72,431.24,202.73,118.68,134.38,144.25,151.67,154.35,170.07,181.64,225.84,280.02,465.15,230.48,156.91,155.38,181.06,180.41,190.23,187.98,208.36,236.58,304.84,502.04,8.12,5.33,3.15,3.62,4.22,11.27,10.41,11.6,14.39,6.58,7.86,13.69,32.21,15.63,25.52,18.95,23.25,10.53,14.71,4.76,8.86,7.93
115,Biliran,225.71,121.5,141.45,144.72,148.6,155.62,163.95,189.35,221.16,309.25,662.39,208.44,101.98,120.69,131.29,130.93,151.16,166.19,186.32,206.72,328.45,559.65,216.82,133.92,146.71,152.23,157.37,160.38,158.5,180.96,229.12,309.15,538.12,-7.65,-16.07,-14.68,-9.28,-11.89,-2.87,1.36,-1.6,-6.53,6.21,-15.51,4.02,31.32,21.56,15.95,20.19,6.1,-4.63,-2.88,10.83,-5.88,-3.85
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,REGION IX - ZAMBOANGA PENINSULA,162.46,89.07,100.57,112.8,114.52,121.4,135.82,147.46,161.74,227.52,413.52,166.3,84.6,101.65,111.64,117.3,128.44,140.26,149.8,175.51,231,422.62,200.93,107.04,124.92,137.55,144.82,159.72,171.52,192.14,214.41,261.91,494.98,2.37,-5.02,1.08,-1.03,2.43,5.8,3.27,1.58,8.52,1.53,2.2,20.83,26.52,22.89,23.21,23.46,24.36,22.29,28.26,22.16,13.38,17.12
118,Zamboanga Del Norte,148.26,78.96,90.29,92.83,104.84,108.31,111.23,133.47,145.9,200.95,416.15,152.93,81.35,93.84,98.07,100.75,105.75,111.18,123.32,148.78,210.63,453.83,185.95,114.2,118.92,134.76,139.72,143.77,150.59,154.17,178.09,212.4,511.43,3.15,3.03,3.93,5.64,-3.9,-2.36,-0.05,-7.6,1.97,4.82,9.05,21.59,40.37,26.73,37.41,38.68,35.95,35.44,25.02,19.7,0.84,12.69
119,Zamboanga Del Sur (Excluding City of Zamboanga),141.88,91.27,101.68,102.08,116.82,108.89,113.47,123.7,132.7,176.9,351.82,167.91,84.72,98.67,110.81,121.29,126.81,142.79,152.85,171.67,235.87,432.09,165.37,88.27,106.05,118.45,114.56,122.69,137.04,142.56,164.24,226.89,431.35,18.35,-7.17,-2.96,8.55,3.83,16.46,25.84,23.57,29.37,33.34,22.81,-1.51,4.19,7.48,6.89,-5.55,-3.25,-4.03,-6.73,-4.33,-3.81,-0.17
120,City of Zamboanga,213.59,142.25,142.03,159.78,166.92,161.7,177.99,190.49,233.09,291.52,470.72,191.27,131.1,139.96,152.07,150.78,162.03,180.21,181.54,205.17,241.29,367.53,254.24,170.33,191.89,208.42,212.21,223.83,240.59,236.85,264.44,304.88,487.55,-10.45,-7.84,-1.46,-4.83,-9.67,0.2,1.25,-4.7,-11.98,-17.23,-21.92,32.92,29.93,37.11,37.06,40.74,38.14,33.5,30.47,28.89,26.36,32.65
121,Zamboanga Sibugay,145.09,88.13,93.39,96.33,108.17,104.5,114.41,118.47,136.38,189.02,401.68,154.58,78.93,94.29,90.78,103.75,107.33,115.27,135.45,145.52,206.66,466.72,199.4,113.93,125.53,129.92,133.02,140.52,151.15,173.93,202.48,265.99,556.54,6.54,-10.44,0.97,-5.76,-4.09,2.71,0.75,14.33,6.7,9.33,16.19,28.99,44.34,33.14,43.12,28.2,30.92,31.13,28.4,39.14,28.71,19.24
122,Isabela City,159.22,110.48,114.75,114.99,124.3,115.64,130.08,131.83,162.84,243.96,342.5,148.57,109.51,114.35,127.25,135.8,132.34,141.23,145.86,138.92,198.74,240.35,224.2,163.02,163.76,173.84,184.63,177.48,181.57,206.13,251.87,299.05,438.26,-6.69,-0.88,-0.35,10.66,9.25,14.44,8.57,10.64,-14.69,-18.54,-29.82,50.91,48.86,43.21,36.61,35.96,34.12,28.56,41.33,81.31,50.47,82.34
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,REGION X - NORTHERN MINDANAO,174.64,93.76,103.51,109.72,117.64,128.72,142.45,162.46,187.18,250.37,450.58,175.71,84.86,104.02,113.13,123.96,132.27,144.48,166.65,188.66,252.07,446.79,202.58,110,128.34,140.41,149.82,160.02,168.92,191.47,216.64,267.1,492.75,0.61,-9.49,0.5,3.11,5.37,2.76,1.42,2.58,0.79,0.68,-0.84,15.29,29.63,23.39,24.12,20.86,20.98,16.92,14.9,14.83,5.96,10.29
125,Bukidnon,140.82,85.5,93.7,94.58,102.74,108.52,117.93,126.6,154.57,177.6,346.12,148.56,75.14,90.87,97,97.2,109.34,126.9,133.65,163,205.65,386.12,149.05,99.5,103.62,117.57,120.81,129.41,137.17,147.48,153.81,176.76,304.08,5.49,-12.11,-3.03,2.56,-5.39,0.76,7.61,5.57,5.45,15.8,11.56,0.33,32.42,14.03,21.22,24.29,18.35,8.1,10.35,-5.64,-14.05,-21.25
126,Camiguin,192.99,107.45,131.82,133.6,137.1,148.04,170,204.92,206.09,253.93,436.51,202.04,96.78,123.61,144.76,134.45,150.55,161.81,176.31,210.51,283.09,535.03,225.08,136.77,162.15,153.52,174.06,177.96,181.8,215.48,227.83,325.82,492.7,4.69,-9.93,-6.23,8.35,-1.93,1.69,-4.82,-13.96,2.14,11.48,22.57,11.4,41.33,31.19,6.05,29.46,18.21,12.35,22.22,8.23,15.09,-7.91
127,Lanao Del Norte (Excluding City of Iligan),135.57,98.1,100.48,106.88,105.42,112.24,114.34,115.11,127.44,161.72,313.94,117.67,74.61,84.27,88.71,92.82,92.78,102.46,108.59,127.53,142.21,262.26,184.18,103.71,115.41,124.75,131.82,147.74,138.3,155.19,181.77,239.9,502.35,-13.21,-23.95,-16.13,-17,-11.95,-17.34,-10.39,-5.66,0.07,-12.07,-16.46,56.52,38.99,36.95,40.62,42.02,59.23,34.99,42.91,42.53,68.69,91.54
128,City of Iligan,198.88,96.09,117.67,130.91,137.93,168.04,168.25,202.01,228.15,288.18,451.41,187.01,98.63,117.73,128.15,140.2,144.68,173.56,195,211.13,260.41,399.9,264.06,120.23,169.28,164.76,187.31,192.67,235.04,255.95,291.2,373.81,649,-5.97,2.65,0.05,-2.11,1.64,-13.9,3.16,-3.47,-7.46,-9.64,-11.41,41.2,21.9,43.79,28.56,33.6,33.17,35.42,31.26,37.93,43.55,62.29
129,Misamis Occidental,175.56,100.13,109.71,119.99,121.63,128.88,145.27,148.09,183.72,258.2,440.2,209,116.6,137.74,144.09,167.31,153.29,161.91,176.65,208.97,283.57,539.36,243.39,118.85,151.42,150.62,166.33,180.74,187.94,199.91,242.86,347.5,686.73,19.05,16.44,25.55,20.09,37.56,18.94,11.45,19.29,13.74,9.83,22.53,16.45,1.93,9.93,4.53,-0.58,17.91,16.08,13.17,16.22,22.55,27.32
130,Misamis Oriental (Excluding City of Cagayan de Oro),167.86,90.12,102.45,110.67,121.79,133,144.72,168.5,177.21,224.27,406.41,165.34,89.59,107.5,114.17,123,132.35,139.61,157.05,170.64,216.79,402.24,193.42,123.17,135.78,145.05,146.56,163.67,162.19,181.18,200.85,260.01,414.68,-1.5,-0.59,4.93,3.16,0.99,-0.49,-3.53,-6.8,-3.71,-3.34,-1.03,16.98,37.48,26.32,27.05,19.16,23.67,16.17,15.37,17.7,19.94,3.09
131,City of Cagayan de Oro,261.92,116.17,140.83,159.68,173.44,202.05,220.6,255.43,299.5,388.91,661.77,251.95,129.46,142.74,155.31,171.7,203.36,219.97,267.19,286.75,363.1,579.16,264.37,154.92,171.35,189.83,196,215.31,255.16,252.79,280.68,328.97,596.59,-3.81,11.44,1.36,-2.74,-1,0.65,-0.28,4.6,-4.26,-6.64,-12.48,4.93,19.67,20.05,22.23,14.15,5.87,16,-5.39,-2.12,-9.4,3.01
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,REGION XI - DAVAO REGION,191.62,100.72,117.52,130.32,139.27,157.01,168.91,189.78,217.04,271.48,419.14,183.89,93.33,114.75,126.25,133.81,146.91,158.47,173.94,204.15,253.86,433.27,204.33,111.06,133.19,141.79,154.08,167.95,178.66,197.43,226.22,279.77,452.9,-4.03,-7.33,-2.36,-3.13,-3.92,-6.43,-6.18,-8.35,-5.94,-6.49,3.37,11.11,18.99,16.07,12.32,15.15,14.32,12.74,13.51,10.81,10.21,4.53
134,Davao Del Norte,187.81,113.54,140.34,143.42,162.17,158.42,173.65,180.75,211.52,221.81,371.99,180.39,104.93,128.75,135.7,143.31,156.54,155.33,177.3,185.68,226.77,389.21,219.45,136.05,162.74,172.73,193.35,196.62,198.72,224.37,238.39,268.85,401.86,-3.95,-7.58,-8.26,-5.38,-11.63,-1.19,-10.55,-1.91,-12.22,2.24,4.63,21.65,29.65,26.4,27.29,34.92,25.61,27.93,26.55,28.39,18.55,3.25
135,Davao Del Sur (Excluding City of Davao),156.63,93.99,105.56,115.88,111.09,132.3,132.01,148.05,160.53,202.18,364.75,163.75,86,105.04,115.67,125.48,131.48,140.7,152.1,161.88,207.01,411.7,186.72,112.32,130.96,138.94,137.28,155.77,164.7,172.39,184.9,244.43,424.96,4.54,-8.51,-0.49,-0.18,12.95,-0.62,6.58,2.73,0.84,2.39,12.87,14.03,30.61,24.67,20.12,9.4,18.47,17.05,13.34,14.22,18.08,3.22
136,City of Davao,251.07,130.28,160.45,190.54,193.5,213.66,236.33,252.97,292.96,341,499.19,228.96,119.7,142.24,156.89,168.16,181.88,196.84,231.27,270.24,294.48,526.99,238.47,104.32,134.43,158.45,187.31,199.25,217.58,239.57,288.25,305.37,548.82,-8.81,-8.12,-11.35,-17.66,-13.1,-14.87,-16.71,-8.58,-7.76,-13.64,5.57,4.15,-12.85,-5.49,0.99,11.39,9.55,10.53,3.59,6.66,3.7,4.14
137,Davao Oriental,152.77,107.27,111.93,121.33,119.82,118.85,124.29,132.4,149.49,198.19,344.37,148.52,102.06,118.25,119.56,117.98,115.7,128.18,130.3,145.92,173.9,333.03,157.72,124.02,124.94,133.7,128.94,138.62,132.77,141.79,157.18,181.72,312.94,-2.78,-4.86,5.65,-1.46,-1.53,-2.65,3.13,-1.59,-2.39,-12.26,-3.29,6.2,21.52,5.66,11.82,9.29,19.81,3.59,8.82,7.72,4.5,-6.03
138,Davao De Oro,142.86,93.04,105.19,108.66,117.27,119.98,139.72,140.9,153.67,165.86,284.17,138.46,87.33,95.37,109.29,110.09,123.28,134.73,137.48,135.81,182.25,267.57,164.95,112.81,121.2,130.62,133.72,139.89,137.89,141.67,165.95,197.64,367.49,-3.08,-6.14,-9.33,0.58,-6.12,2.75,-3.57,-2.42,-11.62,9.88,-5.84,19.14,29.18,27.08,19.51,21.47,13.47,2.34,3.05,22.19,8.45,37.34
139,Davao Occidental,115.84,80.87,90.37,84.49,96.78,100.02,98.61,110.54,108.52,135.94,240.73,126.44,67.09,80.28,90.21,101.89,102.85,108.51,117.41,123.14,158.89,313.07,150.45,94.58,112.2,114.23,118.92,131.12,136.23,136.18,138.59,178.88,342.87,9.15,-17.04,-11.17,6.77,5.28,2.83,10.04,6.21,13.47,16.88,30.05,18.98,40.98,39.76,26.62,16.71,27.49,25.55,15.99,12.54,12.59,9.52
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,REGION XII - SOCCSKSARGEN1/,181.32,94.14,117.19,131.95,135.13,153.58,166.22,174.05,200.86,245.33,394.58,173.43,87.96,100.36,113.85,124.81,133.44,146.15,163,196.77,234.74,432.84,202.34,111.93,128.88,140.74,150.3,162.24,173.9,195.32,222.02,250.8,478.26,-4.35,-6.56,-14.36,-13.72,-7.64,-13.11,-12.07,-6.35,-2.04,-4.32,9.7,16.67,27.25,28.42,23.62,20.42,21.58,18.99,19.83,12.83,6.84,10.49
142,Cotabato (North Cotabato),174.49,98.14,116.17,135.47,132.25,150.91,162.71,165.78,191.72,233.34,358.43,170.08,99.27,107.73,114.57,126.84,132.68,142.55,159.08,195.62,229.15,391.9,212.82,124.21,144.25,144.02,164.89,166.7,173.77,206.17,230.48,263.97,507.89,-2.53,1.15,-7.26,-15.43,-4.09,-12.08,-12.39,-4.04,2.03,-1.8,9.34,25.13,25.13,33.91,25.7,29.99,25.64,21.9,29.6,17.82,15.2,29.6
143,South Cotabato (Excluding City of General Santos),204.08,104.78,124.12,139.2,159.72,161.79,185.86,192.61,223.28,281.71,467.76,193.41,78.85,100.74,120.81,131.63,148,172.93,196.85,200.08,274.36,508.47,199.32,106.26,123.5,139.52,152,164.71,173.73,186.33,221.1,245.23,478.79,-5.23,-24.75,-18.84,-13.21,-17.59,-8.52,-6.96,2.2,-10.39,-2.61,8.7,3.05,34.75,22.6,15.49,15.48,11.29,0.46,-5.34,10.5,-10.62,-5.84
144,City of General Santos (Dadiangas),231.36,130.03,156.9,173.14,192.34,194.72,203.27,219.24,259.87,320.3,464.07,203.15,105.98,125.8,132.9,147.59,161,182.33,192.48,214.77,281.95,485.19,243.59,142.35,161.03,183.74,176.42,202.78,218.49,248.29,258.99,329.53,512.37,-12.19,-18.5,-19.82,-23.24,-23.26,-17.32,-10.3,-12.2,-17.36,-11.97,4.55,19.91,34.32,28.01,38.25,19.53,25.95,19.83,29,20.59,16.87,5.6
145,Sultan Kudarat,156.02,101.65,118.53,122.94,127.35,121.24,148.05,145.28,164.48,204.4,306.38,153.79,83.77,92.19,102.62,119.68,121.4,124.32,139,163.98,229.88,360.52,182.2,103.15,119.02,127.59,137.37,138.1,147.88,163.99,195.91,224.08,463.85,-1.43,-17.59,-22.22,-16.53,-6.02,0.13,-16.03,-4.33,-0.3,12.47,17.67,18.47,23.14,29.11,24.32,14.77,13.75,18.95,17.98,19.47,-2.52,28.66
146,Sarangani,136.62,70.19,84.35,97.56,108.97,114.89,128.89,137.38,152.13,173.36,298.88,138.83,77,84.95,98.22,105.3,114.9,115.69,130.58,138.33,165.15,357.77,162.31,98.03,115.03,121.59,130.81,139.47,140.48,150.24,173.28,224.12,329.43,1.62,9.71,0.71,0.67,-3.37,0.01,-10.24,-4.95,-9.07,-4.74,19.7,16.92,27.3,35.42,23.79,24.23,21.38,21.43,15.06,25.26,35.7,-7.92
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,CARAGA,186.8,100.45,116.53,126.49,133.91,140.46,149.38,167.24,189.34,240.22,504.17,198.2,98.97,116.27,122.98,132.96,144.54,159.65,175.47,201.58,280.28,548.88,213.12,124.67,142.99,153.18,164.92,173.82,182.72,194.34,223.54,274.68,495.89,6.1,-1.48,-0.22,-2.77,-0.71,2.9,6.87,4.92,6.46,16.68,8.87,7.53,25.97,22.99,24.55,24.03,20.25,14.45,10.76,10.89,-2,-9.65
149,Agusan Del Norte (Excluding City of Butuan),164.3,94.04,111.24,118.63,120.54,124.81,147.11,149.92,181.8,204.3,391.22,192.73,95.15,116.5,128.2,129.37,142.07,156.25,185.52,193.68,272.02,507.65,209.88,119.51,141.46,145.95,169.38,182.32,184.88,214.17,222.22,279.11,438.56,17.3,1.18,4.73,8.07,7.32,13.83,6.21,23.74,6.53,33.15,29.76,8.9,25.61,21.42,13.84,30.92,28.33,18.32,15.45,14.73,2.61,-13.61
150,City of Butuan,231.83,107.25,121,146.48,155.1,163.96,199.43,213.26,257.6,338.25,616.33,252.91,102.34,122.66,137.54,154.74,184.7,210.08,232.81,270.06,404.04,709.3,283.33,124.96,155.6,185.69,198,210.19,224.13,281.01,355.25,415.39,681.65,9.09,-4.58,1.37,-6.1,-0.23,12.65,5.34,9.17,4.84,19.45,15.08,12.03,22.11,26.86,35.01,27.96,13.8,6.69,20.7,31.54,2.81,-3.9
151,Agusan Del Sur,174.22,93.49,107.18,114.07,119.68,134.21,136.89,147.78,165.17,217.55,506.79,191.47,99.58,116.58,116.16,130.42,139.03,155.52,170.26,189.95,240.74,555.49,198.15,118.67,135.96,144.31,149.24,159.98,168.08,185.42,189.47,245.29,483.61,9.9,6.51,8.77,1.83,8.97,3.59,13.61,15.21,15,10.66,9.61,3.49,19.18,16.62,24.24,14.43,15.07,8.08,8.9,-0.25,1.89,-12.94
152,Surigao Del Norte,204.03,113.61,138.81,136.42,146.05,165.08,161.24,185.89,206.66,251.21,536.14,194.66,105.69,116.63,128.58,136.44,148.01,156.06,165.93,203.2,276.55,507.08,208.97,120.05,133.95,157.62,154.17,175.31,168.51,192.47,213.34,281.17,492.6,-4.59,-6.97,-15.98,-5.75,-6.58,-10.34,-3.21,-10.74,-1.67,10.09,-5.42,7.35,13.59,14.85,22.59,13,18.45,7.97,15.99,4.99,1.67,-2.85
153,Surigao Del Sur,180.87,105.98,118.16,133.81,126.64,133.7,151.24,156.23,179.16,222.76,480.07,189.66,100.14,115.97,119.02,135.69,143.94,147.78,162.31,190.02,269.99,510.12,202.66,148.54,154.06,164.23,172.99,180.02,180.18,196.2,201.05,236.43,392.18,4.86,-5.51,-1.86,-11.05,7.15,7.66,-2.29,3.89,6.06,21.2,6.26,6.85,48.34,32.84,37.98,27.49,25.07,21.92,20.88,5.8,-12.43,-23.12
154,Dinagat Islands,153.23,98.33,120.81,119.41,127.28,121.36,134.39,126.8,138.42,184.04,361.32,149.69,74.24,94.22,86.2,105.62,108.68,121.46,141.65,155.89,193.14,413.74,170.62,101.74,115.73,124.45,131.05,128.81,155.36,161.86,172.62,210.82,401.19,-2.31,-24.5,-22.01,-27.81,-17.02,-10.45,-9.62,11.71,12.62,4.94,14.51,13.98,37.05,22.82,44.38,24.08,18.52,27.91,14.26,10.73,9.16,-3.03
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,131.21,113.99,119.45,116.8,118.33,120.52,121.34,122.11,126.53,140.79,212.18,153.32,101.58,115.35,129.16,143.3,150.13,154.18,162.23,160.53,167.44,249.16,168.91,134.81,143.32,159.19,161.2,166.49,166.6,164.25,171.64,180.06,243.65,16.85,-10.89,-3.43,10.58,21.1,24.57,27.06,32.86,26.87,18.93,17.43,10.17,32.71,24.25,23.25,12.49,10.9,8.06,1.25,6.92,7.54,-2.21
157,Basilan,123.67,102.56,105.19,104.53,115.38,110.85,109.13,118.23,116.62,140.74,213.69,120.88,88.32,93.85,97.18,99.98,105.82,111.94,108.68,113.99,131.82,256.56,155.02,143.02,138.08,144.03,155.68,143.7,152.37,140.58,146.21,159.93,226.48,-2.25,-13.89,-10.78,-7.03,-13.35,-4.54,2.58,-8.08,-2.26,-6.34,20.06,28.25,61.93,47.13,48.21,55.71,35.8,36.12,29.35,28.26,21.32,-11.72
158,Lanao Del Sur,132.61,111.35,118.43,121.54,116.93,120.76,126.8,125.42,123.77,138.34,222.66,216.99,217.04,227.24,214.2,211.14,214.56,214.37,202.38,201.56,199.24,268.14,217.11,205.66,211.04,204.47,204.32,205.36,195.39,192.01,201.41,211.45,339.92,63.63,94.92,91.88,76.24,80.57,77.67,69.06,61.36,62.85,44.02,20.43,0.05,-5.24,-7.13,-4.54,-3.23,-4.28,-8.85,-5.12,-0.08,6.13,26.77
159,Maguindanao ,142.11,118.58,128.35,127.89,127.16,137.74,140.59,138.31,134.52,152.29,215.8,136.76,101.42,112.49,113.01,119.85,127.98,129.4,137.73,136.44,147.82,240.81,151.45,135.14,140.2,138.86,143.3,147.36,147.98,147.61,149.58,156.62,207.6,-3.76,-14.47,-12.35,-11.64,-5.75,-7.08,-7.96,-0.42,1.43,-2.94,11.59,10.74,33.25,24.63,22.88,19.57,15.14,14.36,7.17,9.63,5.96,-13.79
160,Maguindanao del Norte,,,,,,,,,,,,,,,,,,,,,,,147.48,134.34,139.45,139.34,142.55,147.89,142.32,146.86,146.39,148.69,186.8,,,,,,,,,,,,,,,,,,,,,,
161,Maguindanao del Sur,,,,,,,,,,,,,,,,,,,,,,,155.91,136.05,141.04,138.33,144.14,146.76,154.38,148.46,153.15,165.53,231.1,,,,,,,,,,,,,,,,,,,,,,
162,Sulu,108.56,119.6,116.13,111.44,109.87,109.75,105.93,101.1,100.66,98.36,112.65,115.17,98.56,115.34,113.77,117.26,113.82,115.63,111.51,110.44,114.89,140.31,159.94,139.68,149.11,147.53,147.53,149.75,140.53,161.68,162.69,178.85,221.69,6.09,-17.59,-0.68,2.09,6.72,3.71,9.16,10.3,9.71,16.8,24.56,38.87,41.72,29.28,29.68,25.81,31.56,21.54,45,47.32,55.67,58
163,Tawi-Tawi,107.38,112.53,104.43,98.04,100.79,97.17,96.99,96.9,102.36,117.41,147.15,125.6,100.01,111.23,109.4,114.59,119,120.71,120.87,132.3,137.53,189.88,122.67,101.46,108.5,115.65,118.82,123.63,126.15,125.48,130.06,133.66,142.99,16.97,-11.12,6.51,11.59,13.69,22.46,24.45,24.73,29.25,17.14,29.04,-2.33,1.44,-2.45,5.72,3.69,3.89,4.5,3.82,-1.7,-2.82,-24.69
164,Cotabato City,180.84,140.09,139.76,152.3,153.3,145.83,157.16,165.88,197.2,231.56,325.98,191.76,128.86,136.52,141.26,159.2,166.82,168.29,169.74,194.56,224.98,426.76,215.23,172.03,184.5,186.44,184.98,188.88,201.26,200.97,230.82,240.5,360.65,6.04,-8.02,-2.32,-7.25,3.85,14.39,7.08,2.33,-1.34,-2.84,30.92,12.24,33.5,35.15,31.98,16.19,13.23,19.59,18.4,18.64,6.9,-15.49
165,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,p - Estimates are preliminary and may change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
