1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
31,Abra,167.69,94.93,111,119.11,128.02,150.63,149.22,154.02,200.31,221.81,347.98,183.16,113,123.84,125.78,143.47,145.51,160.15,158.71,181.7,245.73,432.29,224.48,141.85,175.78,179,189.74,198.3,192.9,223.29,232.3,267.2,443.52,9.23,19.03,11.57,5.6,12.07,-3.4,7.33,3.05,-9.29,10.78,24.23,22.56,25.53,41.94,42.31,32.25,36.28,20.45,40.7,27.85,8.74,2.6
32,Benguet (Excluding City of Baguio),230.12,123.11,148.76,163.54,171.08,205.12,212.37,227.89,267.04,308.62,473.77,241.31,145.52,167.03,191.7,200.24,203.74,216.89,235.21,259.73,297.39,494.85,237.88,160.54,194.8,216.2,204.19,225.61,243.79,255.16,257.59,272.64,347.53,4.86,18.21,12.28,17.22,17.05,-0.67,2.13,3.21,-2.74,-3.64,4.45,-1.42,10.32,16.63,12.78,1.98,10.73,12.4,8.48,-0.82,-8.32,-29.77
33,City of Baguio,330.92,145.58,198.35,217.65,261.99,311.02,330.96,327.9,445.97,470.48,599.13,310.52,183.42,229.67,254.74,266.11,280.61,283.18,318.01,361.77,364.79,562.23,293.38,216.28,230.03,264.93,280.11,279.36,309.16,316.45,338.68,301.66,396.34,-6.17,25.99,15.79,17.04,1.57,-9.78,-14.44,-3.02,-18.88,-22.46,-6.16,-5.52,17.92,0.16,4,5.26,-0.45,9.18,-0.49,-6.38,-17.3,-29.51
34,Ifugao,180.62,127.6,135.65,149.81,136.29,136.84,145.38,166.73,189.66,263.57,354.91,211.21,122.48,145.64,148.41,158.59,163.6,186.95,198.69,231.33,292.84,462.51,200.69,143.19,165.37,172.53,158.03,172.51,177.92,178.77,195.87,252.48,389.38,16.94,-4.02,7.37,-0.93,16.37,19.55,28.59,19.17,21.97,11.11,30.32,-4.98,16.91,13.54,16.26,-0.35,5.45,-4.83,-10.03,-15.33,-13.78,-15.81
35,Kalinga,235.51,158.28,161.91,183.78,183.92,183.14,190.82,235.25,253.58,318.64,485.64,286.91,162.46,169.25,196.17,200.31,203.39,231.63,277.68,321.05,397.44,708.3,273.92,192.12,207.54,217.47,220.71,235.97,243.91,268.44,290.12,322.99,538.57,21.83,2.64,4.53,6.74,8.91,11.06,21.39,18.04,26.61,24.73,45.85,-4.53,18.26,22.63,10.86,10.19,16.01,5.3,-3.33,-9.63,-18.73,-23.96
36,Mountain Province,164.19,121.79,116.03,122.44,126.61,134.05,132.54,133.98,176.3,217.26,361.17,185.11,115.92,136.92,136.28,146.83,146.12,156.65,174.43,198.4,227.68,410.8,216.55,170.05,165.92,174.56,171.5,182.15,186.5,209.51,224.37,263.26,416.72,12.74,-4.82,18,11.31,15.97,9,18.19,30.19,12.54,4.8,13.74,16.99,46.69,21.18,28.09,16.81,24.66,19.05,20.12,13.09,15.63,1.44
37,Apayao,160.7,105.56,125.8,121.03,138.67,130.46,137.54,135.34,181.79,220.31,311.04,185.75,117.2,133.39,140.69,148.39,155.89,162.48,167.03,194.7,256.9,379.69,253.76,184.4,189.69,190.37,198.45,204.13,203.69,244.08,246.93,303.79,568.38,15.59,11.02,6.04,16.25,7.01,19.49,18.13,23.41,7.1,16.61,22.07,36.61,57.34,42.2,35.32,33.74,30.94,25.36,46.13,26.82,18.25,49.69
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,REGION I - ILOCOS REGION,204.5,125.31,143.88,156.84,168.88,160.02,189.78,200.06,218,277.27,405.04,209.54,115.35,142.14,150.25,160.09,177.26,190.24,201.53,231.59,284.04,442.71,232.44,133.97,160.46,177.66,185.43,203.47,214.85,231.43,263.58,295.94,457.41,2.46,-7.95,-1.21,-4.2,-5.2,10.77,0.24,0.74,6.23,2.44,9.3,10.93,16.14,12.89,18.24,15.83,14.79,12.93,14.84,13.81,4.19,3.32
40,Ilocos Norte,222.71,141.71,154.2,178.37,187.4,196.09,186.64,223.1,255.28,275.95,427.82,234.97,159.7,193.87,193.17,191.24,202.63,221.23,223.68,231.02,287.94,444.14,302.19,248.62,273.71,264.21,285,280.73,276.95,304.53,284.81,302.87,499.48,5.51,12.7,25.73,8.29,2.05,3.33,18.53,0.26,-9.5,4.35,3.81,28.61,55.67,41.18,36.77,49.03,38.54,25.18,36.15,23.28,5.19,12.46
