,"Table 5. Gini Coefficient and Palma Ratio, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Region/Province/HUC,2018,,2021,,2023p,
1,,Gini Coefficient,Palma Ratio,Gini Coefficient,Palma Ratio,Gini Coefficient,Palma Ratio
111,Samar (Western Samar),0.398669427,1.214397031,0.4293,1.45,0.4019,1.25
112,Southern Leyte,0.395603081,1.174452459,0.3993,1.17,0.383,1.07
113,Biliran,0.43680035,1.550412026,0.4583,1.62,0.4059,1.25
114,,,,,,,
115,REGION IX - ZAMBOANGA PENINSULA,0.420456509,1.434574696,0.4128,1.41,0.3904,1.25
116,Zamboanga Del Norte,0.417574248,1.388822817,0.4248,1.48,0.3882,1.23
117,Zamboanga Del Sur (Excluding City of Zamboanga),0.396705083,1.260044161,0.4294,1.56,0.443,1.58
118,City of Zamboanga,0.358159116,1.013818548,0.3065,0.8,0.2663,0.64
119,Zamboanga Sibugay,0.46994063,1.956309143,0.4837,2.05,0.4399,1.66
120,Isabela City,0.390101975,1.157820926,0.3452,0.92,0.3272,0.84
121,,,,,,,
122,REGION X - NORTHERN MINDANAO,0.410201692,1.374912742,0.4134,1.33,0.3903,1.22
123,Bukidnon,0.401363103,1.358326327,0.4217,1.48,0.3608,1.05
124,Camiguin,0.383810993,1.091469106,0.4391,1.51,0.3959,1.17
125,Lanao Del Norte (Excluding City of Iligan),0.35407971,1.021809787,0.3552,0.99,0.4225,1.51
126,City of Iligan,0.390302449,1.203656536,0.3833,1.14,0.406,1.33
127,Misamis Occidental,0.387756143,1.165883343,0.4111,1.28,0.4252,1.39
128,Misamis Oriental (Excluding City of Cagayan de Oro),0.398333576,1.299492795,0.3826,1.13,0.3484,0.95
129,City of Cagayan de Oro,0.418607297,1.454846159,0.4083,1.31,0.357,1.04
130,,,,,,,
131,REGION XI - DAVAO REGION,0.407518329,1.323949828,0.4132,1.38,0.4077,1.31
132,Davao Del Norte,0.37180674,1.056205966,0.352,0.96,0.3263,0.79
133,Davao Del Sur (Excluding City of Davao),0.422988719,1.445602132,0.4116,1.39,0.3926,1.21
134,City of Davao,0.381183007,1.113166766,0.4128,1.41,0.4298,1.48
135,Davao Oriental,0.393796583,1.185158496,0.362,1.03,0.3357,0.86
136,Davao De Oro,0.386853254,1.183783056,0.3701,1.06,0.3501,1
137,Davao Occidental,0.36416138,1.155095904,0.3824,1.22,0.3458,1.05
138,,,,,,,
139,REGION XII - SOCCSKSARGEN1/,0.45053942607460673,1.755529007954955,0.4241,1.5,0.4338,1.58
140,Cotabato (North Cotabato),0.4909195838153193,2.1667493734345866,0.3956,1.26,0.4288,1.53
141,South Cotabato (Excluding City of General Santos),0.454983776469556,1.6881953490184076,0.4357,1.61,0.3885,1.16
142,City of General Santos (Dadiangas),0.37159369092873373,1.055383466658999,0.4457,1.72,0.3857,1.15
143,Sultan Kudarat,0.41583593596079355,1.369746532924245,0.4087,1.31,0.5353,2.63
144,Sarangani,0.37860473963799146,1.2063994317354905,0.3954,1.32,0.3575,1.01
145,,,,,,,
146,CARAGA,0.438068426,1.593897757,0.4481,1.65,0.3994,1.24
147,Agusan Del Norte (Excluding City of Butuan),0.411686988,1.301353608,0.4434,1.58,0.3672,1.07
148,City of Butuan,0.460018796,1.743053023,0.462,1.84,0.4499,1.62
149,Agusan Del Sur,0.45436888,1.835475032,0.4356,1.55,0.3805,1.14
150,Surigao Del Norte,0.417723489,1.470867067,0.4597,1.74,0.3992,1.18
151,Surigao Del Sur,0.425029402,1.497856367,0.4299,1.51,0.3368,0.89
152,Dinagat Islands,0.404481067,1.25238969,0.4234,1.39,0.387,1.18
153,,,,,,,
154,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,0.2913724664987062,0.705311506035044,0.2778,0.62,0.2538,0.54
155,Basilan,0.30585835589214294,0.7562251442697769,0.3115,0.85,0.2341,0.48
156,Lanao Del Sur,0.3039141088236512,0.8337569700268581,0.2053,0.38,0.2433,0.51
157,Maguindanao ,0.296976856404883,0.7548407630810475,0.2673,0.69,0.19678245723879353,0.4571134962089135
158,Maguindanao del Norte,,,,,0.1787,0.41
159,Maguindanao del Sur,,,,,0.2146,0.51
160,Sulu,0.1849626196198798,0.4514950824068088,0.2199,0.42,0.2111,0.47
161,Tawi-Tawi,0.25504430956247576,0.5940942707092526,0.2701,0.72,0.2343,0.55
162,Cotabato City,0.341481347823337,0.9448364455965106,0.3305,0.96,0.2752,0.68
163,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,
164,,,,,,,
165,Notes:,,,,,,
166,p - Estimates are preliminary and may change,,,,,,
167,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,
168,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,
