1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
121,Isabela City,203.76,108.12,123.45,124.52,137.62,130.2,153.82,157.5,201.72,330.02,569.06,232.01,124.01,146.45,158.81,174.57,188.05,208.43,221.75,224.84,316.92,551.81,314.3,201.78,211.73,230.45,238.6,249.22,249.71,278.24,343.83,408.58,725.78,13.87,14.69,18.63,27.54,26.85,44.43,35.51,40.79,11.46,-3.97,-3.03,35.47,62.71,44.57,45.11,36.68,32.53,19.8,25.47,52.93,28.92,31.53
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,REGION X - NORTHERN MINDANAO,250.36,110.89,129.85,142.3,154.11,172.98,193.16,224.63,267.58,369.38,738.75,257.46,109.29,136.21,151.42,168.19,180.86,198.24,232.16,266.44,378.96,752.39,296.5,133.92,162.36,181.09,198.43,221.12,242.31,278.41,318.35,408.01,820.42,2.83,-1.44,4.9,6.41,9.14,4.56,2.63,3.35,-0.43,2.59,1.85,15.16,22.53,19.2,19.6,17.98,22.26,22.23,19.92,19.48,7.66,9.04
124,Bukidnon,224.22,103.69,122.51,132.81,144.91,151.73,178.11,186.61,243.7,294.31,682.94,246.89,99.02,127.84,141.98,147,181.36,197.24,212.03,251.87,349.04,760.06,254.87,129.69,144.06,166.4,178.42,203.38,228.2,248.08,275.15,327.31,647.21,10.11,-4.5,4.35,6.91,1.45,19.52,10.74,13.62,3.35,18.6,11.29,3.23,30.98,12.69,17.2,21.38,12.14,15.7,17,9.24,-6.23,-14.85
125,Camiguin,244.83,111.87,150.31,151.93,164.4,173.26,213.4,239.17,270.8,340.96,631.46,290.84,118.03,152.51,183.24,174.06,189.46,214.35,245.39,277.67,409.57,937.89,324.4,166.3,195.61,187.35,221.01,228.77,235.6,287.33,320.47,503.1,892.82,18.79,5.51,1.46,20.6,5.87,9.35,0.45,2.6,2.54,20.12,48.53,11.54,40.9,28.26,2.24,26.98,20.75,9.91,17.09,15.41,22.84,-4.81
126,Lanao Del Norte (Excluding City of Iligan),207.33,116.36,131.8,145.6,148.61,162.08,171.39,173.36,199.78,270.93,553.36,185.63,97.92,116.65,127.77,139.64,141.17,157.03,166.88,198.85,232.8,476.52,253.75,122.26,138.83,149.72,158.35,179.49,175.93,195.39,241.91,314.21,859.88,-10.47,-15.85,-11.49,-12.25,-6.04,-12.9,-8.38,-3.74,-0.47,-14.07,-13.89,36.7,24.86,19.01,17.18,13.4,27.14,12.04,17.08,21.65,34.97,80.45
127,City of Iligan,286.19,116.11,146.63,168.48,181.89,219.31,236.64,275.5,331.75,448.6,736.7,293.81,131.27,167.93,175.62,198.79,208.09,249.95,287.51,343.31,404.46,769.97,385.26,151.47,219.36,218.32,251.66,261.97,324.06,358.48,419.84,530.05,1115.22,2.66,13.05,14.52,4.24,9.29,-5.12,5.62,4.36,3.48,-9.84,4.52,31.13,15.39,30.62,24.31,26.59,25.89,29.65,24.68,22.29,31.05,44.84
128,Misamis Occidental,213.92,108.96,123.17,136.93,141.06,148.36,168.35,179.42,218.77,319.88,594.61,247.68,123.91,145.71,156.41,180.96,165.4,171.57,195.39,230.68,331.25,774.85,282.33,124.96,161.87,160.18,179.88,199,201.74,221.84,274.07,426.78,871.79,15.78,13.72,18.3,14.23,28.29,11.49,1.91,8.9,5.44,3.56,30.31,13.99,0.85,11.09,2.4,-0.6,20.31,17.59,13.54,18.81,28.84,12.51
129,Misamis Oriental (Excluding City of Cagayan de Oro),235.79,106.97,125.19,136.83,154.35,172.67,192.97,225.61,245.21,317.28,681.81,231.72,112.52,138.34,146.67,160.1,177.24,187.55,215.81,237.46,313.65,627.06,285,153.14,178.98,200.16,204.55,233.15,230.19,269.43,288.29,393.48,696.79,-1.72,5.18,10.51,7.19,3.72,2.65,-2.81,-4.34,-3.16,-1.14,-8.03,22.99,36.1,29.37,36.47,27.77,31.55,22.74,24.85,21.41,25.45,11.12
130,City of Cagayan de Oro,362.43,134.55,168.66,197.21,216.82,260.02,287.26,357.73,406.68,553.08,1040.86,353.5,158.18,179.52,195.08,217.52,259.74,286.13,352.32,411,494.51,979.69,386.93,189.7,219.52,251.92,276.51,302.03,371.89,370.96,408.55,502.21,972.35,-2.46,17.57,6.44,-1.08,0.32,-0.11,-0.39,-1.51,1.06,-10.59,-5.88,9.46,19.92,22.29,29.14,27.12,16.28,29.97,5.29,-0.6,1.56,-0.75
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,REGION XI - DAVAO REGION,269.91,111.62,138.59,155.68,173.52,196.34,214.49,250.77,295.19,395.55,758.46,281.88,115.58,147.53,165.37,178.11,203.07,225.33,255.87,303,389.91,834.61,318.95,135.53,170.06,184.17,205.78,234.85,257.06,291.2,345.13,453.27,911.95,4.44,3.55,6.45,6.22,2.65,3.43,5.05,2.03,2.65,-1.43,10.04,13.15,17.26,15.27,11.37,15.53,15.65,14.08,13.8,13.9,16.25,9.27
133,Davao Del Norte,262.4,125.57,161.36,170.44,197.82,194.69,218.43,243.17,286.46,335.11,689.8,255.12,130.45,161.1,175.32,187.23,210.28,213.62,244.11,276.34,323.46,628.51,264.91,147.78,178.36,193.8,218.47,224.19,232.65,260.58,283.87,325.07,582.95,-2.78,3.88,-0.16,2.86,-5.35,8.01,-2.2,0.39,-3.53,-3.48,-8.89,3.84,13.28,10.72,10.54,16.68,6.61,8.91,6.75,2.73,0.5,-7.25
134,Davao Del Sur (Excluding City of Davao),252.94,111.75,135.86,155.04,159.66,183.77,185.35,211.84,244.52,328.96,812.61,260.34,115.15,143.42,155.9,177.08,191.48,205.36,235.04,244.42,315.22,819.55,292.43,140.41,170.84,186.15,191.11,220.31,235.46,268.36,289.29,393.69,827.51,2.93,3.04,5.57,0.56,10.91,4.19,10.8,10.95,-0.04,-4.18,0.85,12.32,21.94,19.12,19.4,7.92,15.06,14.65,14.18,18.36,24.89,0.97
135,City of Davao,341.91,139.07,182.14,220.7,230.05,262.12,298.51,338.01,413.43,475.12,860.16,368.45,154.41,188.17,216.7,233.91,266.41,296,342.96,408.75,460.59,1114.68,412.91,136.1,187.5,224.85,280.5,301.68,339.37,387.29,488.58,552.98,1227.27,7.76,11.03,3.31,-1.81,1.68,1.64,-0.84,1.46,-1.13,-3.06,29.59,12.07,-11.86,-0.36,3.76,19.91,13.24,14.65,12.93,19.53,20.06,10.1
136,Davao Oriental,195.32,110.06,121.37,135.63,136.27,135.69,143.76,154.08,178.97,240.53,597.26,210.21,120.02,143.99,148.71,151.1,148.68,166.88,184.33,199.54,257.73,580.46,217.75,143.23,148.75,164.94,161.98,177.32,171.41,188.89,217.38,271,531.31,7.62,9.05,18.64,9.64,10.88,9.58,16.08,19.64,11.49,7.15,-2.81,3.59,19.33,3.3,10.91,7.2,19.27,2.72,2.48,8.94,5.15,-8.47
137,Davao De Oro,218.34,103.99,134.07,140.69,141.58,161.32,196.58,196.56,231.22,262.16,614.74,205.53,103.77,118.7,136.95,147.4,165.93,180.24,186.6,202.51,275.2,534.82,277.72,148.71,171.72,189.89,212.72,217.12,235.21,241.42,280.34,357.12,721.42,-5.87,-0.21,-11.46,-2.66,4.11,2.86,-8.31,-5.07,-12.42,4.98,-13,35.13,43.3,44.67,38.66,44.31,30.85,30.5,29.38,38.43,29.76,34.89
138,Davao Occidental,164.87,91.22,106.91,104.14,117.2,126.24,131.46,148.03,152.22,202.78,443.25,174.32,84.93,102.33,113.58,125.53,132.48,141.73,150.36,159,214.45,516.92,205.8,115.95,135.73,140.47,147.38,165.35,177.05,181.39,183.32,246.55,563.7,5.73,-6.89,-4.28,9.07,7.1,4.94,7.81,1.58,4.45,5.76,16.62,18.06,36.52,32.65,23.67,17.4,24.81,24.92,20.63,15.29,14.97,9.05
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,REGION XII - SOCCSKSARGEN1/,242.74,80.08,111.09,132.04,145.6,168.57,193.66,213.14,251.18,324.15,807.48,234.97,92.85,113.25,132.62,148.36,163.31,181.38,207.4,256.21,324.86,728.75,282.44,112.68,139.67,160.87,175.74,196.07,215.6,252.17,289.8,355.9,906.61,-3.2,15.95,1.94,0.44,1.9,-3.12,-6.34,-2.69,2,0.22,-9.75,20.2,21.36,23.33,21.3,18.46,20.06,18.87,21.59,13.11,9.55,24.41
141,Cotabato (North Cotabato),261.07,85.61,107.99,131.76,140.44,162.41,194.88,218.27,242.96,317.52,1008.24,231.21,110.14,123.13,137.48,157.56,164.54,179.64,207.82,253,315.29,660.83,308.53,119.52,154.46,175.69,195.32,215.19,239.3,277.73,315.12,409.87,978.86,-11.44,28.65,14.02,4.34,12.19,1.31,-7.82,-4.79,4.13,-0.7,-34.46,33.44,8.52,25.44,27.79,23.96,30.78,33.21,33.64,24.55,30,48.13
142,South Cotabato (Excluding City of General Santos),266.51,93.09,122.33,148.88,164.57,178.79,204.59,224.25,271.07,362.78,895.13,248.74,83.55,115.64,135.52,153.91,172.29,207.43,232.8,242.56,359.18,782.31,251.85,114.48,141.88,160.55,177.71,195.65,209.91,230.17,277.3,320.86,686.88,-6.67,-10.25,-5.47,-8.98,-6.48,-3.64,1.39,3.81,-10.52,-0.99,-12.6,1.25,37.02,22.69,18.48,15.47,13.56,1.2,-1.13,14.32,-10.67,-12.2
143,City of General Santos (Dadiangas),285.49,121.68,158.88,183.27,215.62,223.07,233.26,261.12,324.14,416.87,717.58,311.34,114.42,146.7,159.55,189.81,210.84,236.62,272.76,319.72,411.63,1047.77,331.82,154.66,184.44,209.45,216.74,249.06,280.7,310.63,348.23,488.07,872.44,9.05,-5.97,-7.67,-12.94,-11.97,-5.48,1.44,4.46,-1.36,-1.26,46.01,6.58,35.17,25.73,31.28,14.19,18.13,18.63,13.88,8.92,18.57,-16.73
144,Sultan Kudarat,205.16,79.58,106.52,119.38,131.97,143,179.21,187.95,216.59,286.93,600.97,205.95,89.75,103.41,118.18,141.22,146.36,153.79,173.74,218.57,322.48,591.04,293.83,102.15,122.92,131.75,151.12,158.62,175.73,198.47,250.4,313.29,1330.8,0.38,12.78,-2.92,-1,7.01,2.35,-14.19,-7.56,0.91,12.39,-1.65,42.67,13.82,18.86,11.48,7.01,8.38,14.27,14.23,14.56,-2.85,125.16
145,Sarangani,156.05,58.67,78.17,93.88,111.02,120.92,138.84,153.09,181.15,211.78,413.63,171.13,72.02,91.43,102.5,121.96,126.32,136.2,158.22,171.89,218.56,511.59,203.58,97.64,125.6,134.17,145.07,161.52,167.01,182.65,225.85,290.85,504.22,9.66,22.76,16.96,9.19,9.86,4.47,-1.9,3.35,-5.11,3.2,23.68,18.96,35.56,37.38,30.9,18.95,27.86,22.62,15.44,31.39,33.07,-1.44
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,CARAGA,242.75,97.99,120.49,135.86,150.55,161.64,176.08,205.11,241.26,333.67,805.15,249.77,102.13,123.72,133.97,147.24,162.73,183.45,206.66,243.55,359.39,834.21,276.57,130.19,157.44,170.61,189.64,202.88,221.13,236.54,284.11,370.29,802.02,2.89,4.23,2.68,-1.39,-2.2,0.67,4.18,0.75,0.95,7.71,3.61,10.73,27.48,27.25,27.35,28.8,24.67,20.54,14.46,16.66,3.03,-3.86
148,Agusan Del Norte (Excluding City of Butuan),206.84,92.23,115.67,127.57,135.78,138.71,170.04,184.06,222.9,267.98,614.63,246.44,101.41,127.91,141.68,145.79,162.87,176.73,211.53,235.38,341.72,818.08,247.8,118.15,144.94,152.14,180.16,193.91,205.95,236.77,265.02,344.06,634.57,19.14,9.96,10.59,11.06,7.37,17.42,3.94,14.92,5.6,27.52,33.1,0.55,16.51,13.31,7.39,23.57,19.06,16.54,11.93,12.59,0.68,-22.43
149,City of Butuan,294.43,105.07,122.96,152.26,171.43,191.01,224.79,252.2,320.72,441.13,963.44,309.09,107.47,129.13,151.44,166.45,207.95,233.19,268.38,316.55,492.82,1016.52,378.89,131.93,171.99,206.99,219.36,246.16,262.06,336.44,446.25,585.38,1179.79,4.98,2.28,5.02,-0.54,-2.91,8.87,3.74,6.42,-1.3,11.72,5.51,22.58,22.76,33.19,36.69,31.78,18.38,12.38,25.36,40.97,18.78,16.06
150,Agusan Del Sur,229.72,92.12,114.43,126.2,133.19,152.9,161.96,173.43,202.71,285.23,856.11,214.59,95.62,115.76,117.64,133.61,139.61,161.56,183.19,205.44,277.75,714.42,224.15,117.9,140.17,150.77,155.48,170.44,179.59,201,205.11,280.25,638.58,-6.59,3.79,1.16,-6.79,0.32,-8.69,-0.25,5.63,1.35,-2.62,-16.55,4.45,23.3,21.09,28.17,16.37,22.08,11.16,9.72,-0.16,0.9,-10.62
151,Surigao Del Norte,249.37,105.25,136.48,139.72,155.68,183.08,179.32,212.77,249.85,341.37,791.47,261.95,106.9,123.71,136.26,159.97,176.45,179.42,209.97,245.52,362.22,914.74,333.69,162.08,190.28,225.37,217.03,256.49,251.32,304.27,320.33,473.01,935.62,5.05,1.57,-9.35,-2.48,2.76,-3.62,0.05,-1.31,-1.73,6.11,15.58,27.39,51.62,53.81,65.4,35.67,45.36,40.07,44.91,30.47,30.59,2.28
152,Surigao Del Sur,251.62,104.59,123.91,153.22,149.89,164.68,198.93,215.65,262.23,347.35,793.98,249.8,109.49,126.29,137.76,157.68,167.87,176.34,204.77,247.31,369.45,798.29,247.8,156.98,166.02,179.22,190.6,202.77,202.77,229.21,230.68,305.38,613.13,-0.72,4.68,1.92,-10.09,5.19,1.93,-11.36,-5.05,-5.69,6.36,0.54,-0.8,43.38,31.46,30.09,20.87,20.79,14.99,11.94,-6.72,-17.34,-23.19
153,Dinagat Islands,204.1,91.46,121.17,129,144.52,148.81,168.41,169.05,200.19,259.65,608.53,238.07,106.11,129.73,130.17,154.41,162.95,176.26,214.74,259.27,325.51,717.81,258.84,124.18,146.29,162.74,171.6,186.68,231.77,243.52,267.21,344.91,704.46,16.64,16.02,7.06,0.91,6.84,9.5,4.66,27.03,29.51,25.36,17.96,8.73,17.03,12.76,25.02,11.13,14.57,31.49,13.4,3.06,5.96,-1.86
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,166.93,104.35,122.54,125.94,133.17,139.84,146.78,152.27,168.33,203.57,372.32,188.53,110.71,133.56,148.7,166.99,175.8,183.4,195.89,196.43,219.11,354.42,206.88,141.47,156.26,176.85,182.87,191.78,198.31,202.73,218.31,238.24,367.83,12.94,6.09,8.99,18.07,25.4,25.72,24.95,28.65,16.69,7.63,-4.81,9.73,27.78,17,18.93,9.51,9.09,8.13,3.49,11.14,8.73,3.78
156,Basilan,137.23,90.26,102.66,103.01,111.66,111.14,117.15,129.62,132.03,165.79,309.54,159.71,98.81,113.24,119.3,123.16,135.78,143.14,141.95,153.3,182.32,385.05,197.82,165.42,166.24,173.83,189.79,176.51,188.94,182.36,189.81,209.84,335.08,16.38,9.48,10.31,15.81,10.3,22.17,22.19,9.51,16.11,9.97,24.39,23.856488082096394,67.4130943526336,46.8087370136008,45.70842554658785,54.09689581395134,29.990308780123655,31.99044538266831,28.467419635227543,23.816795456394637,15.095895661858583,-12.97593363507853
157,Lanao Del Sur,171.26,100.92,121.55,129.97,132.1,143.91,153.84,155.07,170.84,200.54,403.59,244.71,216.48,237.38,228.24,229.45,236.5,239.73,229.82,237.8,245.66,345.65,257.47,224.47,232.86,229.05,233.46,237.23,229.93,225.75,240.33,256.74,464.62,42.89,114.5,95.3,75.61,73.7,64.33,55.83,48.21,39.2,22.5,-14.36,5.2167323707960955,3.689769749171279,-1.9031416720488248,0.3546147191960669,1.744770554899322,0.3067280778288328,-4.086199891732035,-1.771024400938681,1.0674509335746318,4.5122634507617665,34.4203628171863
158,Maguindanao ,168,98.83,118.65,122.08,134.82,147.18,156.89,156.8,174.85,211.35,358.85,160.81,103.38,116.06,126.25,129.75,146.22,150.15,164.84,166.13,179.8,324.37,156.02,127.46,138.49,136.93,139.86,149.51,148.33,150.72,154.72,166.57,247.29,-4.28,4.6,-2.19,3.42,-3.76,-0.65,-4.3,5.13,-4.99,-14.93,-9.61,-2.975548515548998,23.2959767729239,19.322852031239957,8.45865560556538,7.79526798564758,2.2533411487531074,-1.2177004080566323,-8.563468868583001,-6.868292451560942,-7.358264000544745,-23.762421489955198
159,Maguindanao del Norte,,,,,,,,,,,,,,,,,,,,,,,161.89,132.78,139.52,137.96,139.33,150.14,153.43,152.88,156.72,174.92,281.04,,,,,,,,,,,,,,,,,,,,,,
160,Maguindanao del Sur,,,,,,,,,,,,,,,,,,,,,,,150.8,122.77,137.57,136.01,140.33,148.95,143.8,148.82,152.93,159.13,217.42,,,,,,,,,,,,,,,,,,,,,,
161,Sulu,138.85,120.03,127.35,131.11,128.88,132.11,127.31,128.57,129.54,135.13,228.07,159.3,112.57,145.75,146.17,155.08,153.69,156.61,155.5,160.5,172.44,234.24,228.09,176.8,194.81,196.54,200.25,206.99,201.81,234.48,235.5,276.24,356.75,14.73,-6.21,14.45,11.49,20.33,16.34,23.01,20.95,23.9,27.61,2.7,43.186713941642395,57.06392391820059,33.664876595291894,34.46494965572264,29.127479025539273,34.67424425243073,28.864144280645743,50.794382511144676,46.73239915189254,60.19036849757218,52.29819328915883
162,Tawi-Tawi,184.12,135.53,145.36,146.73,155.6,155.63,174.49,168.37,189.65,223.07,346.84,189.67,117.04,132.14,139.89,151.76,160.69,170.23,185.58,203.64,249.93,384.63,190,129.74,139.55,155.36,160.98,168,178.64,188.2,210.07,243.74,324.44,3.01,-13.64,-9.09,-4.66,-2.47,3.25,-2.44,10.22,7.37,12.04,10.89,0.1789282181286378,10.849698183844826,5.602121120368975,11.062490633205835,6.079867264224181,4.552371275144251,4.942669977103686,1.414086723154817,3.1588532561171556,-2.4741775194990656,-15.64957438523299
163,Cotabato City,231.5,127.37,142.69,152.2,173.24,170.74,186.36,211.83,259.44,328.12,564.37,229.26,130.01,142.86,154.45,179.8,195.98,190.62,207.03,235.85,270.9,584.14,232.51,163.14,181.23,181.69,186.09,190.08,207.14,211.41,249.06,274.52,478.52,-0.97,2.07,0.12,1.48,3.78,14.78,2.29,-2.27,-9.09,-17.44,3.5,1.42,25.48,26.86,17.63,3.5,-3.01,8.67,2.11,5.6,1.34,-18.08
164,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,p - Estimates are preliminary and may change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
