1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
24,Pasay City,429.85,214.74,266.32,309.36,371.29,405.7,387.73,479.97,538.19,612.23,712.74,393.06,199.2,240.16,286.06,312.24,361.82,378.28,428.11,499.61,509.89,712.81,477.31,290.61,328.04,356.43,404.18,461.21,490.03,519.58,565.5,569.28,783.94,-8.56,-7.24,-9.82,-7.53,-15.9,-10.82,-2.44,-10.8,-7.17,-16.72,0.01,21.44,45.89,36.59,24.6,29.44,27.47,29.54,21.37,13.19,11.65,9.98
25,City of Makati,651.4,267.45,362.25,418.84,465.56,494.72,509.86,636.98,737.72,827.44,1797.86,579.57,243.55,329.28,374.22,443.42,412.15,548.25,534.04,563.09,659.54,1679.45,799.54,295.07,379.94,482.22,516.77,556.55,617.96,689.57,761.76,887.81,2799.99,-11.03,-8.94,-9.1,-10.65,-4.76,-16.69,7.53,-16.16,-23.67,-20.29,-6.59,37.95,21.15,15.39,28.86,16.54,35.03,12.71,29.12,35.28,34.61,66.72
26,Pateros,437.85,199.42,249.44,312.51,383.44,413.6,403.86,465.67,545.49,574.7,828.98,360.18,197.28,265.73,263.62,305.3,346.3,359.71,419.82,438.62,452.71,548.23,504.77,249.26,311.12,344.23,418.58,469.24,499.84,518.34,589.07,723.67,916.84,-17.74,-1.07,6.53,-15.65,-20.38,-16.27,-10.93,-9.85,-19.59,-21.23,-33.87,40.14,26.35,17.08,30.57,37.1,35.5,38.96,23.47,34.3,59.85,67.24
27,City of Taguig,428.62,215.52,280.22,323.09,333.58,356.2,417.32,482.81,524.36,535.51,818.99,376.13,202.38,258.41,273.91,313.18,314.5,347.53,398.34,423.54,512.56,714.71,519.6,235.87,299.77,355.25,380.27,407.2,489.41,501.67,593,653.55,1274.85,-12.25,-6.1,-7.78,-15.22,-6.11,-11.71,-16.72,-17.49,-19.23,-4.29,-12.73,38.14,16.55,16,29.7,21.42,29.48,40.83,25.94,40.01,27.51,78.37
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CAR - CORDILLERA ADMINISTRATIVE REGION,353.92,119.57,157.9,186.87,206.44,235.46,284.99,343.25,410.48,553.14,1040.8,350.43,140.08,179.6,206.24,229.97,256.08,291.71,328.13,393.7,510.59,966.96,359.24,176.56,216.08,243.82,267.08,285.25,337.87,378.64,436.72,494.85,755.17,-0.99,17.16,13.74,10.36,11.4,8.76,2.36,-4.41,-4.09,-7.69,-7.09,2.51,26.04,20.31,18.22,16.13,11.39,15.82,15.39,10.93,-3.08,-21.9
30,Abra,237.61,92.9,124.43,137.54,152.19,190.83,197.32,214.8,275.54,347.01,643.92,264.59,120.57,144.68,157.42,187.11,192.75,212.4,232.9,270.11,370.81,754.42,274.21,141.39,182.15,191.33,214.83,230.19,230.69,265.72,290.61,359.89,633.86,11.35,29.78,16.27,14.46,22.94,1.01,7.64,8.43,-1.97,6.86,17.16,3.64,17.26,25.9,21.55,14.81,19.42,8.61,14.09,7.59,-2.94,-15.98
31,Benguet (Excluding City of Baguio),355.21,122.27,170.97,198.27,222.64,265.38,293.23,332.4,397.8,513.77,1035.71,324.49,131.46,172.53,201.44,230.92,238.7,278.13,315.45,364.29,449.55,860.75,342.89,170.18,219.84,254.11,273.26,295.91,344.34,380.32,405.45,453.75,630.13,-8.65,7.51,0.91,1.6,3.72,-10.05,-5.15,-5.1,-8.42,-12.5,-16.89,5.67,29.45,27.43,26.15,18.34,23.96,23.8,20.56,11.3,0.93,-26.79
32,City of Baguio,499.48,170.29,232.25,275.61,351.04,410.35,443.98,476.98,645.3,727.66,1261.29,454.47,189.45,256.43,297.06,335.22,348.73,377.34,456.29,517.12,593.68,1171.67,443.2,243.48,287.23,347.61,385.73,400.65,451.94,496.52,547.66,517.46,751.3,-9.01,11.25,10.41,7.78,-4.51,-15.02,-15.01,-4.34,-19.86,-18.41,-7.11,-2.48,28.52,12.01,17.02,15.07,14.89,19.77,8.82,5.91,-12.84,-35.88
33,Ifugao,313.07,144.33,171.68,202.64,200.6,199.87,243.5,276.36,320.75,465.62,906.82,329.24,142.27,190.91,196.84,233.46,239.5,277.22,308.64,367.95,489.57,843.82,322.19,177.07,211.39,234.06,225.87,246.5,257.15,273.64,321.44,421.35,850.94,5.16,-1.43,11.2,-2.86,16.38,19.83,13.85,11.68,14.72,5.14,-6.95,-2.14,24.46,10.73,18.91,-3.25,2.92,-7.24,-11.34,-12.64,-13.93,0.84
