1,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
24,Pasay City,34482.33,2166.62,2587.72,2674.84,3162.9,3358.53,3082,3667.39,4327.88,4534.27,4920.18,33676.71,2215.94,2465.71,2695.9,3061.6,3279.57,3335.63,3581.35,3867.92,4033.77,5139.32,40466.94,3084.25,3396.99,3462.42,3653.51,4031.69,4328.03,4126.6,4620.13,4487.42,5275.89,-2.34,2.28,-4.71,0.79,-3.2,-2.35,8.23,-2.35,-10.63,-11.04,4.45,20.16,39.18,37.77,28.43,19.33,22.93,29.75,15.22,19.45,11.25,2.66
25,City of Makati,83563.81,4256.79,5496.16,6057.92,6382.45,6642.79,7028.91,8199.55,8878.23,10319.85,20301.17,79788.07,4269.15,5359.61,5765.14,6260.43,5949,7623.58,6859.9,7535.27,8151.29,22014.7,104194.84,5363.7,6183.86,7466.69,7624.03,8065.66,8357.37,8764.55,9577.56,11505.53,31285.9,-4.52,0.29,-2.48,-4.83,-1.91,-10.44,8.46,-16.34,-15.13,-21.01,8.44,30.59,25.64,15.38,29.51,21.78,35.58,9.63,27.76,27.1,41.15,42.11
26,Pateros,5112.63,281.67,328.19,403.06,477.13,505.26,514.42,530.45,657.62,617.72,797.12,3917.43,251.17,314.37,307.52,350.8,390.79,383.67,448.27,418.87,481.95,570,5140.35,324.13,387.99,390.05,451.22,508.84,517.75,525.23,602.61,665.33,767.21,-23.38,-10.83,-4.21,-23.7,-26.48,-22.66,-25.42,-15.49,-36.31,-21.98,-28.49,31.22,29.05,23.42,26.83,28.63,30.21,34.95,17.17,43.86,38.05,34.6
27,City of Taguig,83749.6,5103.95,6183.84,6927.67,7220.15,7348.18,8405.94,9594.75,9594.39,10082.86,13287.86,71344.84,4929.32,5650.05,5972.09,6710.13,6504.43,6671.16,7227.53,8087.46,8826.86,10765.82,107717.67,6523,7771.19,8766.01,8879.32,9186.24,10382.46,10546.2,11473.8,12438.1,21751.36,-14.81,-3.42,-8.63,-13.79,-7.06,-11.48,-20.64,-24.67,-15.71,-12.46,-18.98,50.98,32.33,37.54,46.78,32.33,41.23,55.63,45.92,41.87,40.91,102.04
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CAR - CORDILLERA ADMINISTRATIVE REGION,97289.86,5144.41,5786.99,6428.48,6773.71,7380.64,8612.15,10095.2,11632.57,14532.06,20903.66,108683.1,6010.39,7011.82,7595.07,8346.76,8911.5,9830.78,10746.02,12340.75,14816.03,23073.98,114932.9,7654.98,8659.46,9199.51,9696.92,10067.13,11264.32,12130.28,13163.7,14216.14,18880.48,11.71,16.83,21.17,18.15,23.22,20.74,14.15,6.45,6.09,1.95,10.38,5.75,27.36,23.5,21.12,16.18,12.97,14.58,12.88,6.67,-4.05,-18.17
30,Abra,9361.79,531.28,619.12,663,716.59,840.52,835.33,856.94,1120.53,1236.28,1942.23,10629.78,651,722.32,725.37,836.04,845.27,932.71,917.94,1057.78,1419.44,2521.89,13381.12,839.3,1051.54,1062.67,1139.4,1176.08,1153.58,1325.8,1392.55,1590.43,2649.78,13.54,22.53,16.67,9.41,16.67,0.57,11.66,7.12,-5.6,14.82,29.85,25.88,28.92,45.58,46.5,36.28,39.14,23.68,44.43,31.65,12.05,5.07
31,Benguet (Excluding City of Baguio),26857.69,1433.24,1737.38,1911.14,2001.78,2391.94,2471.2,2670.59,3096.05,3623.67,5520.7,30790.61,1856.69,2118.92,2452.3,2560.19,2596.12,2771.7,3003.15,3304.2,3799.29,6328.04,31994.97,2152.39,2625.56,2909.31,2727.45,3056.58,3265,3444,3466.68,3646.63,4701.37,14.64,29.54,21.96,28.32,27.9,8.54,12.16,12.45,6.72,4.85,14.62,3.91,15.93,23.91,18.64,6.53,17.74,17.8,14.68,4.92,-4.02,-25.71
32,City of Baguio,32272.35,1416.72,1942.67,2114.62,2561.6,3026.78,3222.53,3198.94,4370.18,4578.88,5839.45,31945.28,1878.83,2369.32,2615.08,2727.52,2896.1,2914.1,3282.47,3703.82,3771.27,5786.76,31266.48,2295.33,2460.13,2807.57,2997.34,2971.02,3299.02,3364.21,3606.19,3215.64,4250.02,-1.01,32.62,21.96,23.67,6.48,-4.32,-9.57,2.61,-15.25,-17.64,-0.9,-2.12,22.17,3.83,7.36,9.89,2.59,13.21,2.49,-2.64,-14.73,-26.56
33,Ifugao,8117.39,572.22,609.66,677.12,612.42,613.62,652.51,750.92,851.09,1187.98,1589.87,9926.99,574.66,683.85,697.99,746.88,768.04,876.42,935.98,1086.3,1374.03,2182.83,9665.75,685.18,798.74,830.37,760.71,834.18,853.97,862.42,945.56,1211.16,1883.46,22.29,0.43,12.17,3.08,21.96,25.17,34.32,24.64,27.64,15.66,37.3,-2.63,19.23,16.8,18.97,1.85,8.61,-2.56,-7.86,-12.96,-11.85,-13.71
