rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
33,RJ Barrett,24,TOR,SG,35,35,33.50,8.20,17.70,.465,1.80,5.50,.333,6.40,12.20,.523,.516,4.00,5.80,.690,1.00,5.70,6.70,5.90,0.80,0.40,3.10,2.50,22.30
34,Brandon Ingram,27,NOP,SF,18,18,33.10,8.60,18.50,.465,2.40,6.40,.374,6.20,12.10,.514,.530,2.60,3.10,.855,0.90,4.60,5.60,5.20,0.90,0.60,3.80,2.50,22.20
35,Zion Williamson,24,NOP,PF,10,10,28.90,8.20,16.90,.485,0.20,1.00,.200,8.00,15.90,.503,.491,5.30,8.50,.624,3.40,4.80,8.20,5.40,1.20,1.20,3.40,2.90,21.90
36,Trey Murphy III,24,NOP,SF,28,26,35.00,7.10,15.90,.449,3.10,8.70,.358,4.00,7.20,.559,.547,4.20,4.60,.907,1.00,4.00,5.00,2.90,1.20,0.80,1.60,2.40,21.60
37,DeMar DeRozan,35,SAC,SF,37,37,35.70,8.00,16.80,.479,0.80,2.60,.316,7.20,14.20,.509,.503,4.70,5.40,.865,0.50,3.30,3.80,3.80,1.20,0.40,1.50,2.10,21.50
38,Jalen Green,22,HOU,SG,42,42,32.80,7.50,17.30,.436,2.90,8.00,.360,4.70,9.30,.501,.519,3.60,4.10,.872,0.60,3.80,4.40,2.70,1.00,0.30,2.50,1.70,21.50
39,Jordan Poole,25,WAS,SG,35,35,31.00,6.90,16.20,.427,3.70,9.20,.402,3.20,7.00,.459,.541,3.90,4.50,.860,0.40,2.60,3.00,4.70,1.50,0.40,3.60,3.30,21.40
40,James Harden,35,LAC,PG,40,40,33.60,6.30,15.90,.394,2.90,8.30,.344,3.40,7.60,.449,.484,6.00,6.70,.888,0.60,5.20,5.80,8.10,1.40,0.60,4.60,2.00,21.30
41,Ja Morant,25,MEM,PG,25,25,28.40,7.20,16.30,.445,1.50,4.90,.303,5.80,11.40,.505,.490,5.30,6.60,.811,0.60,3.60,4.30,7.50,1.20,0.30,3.80,1.80,21.30
42,Darius Garland,25,CLE,PG,41,41,30.10,7.50,15.10,.498,2.90,6.90,.427,4.60,8.20,.558,.595,3.10,3.50,.901,0.50,2.00,2.50,6.80,1.10,0.20,2.40,2.00,21.10
43,Brandon Miller,22,CHO,SF,27,27,34.20,7.30,18.20,.403,3.90,10.90,.355,3.50,7.30,.475,.509,2.50,2.90,.861,0.90,3.90,4.90,3.60,1.10,0.70,2.80,2.70,21.00
44,Domantas Sabonis,28,SAC,C,39,39,36.00,8.20,13.60,.605,1.20,2.40,.484,7.10,11.20,.631,.647,3.20,4.20,.767,3.90,10.30,14.20,6.30,0.70,0.50,2.90,3.60,20.80
45,Jalen Williams,23,OKC,SG,41,41,32.40,8.00,16.90,.475,1.70,5.00,.338,6.30,11.90,.532,.525,2.90,3.70,.781,0.80,4.90,5.70,5.20,1.80,0.70,2.30,2.50,20.60
46,Nikola Vučević,34,CHI,C,43,43,32.30,8.30,15.00,.554,1.90,4.70,.411,6.40,10.30,.619,.618,1.80,2.20,.809,2.40,8.00,10.40,3.40,0.90,0.70,1.50,2.40,20.30
47,Lauri Markkanen,27,UTA,PF,31,31,31.70,6.30,14.80,.428,3.10,8.40,.365,3.30,6.40,.510,.532,4.40,5.00,.883,1.70,4.40,6.10,1.90,0.80,0.30,1.40,1.70,20.10
48,Pascal Siakam,30,IND,PF,43,43,33.30,7.80,14.90,.523,1.70,4.30,.405,6.00,10.60,.570,.581,2.90,3.80,.745,1.70,5.60,7.30,3.40,0.90,0.30,1.20,2.60,20.10
49,Scottie Barnes,23,TOR,PF,30,30,34.70,7.70,16.60,.463,1.40,5.20,.277,6.20,11.40,.547,.506,3.10,4.20,.730,1.60,6.40,8.10,6.60,1.50,0.90,3.40,2.20,19.80
50,Jamal Murray,27,DEN,PG,37,37,35.80,7.20,16.00,.452,2.10,5.70,.376,5.10,10.40,.493,.519,3.20,3.60,.867,0.50,3.40,4.00,6.00,1.50,0.60,2.30,1.70,19.80
