rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
228,Draymond Green,34,GSW,PF,34,32,27.80,2.90,7.10,.415,1.40,3.70,.362,1.60,3.40,.474,.510,1.20,1.90,.615,1.00,5.00,6.00,5.50,1.00,1.10,2.50,3.10,8.40
229,Al Horford,38,BOS,C,34,25,27.10,3.10,7.20,.426,1.90,5.30,.369,1.10,1.90,.585,.561,0.30,0.40,.833,1.00,4.20,5.30,2.10,0.70,0.90,0.80,1.50,8.40
230,Trayce Jackson-Davis,24,GSW,C,41,34,20.30,3.60,6.30,.573,0.00,0.00,.000,3.60,6.30,.575,.573,1.10,1.80,.608,2.40,4.10,6.50,2.20,0.50,0.80,1.00,1.40,8.40
231,Jaylen Nowell,25,NOP,SG,8,0,21.00,3.30,9.10,.356,1.00,3.40,.296,2.30,5.80,.391,.411,0.90,1.40,.636,0.80,1.80,2.50,2.30,0.10,0.50,1.00,1.10,8.40
232,Nickeil Alexander-Walker,26,MIN,SG,43,2,22.70,3.00,6.70,.448,1.60,3.90,.407,1.40,2.80,.504,.566,0.70,1.10,.696,0.60,2.20,2.80,2.30,0.70,0.30,1.20,1.70,8.30
233,Max Christie,21,LAL,SG,40,19,24.30,2.70,6.20,.439,1.20,3.30,.356,1.50,2.90,.535,.535,1.70,2.00,.852,0.60,1.90,2.50,1.30,0.90,0.50,0.80,1.50,8.30
234,Trendon Watford,24,BRK,PF,13,0,16.10,2.70,6.10,.443,0.60,2.00,.308,2.10,4.10,.509,.494,2.30,2.70,.857,0.30,2.50,2.80,1.20,0.40,0.30,1.20,2.30,8.30
235,Jalen Smith,24,CHI,C,40,1,15.20,2.90,6.30,.464,1.10,3.40,.328,1.80,2.90,.621,.552,1.30,1.50,.820,1.50,3.90,5.40,0.90,0.30,0.70,0.70,1.60,8.20
236,Jaden Hardy,22,DAL,SG,34,3,15.90,2.90,6.90,.427,1.30,3.20,.394,1.70,3.70,.456,.519,1.00,1.40,.739,0.20,1.40,1.60,1.40,0.60,0.10,1.50,1.60,8.10
237,Cody Martin,29,CHO,SF,37,7,25.40,3.10,7.00,.442,1.10,3.30,.328,2.00,3.70,.543,.519,0.80,1.20,.689,1.00,3.60,4.60,2.40,1.20,0.70,1.10,1.90,8.10
238,Moses Moody,22,GSW,SG,35,4,17.20,2.80,6.50,.430,1.50,4.00,.388,1.30,2.50,.494,.548,1.00,1.30,.745,0.40,1.50,1.90,1.00,0.50,0.30,0.70,1.30,8.10
239,Bruce Brown,28,TOR,PG,10,0,18.90,3.10,7.10,.437,0.70,1.90,.368,2.40,5.20,.462,.486,1.10,1.40,.786,1.20,2.40,3.60,1.30,0.70,0.20,0.90,1.60,8.00
240,Brandin Podziemski,21,GSW,SG,30,8,24.20,3.10,7.70,.404,1.00,3.50,.295,2.10,4.20,.496,.472,0.70,1.00,.733,1.00,3.50,4.50,3.20,1.00,0.20,1.00,1.50,8.00
241,A.J. Green,25,MIL,SG,38,4,21.80,2.70,5.90,.447,2.30,5.20,.442,0.30,0.70,.481,.642,0.30,0.40,.857,0.30,2.10,2.30,1.30,0.50,0.10,0.60,2.20,7.90
242,Mike Conley,37,MIN,PG,39,33,24.30,2.40,6.80,.357,1.70,4.60,.372,0.70,2.20,.326,.483,1.20,1.40,.889,0.50,2.10,2.60,4.20,1.20,0.20,1.10,1.50,7.80
243,Jake LaRavia,23,MEM,PF,42,0,21.80,2.70,5.50,.491,0.90,2.10,.437,1.80,3.40,.524,.574,1.50,2.10,.711,1.40,3.00,4.40,3.10,0.90,0.50,1.50,2.00,7.80
244,Keon Ellis,25,SAC,SG,40,10,21.50,2.50,5.20,.478,1.70,3.70,.446,0.80,1.50,.559,.638,1.10,1.20,.857,0.80,1.70,2.40,1.20,1.40,0.70,0.80,1.90,7.70
245,Ausar Thompson,22,DET,SF,21,10,19.00,3.20,6.60,.489,0.30,1.40,.241,2.90,5.20,.555,.514,0.90,1.70,.528,1.50,3.40,4.90,1.70,1.40,0.30,1.40,2.50,7.70
246,Kel'el Ware,20,MIA,C,27,1,14.90,3.20,5.60,.566,0.60,1.50,.390,2.60,4.10,.631,.618,0.80,1.10,.724,1.00,3.40,4.40,0.60,0.40,1.00,0.50,1.10,7.70
247,Kyshawn George,21,WAS,SG,37,8,25.60,2.60,7.40,.349,1.40,5.10,.279,1.20,2.30,.506,.445,1.00,1.40,.760,0.80,2.90,3.80,2.30,0.80,0.60,1.20,3.00,7.60
248,Day'Ron Sharpe,23,BRK,C,22,0,17.20,3.00,6.50,.469,0.10,1.20,.115,2.90,5.30,.547,.479,1.40,1.90,.756,2.80,3.40,6.20,1.50,0.60,0.50,1.20,2.00,7.60
249,Max Strus,28,CLE,SF,14,1,23.10,2.60,6.60,.398,2.10,5.60,.372,0.60,1.10,.533,.554,0.30,0.40,.800,0.80,2.90,3.60,2.90,0.40,0.30,1.10,1.60,7.60
250,Brandon Clarke,28,MEM,PF,40,18,18.50,3.40,5.50,.614,0.00,0.40,.063,3.40,5.10,.657,.616,0.80,1.20,.652,1.80,3.20,5.00,1.00,0.80,0.50,0.60,2.30,7.50
251,Ryan Dunn,22,PHO,SF,38,22,20.40,3.10,6.70,.457,1.20,3.60,.321,1.90,3.10,.615,.543,0.20,0.50,.474,1.00,2.50,3.50,0.90,0.50,0.70,0.40,2.50,7.50
252,DaQuan Jeffries,27,CHO,SG,8,0,19.00,3.00,5.60,.533,1.10,2.50,.450,1.90,3.10,.600,.633,0.40,0.50,.750,0.80,2.10,2.90,0.60,0.60,0.60,0.80,1.80,7.50
253,Cason Wallace,21,OKC,SG,41,28,27.60,3.00,6.80,.448,1.00,3.00,.339,2.00,3.80,.535,.523,0.30,0.40,.778,1.10,2.40,3.50,2.50,1.70,0.60,0.70,2.10,7.50
254,Sam Hauser,27,BOS,PF,36,6,20.30,2.70,6.30,.421,2.00,5.40,.368,0.70,1.00,.714,.577,0.10,0.10,1.000,0.70,2.30,3.00,1.10,0.80,0.20,0.30,1.10,7.40
255,Cameron Payne,30,NYK,PG,39,1,14.70,2.60,6.00,.438,1.60,3.70,.421,1.10,2.30,.467,.568,0.60,0.60,.880,0.30,1.20,1.40,2.50,0.60,0.30,0.70,1.70,7.40
256,Johnny Juzang,23,UTA,SG,32,5,17.80,2.50,5.90,.418,1.70,4.20,.400,0.80,1.70,.463,.561,0.70,0.80,.880,0.60,2.20,2.80,1.00,0.40,0.20,0.50,1.90,7.30
257,Taurean Prince,30,MIL,SF,41,34,25.30,2.60,5.70,.457,1.70,3.60,.463,0.90,2.10,.447,.605,0.40,0.50,.773,0.60,3.10,3.60,1.80,0.80,0.10,1.10,1.90,7.30
258,Ja'Kobe Walter,20,TOR,SG,25,7,18.90,2.60,6.70,.395,1.00,3.20,.296,1.70,3.40,.488,.467,1.00,1.50,.676,0.80,1.60,2.40,1.40,0.50,0.20,0.80,1.80,7.20
259,Andre Drummond,31,PHI,C,28,16,19.20,2.90,5.70,.509,0.00,0.40,.091,2.90,5.30,.541,.513,1.30,2.20,.574,2.50,5.10,7.60,0.60,1.10,0.40,1.70,2.40,7.10
260,Isaiah Jackson,23,IND,C,5,1,16.80,2.80,4.60,.609,0.00,0.00,0.0,2.80,4.60,.609,.609,1.40,2.80,.500,2.20,3.40,5.60,1.00,0.60,1.60,1.00,2.80,7.00
261,Torrey Craig,34,CHI,SF,9,1,12.60,2.40,5.00,.489,1.70,3.90,.429,0.80,1.10,.700,.656,0.30,0.40,.750,0.90,1.90,2.80,0.60,0.20,0.10,0.00,1.70,6.90
262,Josh Green,24,CHO,SG,37,36,28.20,2.40,6.00,.407,1.40,3.50,.388,1.10,2.50,.435,.520,0.70,1.00,.658,1.20,1.80,2.90,1.50,1.10,0.30,0.90,2.80,6.90
263,Bones Hyland,24,LAC,PG,18,0,11.00,2.10,5.70,.369,1.50,4.00,.375,0.60,1.70,.355,.500,1.20,1.30,.875,0.30,0.90,1.20,1.40,0.90,0.20,1.10,1.10,6.90
264,Jared Butler,24,WAS,SG,31,0,11.10,2.70,5.50,.488,0.50,1.30,.375,2.20,4.20,.523,.532,1.00,1.30,.775,0.50,0.90,1.30,2.50,0.40,0.20,0.90,1.20,6.80
265,Justin Edwards,21,PHI,SF,13,0,19.20,2.70,5.60,.479,1.20,3.40,.341,1.50,2.20,.690,.582,0.20,0.40,.600,0.70,1.90,2.60,1.00,0.40,0.20,0.90,1.80,6.80
266,Haywood Highsmith,28,MIA,SF,40,32,24.50,2.60,5.30,.484,1.30,3.10,.415,1.30,2.30,.578,.603,0.40,0.60,.667,0.90,2.40,3.20,1.20,1.00,0.60,0.80,2.00,6.80
267,Trey Lyles,29,SAC,PF,32,2,20.60,2.30,5.80,.392,1.40,4.10,.344,0.90,1.70,.509,.513,0.80,1.10,.765,1.10,3.70,4.80,1.00,0.60,0.50,0.70,1.30,6.80
268,Kelly Olynyk,33,TOR,C,20,1,15.30,2.30,4.60,.500,0.80,1.70,.485,1.50,3.00,.508,.587,1.40,1.90,.757,1.00,2.50,3.40,2.20,0.70,0.40,1.50,2.30,6.80
269,Terance Mann,28,LAC,SG,29,11,19.80,2.60,5.50,.478,0.80,2.10,.383,1.80,3.40,.535,.550,0.60,0.90,.692,0.90,2.00,2.90,1.50,0.90,0.30,0.60,1.90,6.70
270,Vasilije Micić,31,CHO,PG,28,11,19.80,2.40,7.10,.335,1.10,3.40,.330,1.30,3.80,.340,.413,0.80,1.00,.786,0.60,1.80,2.40,3.50,0.50,0.00,1.90,1.10,6.70
271,Elfrid Payton,30,NOP,PG,7,3,20.60,3.30,6.60,.500,0.00,0.10,.000,3.30,6.40,.511,.500,0.10,0.30,.500,0.70,2.70,3.40,6.90,1.40,0.40,2.90,1.40,6.70
272,Sam Merrill,28,CLE,SG,35,2,18.10,2.20,5.80,.373,1.70,5.10,.339,0.50,0.80,.593,.520,0.50,0.60,.950,0.40,1.40,1.70,1.60,0.60,0.20,0.40,1.80,6.60
273,Jarace Walker,21,IND,PF,43,1,17.20,2.30,5.00,.474,1.00,2.50,.398,1.30,2.40,.552,.575,0.80,1.20,.642,0.40,3.00,3.40,1.40,1.00,0.40,1.10,1.70,6.50
274,Shake Milton,28,2TM,SG,33,1,16.70,2.30,5.20,.450,0.90,2.50,.366,1.40,2.70,.528,.538,0.80,1.10,.757,0.50,1.30,1.80,2.10,0.50,0.10,0.70,1.40,6.40
275,Lonzo Ball,27,CHI,PG,23,2,20.40,2.20,6.00,.365,1.70,5.00,.330,0.50,1.00,.545,.504,0.40,0.50,.750,0.50,2.80,3.30,3.70,1.60,0.60,1.20,1.60,6.40
276,Simone Fontecchio,29,DET,SF,38,0,17.90,2.20,5.30,.406,1.10,3.30,.347,1.00,2.10,.500,.512,1.00,1.30,.792,0.70,2.20,2.90,0.80,0.30,0.20,0.90,1.30,6.40
277,Ron Holland,19,DET,SF,43,1,15.70,2.50,5.20,.476,0.50,2.00,.241,2.00,3.20,.623,.522,0.90,1.10,.796,0.50,2.30,2.70,0.80,0.50,0.10,0.90,1.80,6.40
278,KJ Martin,24,PHI,PF,24,7,20.00,2.50,4.10,.616,0.30,0.90,.381,2.20,3.30,.679,.657,1.00,1.20,.828,0.90,2.10,3.00,0.80,0.50,0.70,0.50,2.60,6.40
279,Ajay Mitchell,22,OKC,SG,34,1,16.50,2.50,4.90,.506,0.60,1.50,.431,1.80,3.40,.539,.572,0.80,1.00,.848,0.50,1.50,2.00,1.70,0.70,0.10,0.80,1.70,6.40
280,Eric Gordon,36,PHI,SG,31,8,18.50,2.00,5.00,.409,1.30,3.40,.375,0.80,1.60,.480,.536,0.90,1.30,.744,0.20,0.90,1.10,1.50,0.60,0.30,0.70,0.90,6.30
281,Talen Horton-Tucker,24,CHI,SG,36,0,12.10,2.30,4.90,.472,0.90,2.20,.397,1.40,2.70,.531,.560,0.90,1.20,.705,0.40,1.40,1.80,1.40,0.40,0.20,0.60,1.00,6.30
282,Ben Simmons,28,BRK,PG,30,24,25.30,2.90,5.20,.555,0.00,0.00,0.0,2.90,5.20,.555,.555,0.50,0.80,.696,0.90,4.40,5.30,7.10,0.80,0.50,2.80,2.50,6.30
283,Dru Smith,27,MIA,SG,14,1,19.10,2.20,4.40,.508,1.10,2.10,.533,1.10,2.20,.484,.639,0.70,0.90,.769,0.90,1.70,2.60,1.60,1.50,0.40,1.20,2.10,6.30
284,Ricky Council IV,23,PHI,SF,35,3,14.40,2.10,5.20,.398,0.60,2.20,.269,1.50,2.90,.495,.456,1.50,1.80,.841,0.70,1.70,2.30,0.90,0.30,0.20,0.60,0.90,6.20
285,Jonathan Isaac,27,ORL,PF,39,0,16.60,2.30,5.50,.413,0.70,2.70,.250,1.60,2.80,.569,.474,1.00,1.60,.656,1.70,3.00,4.80,0.50,0.70,1.30,0.50,1.40,6.20
286,Kyle Filipowski,21,UTA,C,31,8,18.40,2.30,4.80,.480,0.60,2.10,.297,1.70,2.80,.616,.543,0.90,1.50,.600,1.00,3.90,4.90,1.80,0.60,0.10,1.00,1.90,6.10
287,Kevin Love,36,MIA,PF,17,6,11.60,2.10,5.80,.354,1.20,3.40,.362,0.80,2.40,.341,.460,0.80,1.10,.684,1.00,3.40,4.40,1.10,0.80,0.10,0.80,0.90,6.10
288,Davion Mitchell,26,TOR,PG,38,18,24.50,2.30,5.50,.421,0.90,2.70,.337,1.40,2.80,.500,.502,0.60,0.90,.657,0.40,1.60,2.00,4.50,0.70,0.20,1.70,2.60,6.10
289,Dean Wade,28,CLE,PF,33,24,22.70,2.10,5.10,.411,1.50,4.20,.357,0.60,0.80,.679,.560,0.40,0.80,.520,1.00,4.10,5.10,1.50,0.80,0.50,0.30,1.80,6.10
290,Isaiah Wong,24,CHO,SG,10,0,14.30,2.00,5.60,.357,0.40,1.70,.235,1.60,3.90,.410,.393,1.70,2.60,.654,1.20,1.00,2.20,1.80,0.60,0.00,1.00,1.10,6.10
291,Kris Dunn,30,LAC,PG,42,29,22.60,2.50,5.90,.423,0.90,3.00,.305,1.50,2.80,.551,.502,0.10,0.30,.500,0.70,2.60,3.20,2.70,1.50,0.30,1.10,2.50,6.00
292,Javonte Green,31,NOP,SG,39,15,21.80,2.10,4.60,.464,0.80,2.00,.385,1.40,2.60,.525,.547,1.00,1.30,.765,1.00,2.40,3.40,0.80,1.10,0.70,0.60,1.50,6.00
293,Josh Okogie,26,2TM,SG,26,1,14.20,2.20,4.70,.475,0.70,1.70,.378,1.60,3.00,.532,.545,0.80,1.20,.688,1.30,1.70,2.90,0.60,0.90,0.40,0.70,1.10,6.00
294,Jeremiah Robinson-Earl,24,NOP,PF,37,5,18.50,2.30,5.10,.450,0.70,2.30,.306,1.60,2.80,.567,.519,0.70,0.80,.862,1.90,3.10,4.90,1.30,0.70,0.20,0.70,1.30,6.00
295,Marcus Sasser,24,DET,PG,32,0,13.90,2.30,4.90,.481,1.00,2.50,.388,1.40,2.40,.579,.580,0.40,0.40,.857,0.40,0.90,1.30,2.00,0.70,0.10,0.90,1.30,6.00
296,Keaton Wallace,25,ATL,PG,17,2,16.80,2.30,5.20,.438,1.00,2.60,.386,1.30,2.60,.489,.534,0.40,0.40,1.000,0.20,1.50,1.60,2.10,1.00,0.40,1.10,1.10,6.00
297,Lindy Waters III,27,GSW,SG,34,9,18.50,2.20,5.80,.378,1.40,4.10,.333,0.80,1.60,.491,.497,0.20,0.30,.727,0.40,2.30,2.80,1.10,0.60,0.30,0.50,1.60,6.00
298,James Wiseman,23,IND,C,1,0,5.00,2.00,4.00,.500,0.00,1.00,.000,2.00,3.00,.667,.500,2.00,2.00,1.000,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00
299,Robert Williams,27,POR,C,15,2,16.70,2.50,3.50,.698,0.10,0.20,.333,2.40,3.30,.720,.708,0.90,1.00,.933,1.50,3.50,5.00,1.10,0.70,1.60,0.90,1.30,5.90
300,Isaac Okoro,24,CLE,SG,28,16,19.70,2.00,4.70,.427,1.10,2.80,.397,0.90,1.90,.472,.546,0.60,0.90,.720,0.80,1.30,2.10,1.60,0.70,0.40,0.40,2.00,5.80
301,Kenrich Williams,30,OKC,PF,31,0,13.80,2.20,4.50,.496,0.90,2.30,.386,1.40,2.20,.609,.594,0.50,0.50,.933,0.80,2.30,3.00,1.00,0.60,0.20,0.50,1.60,5.80
302,Thomas Bryant,27,2TM,C,27,1,13.10,2.10,4.00,.532,0.80,2.00,.415,1.30,2.10,.643,.633,0.60,0.70,.944,1.20,2.40,3.70,0.70,0.30,0.70,0.40,0.90,5.70
303,Drew Eubanks,27,UTA,C,32,2,15.20,2.30,3.80,.617,0.10,0.20,.600,2.20,3.60,.617,.629,1.00,1.50,.646,1.10,3.60,4.70,1.20,0.30,0.80,0.90,1.30,5.70
304,Quenton Jackson,26,IND,PG,18,7,14.10,2.20,4.20,.513,0.50,1.30,.375,1.70,2.90,.577,.572,0.80,1.20,.714,0.60,0.90,1.50,1.70,0.50,0.30,0.60,1.80,5.70
305,Trevelin Queen,27,ORL,SG,18,2,17.70,2.20,5.40,.402,0.90,2.80,.314,1.30,2.60,.500,.485,0.40,0.50,.889,0.80,0.90,1.80,1.60,1.20,0.40,0.90,1.70,5.70
306,Isaiah Stewart,23,DET,C,39,3,20.90,2.30,4.50,.514,0.20,0.80,.242,2.10,3.60,.577,.537,0.80,1.00,.868,2.10,3.80,5.90,1.80,0.50,1.30,0.90,2.60,5.70
307,Jaylin Williams,22,OKC,PF,15,3,15.40,2.10,4.90,.432,1.30,3.70,.345,0.90,1.30,.684,.561,0.10,0.10,1.000,1.30,3.50,4.70,2.30,0.30,0.50,0.60,1.70,5.70
308,Alec Burks,33,MIA,SG,25,0,16.10,1.70,4.20,.413,1.30,3.10,.429,0.40,1.10,.370,.572,0.80,1.00,.808,0.30,1.70,2.00,1.00,0.50,0.20,0.40,0.60,5.60
309,Alex Caruso,30,OKC,SG,24,0,19.50,2.20,5.70,.382,0.90,3.10,.293,1.30,2.50,.492,.463,0.40,0.50,.818,0.60,2.20,2.80,2.40,1.80,0.50,0.60,1.90,5.60
310,Donovan Clingan,20,POR,C,31,8,16.60,2.30,4.30,.537,0.20,0.60,.300,2.10,3.70,.579,.560,0.80,1.10,.735,2.70,3.70,6.50,0.60,0.50,1.50,1.20,2.50,5.60
311,Ben Sheppard,23,IND,SG,29,7,20.30,2.00,4.90,.411,1.30,3.40,.378,0.70,1.50,.488,.543,0.30,0.30,.900,0.60,1.90,2.50,1.10,0.50,0.30,0.30,2.30,5.60
312,Precious Achiuwa,25,NYK,PF,24,1,18.80,2.30,4.40,.528,0.30,0.70,.375,2.10,3.80,.556,.557,0.50,1.00,.520,1.80,3.80,5.50,1.00,0.80,0.80,0.80,1.50,5.50
313,Jamison Battle,23,TOR,SF,34,0,12.60,1.90,4.20,.458,1.30,3.10,.415,0.60,1.10,.583,.613,0.40,0.40,.857,0.60,1.30,1.80,0.90,0.10,0.10,0.40,1.10,5.50
314,Vit Krejci,24,ATL,PG,27,10,18.30,2.00,4.70,.425,1.00,2.90,.354,1.00,1.80,.542,.535,0.50,0.60,.765,0.40,1.90,2.30,2.50,0.60,0.50,0.90,1.70,5.50
315,Nick Smith Jr.,20,CHO,SG,21,2,12.50,2.10,5.30,.396,1.20,3.00,.406,0.90,2.20,.383,.514,0.00,0.10,.500,0.10,1.50,1.60,1.00,0.30,0.10,0.60,0.60,5.50
316,Kyle Anderson,31,GSW,PF,33,3,15.20,2.10,4.80,.443,0.60,1.50,.373,1.50,3.20,.477,.503,0.50,0.80,.667,0.80,2.40,3.10,2.30,0.80,0.50,0.50,1.10,5.40
317,Jamal Shead,22,TOR,PG,39,0,16.20,2.10,4.90,.429,0.80,2.20,.376,1.30,2.70,.472,.513,0.40,0.60,.682,0.30,0.80,1.10,3.30,0.60,0.10,1.40,1.70,5.40
318,Kobe Bufkin,21,ATL,SG,10,0,12.40,1.80,4.70,.383,0.40,1.90,.211,1.40,2.80,.500,.426,1.30,1.80,.722,0.50,1.60,2.10,1.70,0.30,0.20,0.80,0.90,5.30
319,Seth Curry,34,CHO,SG,33,8,13.60,2.00,4.20,.478,0.90,2.10,.429,1.10,2.10,.529,.587,0.40,0.50,.867,0.40,1.00,1.40,0.50,0.50,0.20,0.30,1.00,5.30
320,Jaxson Hayes,24,LAL,C,20,3,16.50,2.10,3.20,.641,0.00,0.10,.000,2.10,3.20,.651,.641,1.20,1.60,.750,1.40,2.50,3.90,0.80,0.40,0.80,0.50,2.20,5.30
321,Kevon Looney,28,GSW,C,36,5,16.10,2.30,4.30,.542,0.00,0.00,.000,2.30,4.30,.545,.542,0.60,1.40,.449,3.00,4.00,6.90,1.80,0.80,0.30,0.60,2.20,5.30
322,Vince Williams Jr.,24,MEM,SG,3,0,15.00,2.30,6.30,.368,0.30,2.70,.125,2.00,3.70,.545,.395,0.30,1.30,.250,1.30,2.30,3.70,3.00,0.00,0.70,2.30,3.00,5.30
323,Jordan Miller,25,LAC,SF,26,0,13.50,2.00,4.70,.421,0.30,1.30,.229,1.70,3.30,.500,.455,1.00,1.30,.788,0.80,1.10,2.00,1.20,0.50,0.10,0.80,0.80,5.20
324,Rob Dillingham,20,MIN,PG,18,0,9.80,2.10,4.20,.507,0.80,1.70,.484,1.30,2.40,.523,.607,0.00,0.00,0.0,0.10,0.70,0.80,1.80,0.10,0.00,1.10,0.80,5.10
325,Jonathan Mogbo,23,TOR,PF,36,6,16.40,1.90,4.20,.464,0.20,0.70,.320,1.70,3.50,.492,.490,1.00,1.30,.729,1.80,2.40,4.10,1.60,0.70,0.40,0.90,1.80,5.10
326,Monte Morris,29,PHO,PG,35,0,13.30,1.80,4.20,.426,0.50,1.80,.306,1.30,2.50,.512,.490,1.00,1.10,.850,0.30,1.20,1.50,1.70,0.40,0.10,0.50,0.50,5.10
327,Neemias Queta,25,BOS,C,35,5,14.80,2.20,3.30,.667,0.00,0.10,.000,2.20,3.20,.679,.667,0.80,1.10,.711,1.50,2.40,3.90,0.60,0.30,0.80,0.60,1.90,5.10
328,Malaki Branham,21,SAS,SG,26,0,10.50,1.80,4.20,.431,0.70,1.90,.380,1.10,2.30,.475,.518,0.70,0.80,.850,0.10,1.10,1.20,1.00,0.30,0.10,1.00,0.60,5.00
329,Zach Collins,27,SAS,C,32,4,12.70,1.80,4.00,.453,0.40,1.40,.289,1.40,2.60,.542,.504,1.00,1.10,.886,1.20,1.90,3.00,1.50,0.40,0.40,0.70,2.10,5.00
330,Luke Kornet,29,BOS,C,37,4,16.40,2.00,3.10,.649,0.00,0.00,0.0,2.00,3.10,.649,.649,1.00,1.40,.720,2.20,2.90,5.10,1.50,0.50,1.00,0.40,1.30,5.00
331,David Roddy,23,ATL,PF,23,2,13.50,1.80,3.70,.500,0.70,1.80,.390,1.10,1.90,.605,.595,0.60,0.70,.875,0.40,2.20,2.60,1.20,0.50,0.30,0.80,0.70,5.00
332,Ryan Rollins,22,MIL,PG,25,5,12.00,1.90,3.90,.490,0.60,1.60,.366,1.30,2.30,.579,.566,0.50,0.60,.813,0.40,1.40,1.80,1.10,0.80,0.40,0.80,1.40,5.00
333,Alondes Williams,25,DET,SG,1,0,4.00,2.00,2.00,1.000,1.00,1.00,1.000,1.00,1.00,1.000,1.250,0.00,0.00,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00
334,Marvin Bagley III,25,WAS,C,19,1,8.70,2.00,3.70,.535,0.10,0.50,.200,1.90,3.20,.590,.549,0.80,1.20,.652,1.40,1.50,2.90,0.40,0.40,0.30,0.60,0.60,4.90
335,Matas Buzelis,20,CHI,SF,42,0,12.80,1.70,4.60,.376,0.80,2.30,.330,1.00,2.30,.423,.459,0.70,0.80,.824,0.60,2.00,2.60,0.40,0.30,0.80,0.50,1.30,4.90
336,Devin Carter,22,SAC,PG,7,0,13.40,1.60,4.90,.324,0.70,2.70,.263,0.90,2.10,.400,.397,1.00,1.40,.700,0.60,3.10,3.70,1.60,0.10,0.40,0.40,1.10,4.90
337,Isaiah Collier,20,UTA,PG,33,9,20.90,1.90,5.40,.354,0.40,1.90,.206,1.50,3.50,.435,.390,0.70,1.20,.605,0.30,2.40,2.80,4.80,0.70,0.20,2.50,2.00,4.90
338,Gary Payton II,32,GSW,SG,31,5,13.50,2.10,3.80,.555,0.20,1.10,.171,1.90,2.70,.714,.580,0.40,0.60,.611,1.10,1.80,2.90,1.30,0.70,0.30,0.50,1.50,4.80
339,Paul Reed,25,DET,C,22,0,10.80,1.80,3.20,.563,0.20,0.70,.313,1.60,2.50,.636,.599,1.00,1.10,.840,0.70,1.60,2.30,1.00,1.20,0.60,0.50,1.60,4.80
340,Taylor Hendricks,21,UTA,PF,3,3,25.00,1.30,6.00,.222,1.00,4.00,.250,0.30,2.00,.167,.306,1.00,1.30,.750,1.70,3.30,5.00,0.70,1.70,1.30,0.70,2.70,4.70
341,Antonio Reeves,24,NOP,SG,17,0,9.10,1.80,4.40,.419,0.60,2.20,.297,1.20,2.20,.541,.493,0.40,0.50,.875,0.40,0.70,1.10,0.60,0.40,0.00,0.30,0.40,4.70
342,Tidjane SalaÃ¼n,19,CHO,PF,34,8,18.40,1.60,5.00,.318,0.90,3.10,.280,0.70,1.90,.381,.406,0.60,0.90,.677,1.00,3.10,4.10,1.10,0.60,0.20,0.90,1.30,4.70
343,Oscar Tshiebwe,25,UTA,PF,3,0,15.30,1.30,2.00,.667,0.00,0.00,0.0,1.30,2.00,.667,.667,2.00,2.70,.750,1.70,5.00,6.70,0.00,1.30,0.00,0.30,3.30,4.70
344,Charles Bassey,24,SAS,C,29,0,10.70,2.00,3.40,.586,0.00,0.00,0.0,2.00,3.40,.586,.586,0.60,1.00,.621,1.60,2.80,4.40,0.40,0.40,1.00,0.70,1.40,4.60
345,Pat Connaughton,32,MIL,SG,21,0,15.70,1.70,4.10,.402,0.70,2.50,.288,1.00,1.70,.571,.489,0.60,0.80,.750,0.60,2.20,2.90,1.70,0.20,0.30,0.60,1.20,4.60
346,Jett Howard,21,ORL,SF,37,0,11.20,1.60,4.30,.381,0.90,3.10,.307,0.70,1.20,.565,.491,0.40,0.40,.875,0.40,0.90,1.30,0.60,0.10,0.20,0.50,1.00,4.60
347,Patty Mills,36,UTA,PG,16,0,15.40,1.60,4.60,.351,1.10,3.40,.309,0.60,1.20,.474,.466,0.30,0.30,1.000,0.20,1.00,1.20,1.30,0.80,0.20,1.00,0.80,4.60
348,Daniel Theis,32,NOP,C,34,9,16.50,1.70,3.50,.492,0.30,1.00,.257,1.50,2.50,.588,.529,0.90,1.00,.829,1.20,3.30,4.40,1.60,0.40,0.50,0.70,1.80,4.60
349,Gabe Vincent,28,LAL,PG,37,5,19.70,1.80,4.50,.393,0.90,2.90,.312,0.90,1.60,.542,.494,0.10,0.30,.500,0.30,1.00,1.30,1.20,0.80,0.20,0.60,1.90,4.60
350,Trentyn Flowers,19,LAC,SF,2,0,8.00,2.00,4.50,.444,0.00,1.00,.000,2.00,3.50,.571,.444,0.50,0.50,1.000,0.50,1.50,2.00,0.00,0.00,0.00,0.50,1.50,4.50
