industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,goss_additions_to_fixed_assets_all_employment_sizes_2016,goss_additions_to_fixed_assets_total_employment_of_20_and_over_2016,goss_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
Sound recording activities,14,0,0,184,0,0,171,0,0,514519,0,0,426573,0,0,110437,0,0,316136,0,0,229060,0,0,25536,0,0,2063,0,0,0,0,0,0,0,0
Publishing of music,4,4,14,163,249,98,163,249,85,221397,485240,250675,201627,390069,238133,43153,115484,38106,158475,274584,200026,50763,195658,84164,691,18304,7923,0,0,2063,0,0,0,0,0,0
Radio broadcasting and relay station and studios,329,66,263,4346,2268,2078,4188,2223,1965,5131860,3199418,1932442,4185356,2620435,1564921,1088006,691303,396703,3097350,1929132,1168218,2374483,1479587,894896,110611,64367,46244,-3641,-2903,-739,0,0,0,0,0,0
Television broadcasting and relay stations and studios including closed circuit television services,75,30,45,9048,8699,349,9014,8685,329,34921968,33804002,1117966,30427442,29445285,982156,6586485,6345019,241466,23840957,23100267,740690,15924849,15404073,520776,3954041,3867480,86562,-241703,-235923,-5780,0,0,0,0,0,0
Television program production,11,3,8,316,243,73,316,243,73,3472873,3306153,166720,3138823,2982097,156726,433511,403453,30057,2705313,2578644,126669,1081059,1034433,46626,25361,24984,377,16,0,16,0,0,0,0,0,0
Wired (landline) services,39,20,19,8407,8193,214,8400,8192,208,95474405,93187668,2286737,65122633,63503398,1619235,14729959,14698038,31921,50392674,48805359,1587315,43587047,42533549,1053497,7174069,7220547,-46477,-11206,-11664,458,25754,25754,0,1331,1331,0
"Wired internet access service activities (e.g. dsl, leased line, dial-up)",5,0,3,307,0,40,307,0,40,25692695,0,24581362,22014970,0,21097753,146962,0,20600,21868008,0,21077153,10306169,0,9823378,844565,0,6380,257567,0,257567,0,0,0,0,0,0
Other wired telecommunications activities,9,10,0,1333,1582,0,1333,1582,0,3078469,4174658,0,2123178,3015579,0,631546,751969,0,1491631,2263610,0,1786323,2267479,0,650686,1488870,0,19258,20026,0,0,0,0,0,0,0
Wireless landline services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobile telecommunications services,10,7,3,14176,14155,21,14176,14155,21,246082881,246049329,33552,207576602,207545240,31362,10223732,10220580,3152,197352870,197324660,28209,75957564,75947841,9723,30882999,30882765,233,-164545,-161980,-2565,0,0,0,4339,4339,0
"Wireless internet access services (e.g. internet service provider, broadband)",25,13,12,1442,1343,99,1434,1335,99,10641994,10309765,332228,8239516,7945920,293596,505425,480826,24598,7734091,7465094,268997,3499741,3420239,79502,1358070,1355837,2232,-15843,-15843,0,0,0,0,0,0,0
"Other wireless telecommunication services, n.e.c.",5,0,0,743,0,0,743,0,0,1192879,0,0,1075885,0,0,463547,0,0,612339,0,0,606810,0,0,122,0,0,5529,0,0,0,0,0,0,0,0
Satellite telecommunications activities,290,84,206,7819,6147,1672,7784,6130,1654,20658171,19308176,1349995,19086880,17935030,1151851,3003054,2784569,218485,16083826,15150460,933366,7708339,7168780,539559,3808610,3761998,46613,-245840,-236605,-9236,0,0,0,0,0,0
Internet access in facilities open to the public service activities,2629,0,2628,7908,0,7878,6609,0,6579,2601702,0,2568888,2354132,0,2320659,506119,0,499284,1848014,0,1821375,1029340,0,1019788,16638,0,16638,-3241,0,-3120,0,0,0,0,0,0
Voice over internet protocol (voip) service activities,0,2,0,0,55,0,0,55,0,0,66812,0,0,63715,0,0,8632,0,0,55083,0,0,15355,0,0,0,0,0,-121,0,0,0,0,0,0,0
"Other telecommunications service activities, n.e.c.",44,25,19,2645,2451,194,2642,2451,191,9399361,8603695,795666,9201853,8540450,661403,1626506,1555293,71213,7575347,6985157,590190,2097011,1859844,237167,44152,6375,37777,4976,4634,342,0,0,0,0,0,0
Computer programming activities,512,283,229,38808,36452,2356,38730,36407,2323,74227912,70972850,3255061,67831922,64853902,2978020,25459117,24485725,973391,42372805,40368176,2004629,34292054,32945303,1346752,1266149,1251073,15075,-44662,-37386,-7276,0,0,0,357054,356904,150
Computer consultancy and computer facilities management activities,91,64,27,11476,11272,204,11472,11271,201,26262304,25558704,703600,23451145,22799354,651791,6762958,6689794,73164,16688187,16109560,578627,11824833,11672575,152257,261506,261152,354,1578,1578,0,0,0,0,561,561,0
Other information technology and computer service activities,63,33,30,3780,3457,323,3772,3452,320,8580889,6008218,2572671,7928021,5508988,2419033,1884966,1778249,106717,6043055,3730739,2312316,2746051,2454974,291077,72369,70354,2015,-5702,-6282,581,11911,11911,0,0,0,0
Data processing,48,42,6,14052,13989,63,14050,13987,63,14073623,14045134,28489,9835600,9811718,23883,4408054,4397364,10690,5427546,5414353,13192,9069310,9051410,17900,323826,322999,827,-6,-6,0,0,0,0,0,0,0
Website hosting services,22,8,14,905,767,138,905,767,138,516823,448018,68804,450364,380956,69408,296247,259226,37021,154117,121730,32387,374481,334346,40135,5762,4279,1483,0,0,0,0,0,0,878,878,0
Application hosting services,4,0,0,448,0,0,448,0,0,1384533,0,0,804738,0,0,223136,0,0,581602,0,0,912611,0,0,26830,0,0,0,0,0,0,0,0,0,0,0
News agency activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other information service activities, n.e.c.",7,4,3,409,387,22,409,387,22,1654231,1644631,9600,1629805,1625334,4470,268831,266418,2413,1360974,1358916,2057,317341,309387,7953,6275,6165,110,0,0,0,0,0,0,0,0,0
