,,,,,,,,,,,,,,"Summary Statistics for Accommodation and Food Service Activities Establishments by Region and Industry Group: Philippines, 2020 by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2020 Number  of  Establishments,2020 Total Employment a/,2020 Paid Employees a/,2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/,2020 Total Revenue,2020 Total Expense,2020 Compensation,2020 Other Expense,2020 Value Added,2020 Gross Additions To Tangible Fixed Assets,2020 Change in Inventories,2020 Sales from E-Commerce Transactions,2020 Subsidies
..SOCCSKSARGEN,Accommodation and Food Service Activities,955,10109,9971,604,9862227,9164765,980130,8184635,2888681,19695,-152896,-,-
..SOCCSKSARGEN,..Short term accommodation activities,176,3212,3172,377,1858801,1589549,364870,1224678,748257,12844,1031,-,-
..SOCCSKSARGEN,..Other accommodation,7,29,23,6,2913,5363,1986,3377,569,1504,-,-,-
..SOCCSKSARGEN,..Restaurants and mobile food service activities,704,6384,6291,221,7708397,7311588,560300,6751289,2037594,5346,-154257,-,-
..SOCCSKSARGEN,..Event catering and other food service activities,46,311,311,-,169312,152040,35354,116686,56610,-,330,-,-
..SOCCSKSARGEN,..Beverage serving activities,22,174,174,-,122804,106225,17619,88606,45652,-,-,-,-
..Caraga,Accommodation and Food Service Activities,417,5052,4757,99,2754217,2606093,372434,2233659,782299,1090315,12634,-,-
..Caraga,..Short term accommodation activities,89,985,919,-,304812,314895,69840,245055,66873,-,19348,-,-
..Caraga,..Other accommodation,4,10,10,-,5309,3157,1337,1821,4150,-,-,-,-
..Caraga,..Restaurants and mobile food service activities,300,3806,3600,99,2214947,2071714,290510,1781203,678979,1090199,-7860,-,-
..Caraga,..Event catering and other food service activities,11,103,103,-,218021,206980,6758,200222,26192,116,740,-,-
..Caraga,..Beverage serving activities,14,148,126,-,11128,9347,3989,5358,6104,-,406,-,-
..Automous Region in Muslim Mindanao,Accommodation and Food Service Activities,74,873,778,3,172715,125783,52203,73580,104912,97,-1039,-,-
..Automous Region in Muslim Mindanao,..Short term accommodation activities,11,421,381,-,128264,87596,31885,55711,76299,-,-727,-,-
..Automous Region in Muslim Mindanao,..Other accommodation,,,,,,,,,,,,,
..Automous Region in Muslim Mindanao,..Restaurants and mobile food service activities,49,336,334,3,35331,31226,17597,13627,23359,97,8,-,-
..Automous Region in Muslim Mindanao,..Event catering and other food service activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Automous Region in Muslim Mindanao,..Beverage serving activities,14,116,63,-,9120,6962,2720,4242,5254,-,-320,-,-
