,,,,,,,,,,,,,,"Summary Statistics for Education Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2020 Number of Establishments,2020 Total Employment a/,2020 Paid Employees a/,2020 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2020 Total Revenue,2020 Total Expense,2020 Compensation,2020 Other Expense,2020 Value Added,2020 Gross Additions to Tangible Fixed Assets,2020 Change in Inventories,2020 Sales from E-commerce Transactions,2020 Subsidies
..Central Luzon,..Secondary/high school education,426,14804,14641,60,5649217,4968970,3270970,1698000,4476227,727545,-12681,-,598889
..Central Luzon,..Higher education,222,14393,14374,285,7176776,6578226,3670631,2907596,4912093,188537,13848,-,124079
..Central Luzon,..Other education services,81,1147,1130,1,629315,620677,266432,354246,424181,256030,-8487,-,733
..Central Luzon,..Educational support services,3,17,17,-,1749,1615,1062,553,1333,-,-10,-,-
..CALABARZON,Education,2275,62643,61235,859,27227528,24557602,14171761,10385841,19928598,2982194,-10437,-,335547
..CALABARZON,..Pre-primary/pre-school education,303,1833,1807,-,404825,375059,201097,173963,252280,34331,-,-,40
..CALABARZON,..Primary/elementary education,675,9016,8336,-,2070923,1987754,1286310,701443,1528471,32709,-1048,-,1399
..CALABARZON,..Secondary/high school education,806,25435,24904,262,9900692,8940278,5118006,3822272,7077808,1333639,5106,-,194900
..CALABARZON,..Higher education,318,24177,24006,591,14352554,12786748,7378722,5408026,10753655,1581514,-11172,-,139208
..CALABARZON,..Other education services,170,2093,2093,6,426395,387257,170151,217106,269104,-,-121,-,-
..CALABARZON,..Educational support services,4,90,90,-,72139,80506,17476,63030,47280,-,-3203,-,-
..MIMAROPA Region,Education,265,5818,5732,19,1329421,1178689,755040,423649,1092671,61351,-487,-,14619
..MIMAROPA Region,..Pre-primary/pre-school education,50,366,332,1,69126,56089,40257,15832,58590,-,365,-,-
..MIMAROPA Region,..Primary/elementary education,52,512,476,-,131140,119473,61679,57794,95108,3737,248,-,1425
..MIMAROPA Region,..Secondary/high school education,68,1873,1873,-,407405,348826,280310,68516,347851,256,-115,-,12796
..MIMAROPA Region,..Higher education,62,2930,2914,18,708715,642088,363457,278631,580184,57125,-929,-,398
..MIMAROPA Region,..Other education services,33,137,137,-,13035,12212,9337,2876,10938,233,-57,-,-
..MIMAROPA Region,..Educational support services,,,,,,,,,,,,,
..Bicol Region,Education,462,16022,15912,208,5173542,4984989,2966583,2018407,3622047,697746,-11890,-,401376
..Bicol Region,..Pre-primary/pre-school education,102,1762,1689,-,423695,350271,245226,105044,341635,-,-13697,-,-
..Bicol Region,..Primary/elementary education,85,2738,2734,5,701321,792636,452725,339912,374221,-,2133,-,12656
..Bicol Region,..Secondary/high school education,114,3484,3484,7,834250,828015,483702,344313,602979,170,-228,-,117135
..Bicol Region,..Higher education,123,7838,7805,196,3041840,2849934,1753546,1096389,2244844,697576,-97,-,271585
..Bicol Region,..Other education services,38,199,199,-,172437,164133,31385,132748,58368,-,-,-,-
..Bicol Region,..Educational support services,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,Education,748,20478,20102,503,9492446,8503158,4979424,3523734,6891010,579766,10117,-,479393
..Western Visayas,..Pre-primary/pre-school education,207,2096,1906,6,564181,487364,342112,145252,451898,-,-1,-,-
..Western Visayas,..Primary/elementary education,166,2043,2031,1,423827,382909,297246,85663,352398,-,207,-,81198
..Western Visayas,..Secondary/high school education,207,5579,5482,217,1901416,1838700,1265849,572852,1473518,146900,363,-,352714
..Western Visayas,..Higher education,111,10278,10230,218,6385960,5596670,3004010,2592660,4493798,420370,9520,-,45481
..Western Visayas,..Other education services,57,481,453,61,217063,197514,70207,127306,119398,12497,28,-,-
..Western Visayas,..Educational support services,,,,,,,,,,,,,
..Central Visayas,Education,802,31427,30872,644,16958356,15192493,7593253,7599239,11096503,1460034,3572,27409,621367
..Central Visayas,..Pre-primary/pre-school education,105,2133,2097,-,844739,743702,277306,466395,505740,55,88,-,-
..Central Visayas,..Primary/elementary education,148,2964,2850,35,1008693,860791,561346,299445,794793,8584,3,-,-
..Central Visayas,..Secondary/high school education,247,6824,6638,92,3082114,2783514,1446401,1337113,2058827,200305,342,-,597022
..Central Visayas,..Higher education,165,14335,14150,508,10845615,9552947,4603303,4949644,7010219,1246614,7003,-,24345
..Central Visayas,..Other education services,134,5148,5116,9,1173909,1247863,702576,545286,724755,4477,-3864,27409,-
..Central Visayas,..Educational support services,3,22,21,-,3287,3677,2321,1356,2168,-,-,-,-
..Eastern Visayas,Education,270,6325,6233,164,2021327,1959936,1104745,855192,1308123,33016,3610,-,68522
..Eastern Visayas,..Pre-primary/pre-school education,57,454,431,-,36188,41670,27756,13914,24968,-,565,-,-
..Eastern Visayas,..Primary/elementary education,54,633,593,13,84078,92852,60072,32781,57293,8747,736,-,-
..Eastern Visayas,..Secondary/high school education,73,1493,1493,124,684258,674967,288197,386770,346891,-,480,-,-
..Eastern Visayas,..Higher education,65,3590,3561,27,1154563,1092956,698062,394895,837128,17100,1772,-,24735
..Eastern Visayas,..Other education services,21,155,155,-,62241,57491,30658,26833,41843,7169,56,-,43787
..Eastern Visayas,..Educational support services,,,,,,,,,,,,,
..Zamboanga Peninsula,Education,202,7342,7318,169,2455565,2132180,1305631,826549,1980062,197804,15343,-,147860
..Zamboanga Peninsula,..Pre-primary/pre-school education,44,496,472,-,87654,75384,45270,30114,62690,2200,-580,-,-
..Zamboanga Peninsula,..Primary/elementary education,35,898,898,84,272677,239344,166069,73274,232122,72968,1682,-,-
..Zamboanga Peninsula,..Secondary/high school education,47,1154,1154,-,338243,300293,177258,123035,260011,1085,615,-,56696
..Zamboanga Peninsula,..Higher education,69,4579,4579,85,1695731,1462798,898352,564446,1393326,121551,13626,-,91163
..Zamboanga Peninsula,..Other education services,8,215,215,-,61259,54362,18681,35681,31914,-,-,-,-
..Zamboanga Peninsula,..Educational support services,,,,,,,,,,,,,
..Northern Mindanao,Education,467,14312,13965,321,4732719,4132958,2433372,1699586,3497479,2084791,2448,-,262115
..Northern Mindanao,..Pre-primary/pre-school education,74,631,576,41,76180,65138,43498,21640,62867,65970,50,-,2105
..Northern Mindanao,..Primary/elementary education,94,1231,1121,-,210099,188421,117268,71153,170309,94245,163,-,-
..Northern Mindanao,..Secondary/high school education,139,3892,3849,72,1241455,1080381,671658,408723,911182,752932,358,-,67648
..Northern Mindanao,..Higher education,96,7992,7889,188,3002577,2611024,1503840,1107184,2220302,1156746,1668,-,192362
..Northern Mindanao,..Other education services,65,566,531,20,202409,187993,97107,90885,132820,14898,209,-,-
..Northern Mindanao,..Educational support services,c,c,c,c,c,c,c,c,c,c,c,c,c
..Davao Region,Education,485,15870,15683,506,7574911,6799821,3795509,3004312,5497187,2090838,6319,-,231006
..Davao Region,..Pre-primary/pre-school education,92,682,651,58,88934,75188,51415,23773,73606,733,-2,-,10971
..Davao Region,..Primary/elementary education,88,1802,1745,29,520641,476543,276838,199705,398179,671,-,-,182569
..Davao Region,..Secondary/high school education,120,3222,3218,92,1081572,910340,593129,317211,833214,15971,-2582,-,-
..Davao Region,..Higher education,120,9592,9498,327,5748317,5201397,2796610,2404787,4107733,2073463,8903,-,37465
..Davao Region,..Other education services,66,572,572,-,135446,136354,77518,58836,84455,-,-,-,-
..Davao Region,..Educational support services,c,c,c,c,c,c,c,c,c,c,c,c,c
..SOCCSKSARGEN,Education,410,12946,12929,224,5613146,4841380,2686543,2154837,4195134,515681,7334,-,52048
..SOCCSKSARGEN,..Pre-primary/pre-school education,63,493,482,16,98613,111096,71537,39559,67553,-,23,-,-
..SOCCSKSARGEN,..Primary/elementary education,102,2280,2280,86,1084479,949290,452529,496761,729825,69500,-,-,-
..SOCCSKSARGEN,..Secondary/high school education,131,3609,3609,30,1302653,1001958,549954,452005,1029473,78375,-189,-,33429
..SOCCSKSARGEN,..Higher education,92,6427,6422,92,3070227,2727770,1590310,1137461,2322786,367807,8044,-,18619
..SOCCSKSARGEN,..Other education services,24,136,136,1,57175,51265,22213,29053,45497,-,-544,-,-
..SOCCSKSARGEN,..Educational support services,c,c,c,c,c,c,c,c,c,c,c,c,c
..Caraga,Education,225,5830,5782,153,1851512,1668293,916320,751973,1335157,149722,109,-,393871
..Caraga,..Pre-primary/pre-school education,83,564,534,5,91512,79107,58514,20593,73255,-,217,-,-
..Caraga,..Primary/elementary education,36,308,290,-,47457,37186,24329,12856,35872,8123,-,-,-
..Caraga,..Secondary/high school education,35,1482,1482,29,443871,432532,214949,217583,270159,67203,-,-,159078
..Caraga,..Higher education,52,3427,3427,118,1260497,1112387,613846,498541,949725,69244,-108,-,234793
..Caraga,..Other education services,18,49,49,-,8176,7081,4681,2400,6145,5152,-,-,-
..Caraga,..Educational support services,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,Education,167,4006,3816,24,552841,496398,409525,86873,502152,186307,-38,-,2343
..Autonomous Region in Muslim Mindanao,..Pre-primary/pre-school education,11,102,96,-,7135,6338,5480,858,6547,1203,1,-,-
..Autonomous Region in Muslim Mindanao,..Primary/elementary education,86,969,847,-,27165,24486,21874,2612,25349,88,-138,-,-
..Autonomous Region in Muslim Mindanao,..Secondary/high school education,43,1276,1276,-,285838,260818,233510,27308,268370,115275,240,-,235
..Autonomous Region in Muslim Mindanao,..Higher education,23,1605,1560,24,231370,203587,147718,55868,200741,69742,-145,-,2108
..Autonomous Region in Muslim Mindanao,..Other education services,4,54,38,-,1334,1169,942,227,1145,-,2,-,-
..Autonomous Region in Muslim Mindanao,..Educational support services,,,,,,,,,,,,,
