"geolocation","Estimate ('000) 2018","Estimate ('000) 2021","Estimate ('000) 2023","Coefficient of Variation 2018","Coefficient of Variation 2021","Coefficient of Variation 2023","Standard Error 2018","Standard Error 2021","Standard Error 2023","95% Confidence Interval (Lower Limit) 2018","95% Confidence Interval (Lower Limit) 2021","95% Confidence Interval (Lower Limit) 2023","95% Confidence Interval (Upper Limit) 2018","95% Confidence Interval (Upper Limit) 2021","95% Confidence Interval (Upper Limit) 2023"
"....Marinduque 1/, 2/, a/, c/","5.59","9.08","5.03","10.60","9.02","11.94","0.59","0.82","0.60","4.43","7.48","3.85","6.75","10.69","6.21"
"....Occidental Mindoro 1/, a/, c/","19.33","29.21","27.18","13.95","9.10","16.02","2.70","2.66","4.35","14.04","24.00","18.65","24.61","34.43","35.72"
"....Oriental Mindoro 1/, 3/, a/, b/, c/","14.69","27.16","31.00","19.25","14.99","12.95","2.83","4.07","4.02","9.14","19.18","23.13","20.23","35.14","38.87"
"....Palawan 3/, a/, b/, c/","23.59","29.44","52.18","13.00","10.77","22.66","3.07","3.17","11.82","17.58","23.22","29.00","29.60","35.65","75.35"
"....Romblon 1/, 2/, 3/","14.15","23.50","17.95","9.53","6.88","7.63","1.35","1.62","1.37","11.51","20.33","15.27","16.80","26.67","20.64"
"..Region V (Bicol Region) 1/","256.28","293.48","279.22","4.23","4.19","3.92","10.84","12.31","10.93","235.03","269.36","257.79","277.53","317.61","300.65"
"....Albay 3/, a/, b/","43.42","46.82","56.25","10.28","10.43","7.67","4.47","4.88","4.31","34.67","37.24","47.79","52.18","56.39","64.70"
"....Camarines Norte b/","30.88","24.29","26.83","8.09","10.15","7.53","2.50","2.47","2.02","25.98","19.45","22.87","35.78","29.12","30.80"
"....Camarines Sur 1/, 2/","88.34","131.10","101.36","9.06","7.54","8.43","8.00","9.88","8.54","72.66","111.72","84.62","104.03","150.47","118.11"
"....Catanduanes 2/, 3/","8.20","9.97","14.32","9.19","8.55","8.53","0.75","0.85","1.22","6.72","8.30","11.92","9.68","11.65","16.71"
"....Masbate 2/, 3/, c/","51.07","41.43","27.11","8.24","8.56","11.41","4.21","3.54","3.09","42.82","34.48","21.05","59.31","48.38","33.17"
"....Sorsogon 2/, 3/","34.36","39.88","53.35","8.76","8.17","6.71","3.01","3.26","3.58","28.46","33.49","46.33","40.26","46.26","60.37"
"..Region VI (Western Visayas) r2, 1/","110.20","140.89","118.97","6.57","7.02","6.11","7.24","9.89","7.27","96.01","121.52","104.73","124.40","160.27","133.21"
"....Aklan 1/, 2/, 3/, a/, b/, c/","12.59","21.49","5.00","14.34","12.18","17.12","1.81","2.62","0.86","9.05","16.36","3.32","16.12","26.62","6.68"
"....Antique 1/, a/, c/","17.77","26.64","20.80","10.32","9.76","12.17","1.83","2.60","2.53","14.18","21.54","15.84","21.36","31.73","25.76"
"....Capiz 2/, 3/, a/, b/, c/","7.90","12.63","21.39","15.18","17.71","11.90","1.20","2.24","2.54","5.55","8.25","16.40","10.25","17.02","26.38"
"....Guimaras 2/, a/, b/, c/","2.96","3.44","1.84","19.73","14.02","26.91","0.58","0.48","0.50","1.82","2.49","0.87","4.11","4.38","2.82"
"....Iloilo b/","68.98","76.70","69.94","9.62","11.58","8.92","6.64","8.88","6.24","55.97","59.29","57.70","81.99","94.11","82.17"
"..Negros Island Region (NIR) 2/, 3/","172.95","208.74","266.84","8.09","6.81","7.84","14.00","14.22","20.92","145.51","180.87","225.84","200.38","236.62","307.84"
"....Negros Occidental 2/, 3/, a/, c/","108.07","128.16","178.83","11.36","9.33","10.48","12.27","11.95","18.75","84.02","104.73","142.08","132.13","151.59","215.58"
"....Negros Oriental 3/, a/, c/","63.15","80.03","87.12","10.64","9.62","10.64","6.72","7.70","9.27","49.97","64.94","68.95","76.32","95.12","105.30"
"....Siquijor 1/, a/, b/, c/","1.73","0.55","0.89","20.68","33.19","27.19","0.36","0.18","0.24","1.03","0.19","0.41","2.43","0.90","1.36"
"..Region VII (Central Visayas) r2, 1/, 2/","181.30","354.04","206.66","7.65","6.82","6.63","13.87","24.15","13.71","154.12","306.70","179.79","208.48","401.39","233.54"
"....Bohol 1/, c/","47.36","61.45","49.20","9.91","8.61","10.83","4.69","5.29","5.33","38.16","51.08","38.76","56.55","71.82","59.65"
"....Cebu 1/, 2/","133.95","292.59","157.46","9.74","8.05","8.02","13.05","23.57","12.63","108.37","246.39","132.70","159.53","338.79","182.22"
"..Region VIII (Eastern Visayas)","253.34","251.32","241.00","4.13","4.03","4.41","10.45","10.12","10.63","232.86","231.48","220.17","273.83","271.17","261.83"
"....Biliran 1/, 2/, 3/, c/","5.63","8.68","3.82","9.87","9.40","12.07","0.56","0.82","0.46","4.54","7.08","2.92","6.72","10.28","4.72"
"....Eastern Samar 1/, 3/","47.96","37.65","33.59","6.56","9.15","9.18","3.15","3.44","3.08","41.80","30.90","27.54","54.13","44.40","39.63"
"....Leyte","107.04","111.43","116.27","8.04","7.40","7.74","8.61","8.24","9.00","90.17","95.28","98.62","123.91","127.59","133.92"
"....Northern Samar 1/","37.13","27.06","31.53","7.86","7.98","8.94","2.92","2.16","2.82","31.41","22.83","26.00","42.85","31.30","37.05"
"....Southern Leyte 2/, 3/, c/","16.37","15.50","6.94","8.73","9.28","12.71","1.43","1.44","0.88","13.57","12.68","5.21","19.18","18.32","8.67"
"....Samar 1/","39.21","50.99","48.86","9.68","7.67","7.50","3.79","3.91","3.66","31.77","43.32","41.68","46.64","58.66","56.04"
"..Region IX (Zamboanga Peninsula)","212.99","204.59","217.28","4.54","4.58","4.82","9.67","9.38","10.48","194.03","186.21","196.73","231.95","222.97","237.82"
"....Zamboanga del Norte","87.20","99.82","94.65","7.52","6.69","8.48","6.56","6.68","8.03","74.34","86.73","78.91","100.05","112.91","110.38"
"....Zamboanga del Sur 2/","74.19","58.83","89.47","8.18","9.20","6.95","6.07","5.41","6.22","62.29","48.22","77.28","86.10","69.44","101.66"
"....Zamboanga Sibugay 2/, 3/","41.36","42.62","30.46","8.38","8.71","8.37","3.47","3.71","2.55","34.57","35.34","25.46","48.15","49.90","35.46"
"....Isabela City 1/, 3/, a/, b/, c/","10.24","3.32","2.70","12.55","15.82","18.21","1.28","0.53","0.49","7.72","2.29","1.74","12.76","4.35","3.66"
"..Region X (Northern Mindanao) 1/, 3/","194.22","228.18","227.14","4.05","5.02","4.28","7.86","11.47","9.72","178.81","205.71","208.09","209.63","250.65","246.19"
"....Bukidnon b/","73.42","79.93","73.50","7.73","10.96","9.74","5.68","8.76","7.16","62.30","62.76","59.47","84.55","97.10","87.53"
"....Camiguin 2/, 3/, b/, c/","3.81","3.28","2.15","9.47","11.41","14.91","0.36","0.37","0.32","3.10","2.55","1.52","4.52","4.02","2.78"
"....Lanao del Norte 1/, 3/","44.26","63.32","64.82","7.11","8.20","7.29","3.15","5.19","4.73","38.09","53.15","55.55","50.43","73.50","74.09"
"....Misamis Occidental b/","27.30","26.49","33.43","9.41","10.69","6.88","2.57","2.83","2.30","22.27","20.94","28.92","32.34","32.04","37.94"
"....Misamis Oriental","45.42","55.15","53.24","7.93","8.04","7.38","3.60","4.43","3.93","38.37","46.46","45.53","52.48","63.84","60.95"
"..Region XI (Davao Region) c/","178.49","165.42","165.41","5.69","5.23","10.58","10.15","8.66","17.51","158.59","148.46","131.10","198.39","182.39","199.72"
"....Davao del Norte a/, b/, c/","24.98","18.65","19.00","14.42","17.76","16.25","3.60","3.31","3.09","17.92","12.16","12.95","32.04","25.15","25.06"
"....Davao del Sur a/, b/, c/","51.71","51.87","70.74","15.70","10.99","23.53","8.12","5.70","16.64","35.80","40.70","38.12","67.62","63.05","103.35"
"....Davao Oriental 1/, 2/, 3/","21.55","32.29","44.85","7.59","9.41","7.32","1.64","3.04","3.28","18.34","26.34","38.42","24.76","38.24","51.28"
"....Davao de Oro 2/, 3/, b/, c/","33.23","33.57","13.82","9.50","12.34","14.69","3.16","4.14","2.03","27.05","25.45","9.84","39.42","41.69","17.80"
"....Davao Occidental 1/, 2/, 3/, c/","47.02","29.04","17.00","7.23","7.73","13.26","3.40","2.24","2.25","40.35","24.64","12.58","53.68","33.44","21.42"
"..Region XII (SOCCSKSARGEN) 2/, 3/, 4/","231.92","238.71","193.91","5.49","5.12","7.10","12.73","12.23","13.77","206.97","214.73","166.92","256.87","262.69","220.90"
"....Cotabato 2/, a/, b/, c/","83.10","90.09","62.44","10.80","10.12","15.31","8.97","9.11","9.56","65.51","72.22","43.70","100.70","107.95","81.17"
