"Summary Statistics for Information and Communication Establishments"

"Industry Description","2016 Number of establishments All Employment Sizes","2016 Number of establishments Total Employment of 20 and Over","2016 Number of establishments Total Employment of Less than 20","2016 Total employment All Employment Sizes","2016 Total employment Total Employment of 20 and Over","2016 Total employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total income All Employment Sizes","2016 Total income Total Employment of 20 and Over","2016 Total income Total Employment of Less than 20","2016 Total expense All Employment Sizes","2016 Total expense Total Employment of 20 and Over","2016 Total expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other expense All Employment Sizes","2016 Other expense Total Employment of 20 and Over","2016 Other expense Total Employment of Less than 20","2016 Value added All Employment Sizes","2016 Value added Total Employment of 20 and Over","2016 Value added Total Employment of Less than 20","2016 Goss additions to fixed assets All Employment Sizes","2016 Goss additions to fixed assets Total Employment of 20 and Over","2016 Goss additions to fixed assets Total Employment of Less than 20","2016 Change in inventories All Employment Sizes","2016 Change in inventories Total Employment of 20 and Over","2016 Change in inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce sales All Employment Sizes","2016 E-Commerce sales Total Employment of 20 and Over","2016 E-Commerce sales Total Employment of Less than 20"
"..Sound recording activities",14,c,c,184,c,c,171,c,c,514519,c,c,426573,c,c,110437,c,c,316136,c,c,229060,c,c,25536,c,c,2063,c,c,0,c,c,0,c,c
"..Publishing of music",4,4,14,163,249,98,163,249,85,221397,485240,250675,201627,390069,238133,43153,115484,38106,158475,274584,200026,50763,195658,84164,691,18304,7923,0,0,2063,0,0,0,0,0,0
"..Radio broadcasting and relay station and studios",329,66,263,4346,2268,2078,4188,2223,1965,5131860,3199418,1932442,4185356,2620435,1564921,1088006,691303,396703,3097350,1929132,1168218,2374483,1479587,894896,110611,64367,46244,-3641,-2903,-739,0,0,0,0,0,0
"..Television broadcasting and relay stations and studios including closed circuit television services",75,30,45,9048,8699,349,9014,8685,329,34921968,33804002,1117966,30427442,29445285,982156,6586485,6345019,241466,23840957,23100267,740690,15924849,15404073,520776,3954041,3867480,86562,-241703,-235923,-5780,0,0,0,0,0,0
"..Television program production",11,3,8,316,243,73,316,243,73,3472873,3306153,166720,3138823,2982097,156726,433511,403453,30057,2705313,2578644,126669,1081059,1034433,46626,25361,24984,377,16,0,16,0,0,0,0,0,0
"..Wired (landline) services",39,20,19,8407,8193,214,8400,8192,208,95474405,93187668,2286737,65122633,63503398,1619235,14729959,14698038,31921,50392674,48805359,1587315,43587047,42533549,1053497,7174069,7220547,-46477,-11206,-11664,458,25754,25754,0,1331,1331,0
"..Wired internet access service activities (e.g. dsl, leased line, dial-up)",5,c,3,307,c,40,307,c,40,25692695,c,24581362,22014970,c,21097753,146962,c,20600,21868008,c,21077153,10306169,c,9823378,844565,c,6380,257567,c,257567,0,c,0,0,c,0
"..Other wired telecommunications activities",9,10,s,1333,1582,s,1333,1582,s,3078469,4174658,s,2123178,3015579,s,631546,751969,s,1491631,2263610,s,1786323,2267479,s,650686,1488870,s,19258,20026,s,0,0,s,0,0,s
"..Wireless landline services",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Mobile telecommunications services",10,7,3,14176,14155,21,14176,14155,21,246082881,246049329,33552,207576602,207545240,31362,10223732,10220580,3152,197352870,197324660,28209,75957564,75947841,9723,30882999,30882765,233,-164545,-161980,-2565,0,0,0,4339,4339,0
"..Wireless internet access services (e.g. internet service provider, broadband)",25,13,12,1442,1343,99,1434,1335,99,10641994,10309765,332228,8239516,7945920,293596,505425,480826,24598,7734091,7465094,268997,3499741,3420239,79502,1358070,1355837,2232,-15843,-15843,0,0,0,0,0,0,0
