geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
National Capital Region,Information and Communication,1372,136423,136172,6079,597910663,507336891,124049612,383287278,373336924,113808814,1694029,191792,157455
National Capital Region,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Software publishing,124,8063,8063,261,23113190,16056423,5667357,10389068,13851395,-1360901,-114217,2903,0
National Capital Region,"Motion picture, video and television programme activities",46,2855,2849,5,3947515,2264371,1125879,1138492,2672465,52604,30,0,0
National Capital Region,Sound recording and music publishing activities,19,504,500,10,1526201,1108195,227825,880370,598412,84868,72,0,0
National Capital Region,Radio broadcasting,47,1720,1720,25,1709998,1513878,277733,1236145,622861,52468,69,0,0
National Capital Region,Television programming and broadcasting activities,33,8879,8872,83,43462457,40748141,17071608,23676533,24833713,240362,-412,0,0
National Capital Region,Wired telecommunications activities,16,13190,13190,147,105548049,86447265,18407650,68039615,63279575,37732040,110,0,0
National Capital Region,Wireless telecommunications activities,38,16322,16322,3730,246528453,212200640,24058973,188141667,177826952,69940392,1796777,5358,0
National Capital Region,Satellite telecommunications activities,32,3428,3428,125,14030056,13390451,1939515,11450936,6281194,4752780,-11187,0,0
National Capital Region,Other telecommunications activities,248,5444,5403,74,13683908,10663734,1896581,8767153,5289217,79186,-25942,0,0
National Capital Region,"Computer programming, consultancy and related activities",701,65284,65090,1535,128594777,115813702,49634587,66179116,68961989,1965718,56757,183531,152302
National Capital Region,"Data processing, hosting and related activities; web portals",45,9464,9464,6,12279565,5439847,3266732,2173115,6757097,261128,0,0,5153
National Capital Region,Other information service activities,23,1270,1270,78,3486494,1690242,475174,1215068,2362055,8170,-8028,0,0
Cordillera Administrative Region,Information and Communication,85,1348,1295,0,556080,489402,270472,218929,370527,4355,-629,0,28
Cordillera Administrative Region,"Publishing of books, periodicals and other publishing activities",6,191,189,0,69042,67346,46069,21277,56931,830,-472,0,0
Cordillera Administrative Region,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Motion picture, video and television programme activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Radio broadcasting,13,115,115,0,88582,80131,25244,54886,40422,3600,0,0,0
Cordillera Administrative Region,Television programming and broadcasting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Satellite telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Other telecommunications activities,53,110,64,0,13348,11429,3599,7830,7372,-74,-89,0,28
Cordillera Administrative Region,"Computer programming, consultancy and related activities",3,128,128,0,30533,29286,23031,6254,28554,0,0,0,0
Cordillera Administrative Region,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Other information service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Information and Communication,134,1362,1328,2,1293942,1316719,430367,886352,583442,34688,365,0,0
Ilocos Region,"Publishing of books, periodicals and other publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Software publishing,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Motion picture, video and television programme activities",5,57,57,0,107976,92957,5860,87097,52957,0,48,0,0
Ilocos Region,Sound recording and music publishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Radio broadcasting,29,235,235,0,233888,219717,80932,138784,128049,793,-30,0,0
Ilocos Region,Television programming and broadcasting activities,5,98,98,0,484385,595524,235254,360269,202492,1113,0,0,0
Ilocos Region,Wired telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Wireless telecommunications activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Satellite telecommunications activities,6,84,83,0,87812,41214,15670,25544,70512,466,0,0,0
Ilocos Region,Other telecommunications activities,81,424,391,0,226189,216722,46836,169886,71508,32228,357,0,0
Ilocos Region,"Computer programming, consultancy and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Data processing, hosting and related activities; web portals",0,0,0,0,0,0,0,0,0,0,0,0,0
