geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,gross_margin_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Ilocos Region,Retail sale of other goods in specialized stores,1027,7992,7750,0,20467213,21387304,1208645,20178660,2028675,1493922,738564,-130050,0,0
Ilocos Region,"Retail trade not in stores, stalls or markets",10,40,36,0,14944,11703,4382,7321,4108,6307,0,-446,0,0
Cagayan Valley,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,2711,35530,34985,4456,182302874,149561358,4506359,145054999,44968772,40412168,400237,-9340902,0,0
Cagayan Valley,Sale of motor vehicles,43,503,503,0,20550001,16695298,89926,16605372,3676307,4068264,0,-1434505,0,0
Cagayan Valley,Maintenance and repair of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Sale of motor vehicle parts and accessories,37,526,526,0,275647,213646,49973,163673,129588,136569,0,4878,0,0
Cagayan Valley,"Sale, maintenance and repair of motorcycles and related parts and accessories",249,2035,2035,0,8126832,6639994,292526,6347468,1873057,1847637,12176,-1208428,0,0
Cagayan Valley,Wholesale on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Wholesale of agricultural raw materials and live animals,165,3046,2826,9,2645955,3013548,243015,2770533,530364,475102,0,-448644,0,0
Cagayan Valley,"Wholesale of food, beverages and tobacco",77,1716,1716,4,12631594,12410704,284919,12125786,802583,626962,0,-61177,0,0
Cagayan Valley,Wholesale of household goods,56,606,606,0,1641408,1629299,80949,1548350,216418,110578,0,-113712,0,0
Cagayan Valley,"Wholesale of machinery, equipment and supplies",72,674,673,0,3155039,3094500,104882,2989618,321762,205013,12116,1045392,0,0
Cagayan Valley,Other specialized wholesale,59,3124,3124,0,6958961,6878432,199530,6678901,702750,367968,0,-23239,0,0
Cagayan Valley,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Retail sale in non-specialized stores,231,5369,5206,3329,28238447,27155846,763426,26392420,4688594,2384626,302818,-215441,0,0
Cagayan Valley,"Retail sale of food, beverages and tobacco in specialized stores",187,972,972,0,1347000,1296134,165918,1130216,279801,216145,1500,50456,0,0
Cagayan Valley,Retail sale of automotive fuel in specialized stores,220,604,604,0,1984317,1874287,55864,1818423,287801,189832,0,15676,0,0
Cagayan Valley,Retail sale of information and communications equipment in specialized stores,66,746,717,0,1502967,1482550,211651,1270899,392072,315509,132,62957,0,0
Cagayan Valley,Retail sale of other household equipment in specialized stores,485,10880,10880,0,34786416,33807940,1306989,32500950,3617892,2888948,1,1730586,0,0
Cagayan Valley,Retail sale of cultural and recreation goods in specialized stores,89,546,546,0,783392,682117,46185,635932,334631,290303,0,27301,0,0
Cagayan Valley,Retail sale of other goods in specialized stores,631,3982,3851,1114,57557674,32598806,573785,32025021,27114571,26209829,71493,-8770542,0,0
Cagayan Valley,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,8120,85819,84719,10221,435257653,421538806,14264041,407274765,59990306,37879662,5069948,7168830,103763,23780
Central Luzon,Sale of motor vehicles,165,3609,3609,2074,32017654,31363637,748622,30615014,3397814,2231383,31983,-1587454,0,0
Central Luzon,Maintenance and repair of motor vehicles,92,380,380,0,348382,348450,55198,293253,0,95683,131428,17252,0,0
Central Luzon,Sale of motor vehicle parts and accessories,114,610,610,0,319938,264690,80718,183972,208315,146172,610,-22792,0,0
Central Luzon,"Sale, maintenance and repair of motorcycles and related parts and accessories",1103,11186,11186,163,27643397,26726805,1675704,25051101,4860811,3135900,806463,814748,0,0
Central Luzon,Wholesale on a fee or contract basis,8,73,73,0,153777,150783,4447,146336,0,5187,0,-4620,0,0
Central Luzon,Wholesale of agricultural raw materials and live animals,135,1244,1244,0,980613,905810,70066,835745,104994,130416,28871,10084,0,0
Central Luzon,"Wholesale of food, beverages and tobacco",189,4022,4022,128,40823802,40302470,799612,39502858,3217053,1686694,156450,192200,0,0
Central Luzon,Wholesale of household goods,263,3556,3496,1872,12461309,11646157,386197,11259961,2086621,1347907,455398,356088,0,11886
Central Luzon,"Wholesale of machinery, equipment and supplies",104,647,646,3,4911204,4578429,72086,4506344,388561,436022,375,193884,0,0
Central Luzon,Other specialized wholesale,195,3213,3209,458,58648313,58344345,949407,57394937,2584754,1625293,381567,-243004,0,0
Central Luzon,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Retail sale in non-specialized stores,789,19345,19345,4082,138878877,133974494,3685652,130288842,19680244,10713370,1337784,-299623,0,0
