,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary Statistics for Administrative and Support Service Activities Establishments
Industry Description,2015 Number of establishments All employment sizes,2015 Number of establishments TE 20 and over,2015 Number of establishments TE less than 20,2015 Employment All employment sizes,2015 Employment TE 20 and over,2015 Employment TE less than 20,2015 Paid employees All employment sizes,2015 Paid employees TE 20 and over,2015 Paid employees TE less than 20,2015 Income All employment sizes,2015 Income TE 20 and over,2015 Income TE less than 20,2015 Expense All employment sizes,2015 Expense TE 20 and over,2015 Expense TE less than 20,2015 Compensation All employment sizes,2015 Compensation TE 20 and over,2015 Compensation TE less than 20,2015 Other expense All employment sizes,2015 Other expense TE 20 and over,2015 Other expense TE less than 20,2015 Value added All employment sizes,2015 Value added TE 20 and over,2015 Value added TE less than 20,2015 Gross additions to tangible fixed assets All employment sizes,2015 Gross additions to tangible fixed assets TE 20 and over,2015 Gross additions to tangible fixed assets TE less than 20,2015 Change in inventories All employment sizes,2015 Change in inventories TE 20 and over,2015 Change in inventories TE less than 20,2015 Subsidies All employment sizes,2015 Subsidies TE 20 and over,2015 Subsidies TE less than 20,2015 Sales from e-commerce transactions All employment sizes,2015 Sales from e-commerce transactions TE 20 and over,2015 Sales from e-commerce transactions TE less than 20
"..Pest control services, non-agricultural",106,15,91,2089,1444,645,2089,1444,645,854226,596322,257904,777168,544664,232503,320885,236622,84263,456283,308042,148241,450784,310956,139828,35666,21735,13931,-6489,-490,-5999,0,0,0,0,0,0
"..Other building and industrial cleaning activities, n.e.c.",8,4,4,245,233,12,245,233,12,103195,78451,24744,82429,58794,23636,26864,24626,2238,55565,34168,21397,72301,64272,8029,0,0,0,0,0,0,0,0,0,0,0,0
..Landscape care and maintenance service activities,17,7,10,916,877,40,916,877,40,225354,210097,15257,208436,200043,8393,149052,147287,1765,59384,52756,6628,174848,165260,9587,8,8,0,111,125,-15,0,0,0,0,0,0
..Combined office administrative service activities,33,6,27,771,523,248,771,523,248,806666,650492,156173,756086,615542,140544,410073,374873,35199,346013,240669,105345,504934,439035,65899,1397,1381,16,16,16,0,0,0,0,0,0,0
..Photocopying service acitivities,653,4,649,3372,264,3108,3372,264,3108,1139638,258281,881356,924295,229676,694619,217841,33671,184169,706455,196005,510450,483760,71467,412293,9193,5594,3599,-1811,257,-2069,0,0,0,2202,2202,0
..Other specialized office support activities,19,s,s,116,s,s,116,s,s,66065,s,s,60542,s,s,31098,s,s,29444,s,s,39502,s,s,1295,s,s,-593,s,s,0,s,s,0,s,s
..Customer relationship management activities,320,291,29,390799,390497,302,390764,390464,300,264438272,264080543,357729,235723128,235389969,333159,154764536,154559398,205138,80958591,80830571,128020,194552425,194311839,240586,8116727,8106324,10403,-10735,-10735,0,14262,14262,0,243913,243827,86
..Sales and marketing (including telemarketing) activities,145,114,31,72546,72286,260,72485,72228,257,51348749,51147756,200993,43506793,43324265,182528,27185243,27115920,69324,16321550,16208346,113204,35100367,34997747,102619,2135016,2131385,3632,-43419,-43419,0,106540,106540,0,386582,384838,1744
"..Other call centers activities (voice), n.e.c.",37,30,7,9265,9184,81,9265,9184,81,6510795,6462961,47834,5757726,5719060,38666,3441263,3421864,19400,2316462,2297196,19266,4761748,4731657,30091,110595,108199,2396,8,0,8,0,0,0,140,140,0
..Finance and accounting activities,12,s,s,6809,s,s,6809,s,s,10768277,s,s,10300019,s,s,6277968,s,s,4022051,s,s,8856065,s,s,128322,s,s,1987,s,s,0,s,s,0,s,s
..Human resources and training activities,30,8,22,2742,2612,130,2742,2612,130,936980,833676,103303,882921,784285,98636,556013,526878,29135,326908,257407,69502,652488,612862,39627,38618,38618,0,0,0,0,0,0,0,0,0,0
..Administrative support activities,19,6,13,1484,1376,108,1484,1376,108,1377605,1289577,88028,1288147,1211320,76827,899055,860483,38572,389093,350837,38256,1102120,1042556,59564,2866,2866,0,0,0,0,0,0,0,0,0,0
..Document processes activities,10,s,s,173,s,s,173,s,s,41608,s,s,36680,s,s,17255,s,s,19424,s,s,25493,s,s,0,s,s,0,s,s,0,s,s,0,s,s
..Payroll maintenance and other transaction processing activities,6,3,3,297,256,41,297,256,41,555116,466398,88718,473614,427048,46566,231396,203587,27809,242218,223462,18757,433545,360729,72815,4069,3274,796,0,0,0,0,0,0,0,0,0
..Medical transcription activities,29,18,11,1886,1796,90,1882,1796,86,753056,727776,25281,707390,682663,24727,493344,475191,18153,214045,207472,6573,575692,555970,19721,14268,12744,1524,-19,-19,0,0,0,0,120054,114503,5551
..Legal services activities,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Supply chain management activities,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Other non-voice related activities, n.e.c.",25,17,8,2850,2794,55,2850,2794,55,2449128,2378691,70437,2192265,2125708,66557,1300771,1264356,36415,891494,861353,30142,1720989,1678597,42392,63907,63907,0,0,0,0,0,0,0,0,0,0
..Engineering outsourcing activities,7,3,4,822,763,59,815,763,52,327785,290809,36976,289757,255466,34291,168250,149791,18459,121507,105675,15832,234871,209467,25403,10982,10932,49,29,0,29,0,0,0,0,0,0
..Publishing outsourcing activities,5,5,c,824,953,c,824,953,c,571899,656559,c,620423,715704,c,366339,424383,c,254085,291321,c,483245,533599,c,3011,3011,c,0,0,c,0,0,c,0,0,c
..Research and analysis activities,8,c,8,183,c,54,175,c,46,140490,c,55830,155841,c,60560,70230,c,12185,85611,c,48375,80282,c,29929,175,c,175,0,c,0,0,c,0,0,c,0
..Intellectual property research and documentation activities,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Security outsourcing activities,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Other back office operations activities, n.e.c",7,s,s,1618,s,s,1618,s,s,1006732,s,s,934404,s,s,540820,s,s,393585,s,s,658556,s,s,18713,s,s,0,s,s,7569,s,s,0,s,s
..Organization of conventions and trade shows,57,8,49,901,298,603,829,298,531,1825603,1047228,778375,1474832,954211,520621,241725,116857,124868,1233108,837355,395753,683207,230267,452941,24497,13439,11058,0,0,0,0,0,0,7744,7744,0
..Activities of collection agencies and credit bureaus,145,20,125,2432,1672,760,2432,1672,760,2028835,1467485,561351,1511746,1084503,427244,466968,317799,149168,1044779,766703,278076,1414636,1051867,362768,72346,15174,57171,1,1,0,0,0,0,0,0,0
..Packaging activities,91,30,61,6872,6365,507,6871,6364,507,3383525,2045730,1337795,3029263,1777087,1252175,1813432,919396,894036,1215830,857691,358139,2350793,1332158,1018635,11149,11149,0,-31252,-1703,-29549,0,0,0,0,0,0
"..Other business support service activities, n.e.c.",58,4,54,941,654,287,941,654,287,905352,648048,257305,791701,548203,243498,419798,307556,112242,371903,240647,131256,573223,435180,138043,6224,1467,4757,317,317,0,0,0,0,0,0,0
