sub_object_code_id,sub_object_code
443,571110
444,465404
445,465804
446,505060
447,495030
448,493025
449,465204
450,511060
451,528910
452,436380
453,527100
454,420610
455,495013
456,445134
457,581160
458,448926
459,460146
460,595328
461,439531
462,581410
463,460159
464,448111
465,531310
466,515990
467,411110
468,425310
469,460129
470,475940
471,412340
472,493033
473,581500
474,560840
475,486340
476,526000
477,581078
478,435232
479,412410
480,466203
481,460607
482,435111
483,486780
484,532000
485,479994
486,461112
487,486060
488,435250
489,411225
490,537240
491,467161
492,544610
493,529510
494,581069
495,462597
496,461133
497,581300
498,462699
499,486240
500,591060
501,478201
502,465752
503,551140
504,591210
505,460694
506,468711
507,581560
508,465677
509,461183
510,460121
511,465205
512,510010
513,549750
514,581050
515,531210
516,513150
517,486470
518,473248
519,541990
520,476251
521,460629
522,461117
523,461118
524,465345
525,425120
526,581165
527,581870
528,591330
529,581480
530,581600
531,581084
532,440145
533,486090
534,581780
535,461101
536,536100
537,465377
538,486720
539,581450
540,597050
541,581310
542,410120
543,581075
544,591270
545,595250
546,435236
547,536320
548,425160
549,445416
550,560910
551,486570
552,430120
553,581420
554,581860
555,591220
556,563301
557,495029
558,563302
559,544310
560,549260
561,449999
562,510160
563,567110
564,473111
565,473260
566,461165
567,563303
568,553140
569,410110
570,473259
571,527410
572,425210
573,480399
574,560980
575,581350
576,475312
577,552270
578,465120
579,544810
580,410911
581,528020
582,465807
583,465411
584,425920
585,446111
586,436370
587,479940
588,525110
589,545110
590,579020
591,465820
592,526810
593,495002
594,521040
595,466901
596,470211
597,531510
598,526010
599,465824
600,460188
601,410230
602,495011
603,511020
604,439909
605,591055
606,560510
607,473236
608,531110
609,473256
610,495023
611,531410
612,437214
613,552230
614,556080
615,460639
616,486350
617,461104
618,479751
619,487990
620,410943
621,476202
622,465407
623,556310
624,495012
625,435611
626,486620
627,430170
628,460181
629,479904
630,460115
631,486450
632,410420
633,533130
634,560950
635,581680
636,460675
637,560210
638,462891
639,473268
640,544920
641,527230
642,478202
643,520100
644,465855
645,591100
646,493038
647,410914
648,473250
649,528050
650,566990
651,591350
652,541100
653,466112
654,465990
655,461156
656,487020
657,460645
658,425110
659,527220
660,553120
661,430310
662,462631
663,581540
664,410220
665,460126
666,473200
667,581440
668,554610
669,581071
670,526820
671,473263
672,560810
673,436260
674,475413
675,535410
676,465835
677,435218
678,462596
679,463509
680,526710
681,571310
682,493013
683,555330
684,535420
685,464050
686,460140
687,444998
688,595320
689,440199
690,493028
691,449207
692,448912
693,475302
694,410941
695,440101
696,410510
697,460101
698,581077
699,581810
700,461162
701,465918
702,468611
703,461150
704,581320
705,460127
706,461102
707,595010
708,460191
709,525000
710,487110
711,486790
712,495044
713,486290
714,449997
715,581062
716,460183
717,472100
718,598040
719,449101
720,468100
721,574210
722,437522
723,581080
724,526110
725,999985
726,460679
727,446213
728,462841
729,581970
730,460619
731,493007
732,554130
733,536180
734,595130
735,460801
736,463511
737,560830
738,435110
739,445412
740,465833
741,465326
742,412911
743,537250
744,465268
745,539610
746,465672
747,425305
748,465787
749,529410
750,581011
751,440154
752,526210
753,420240
754,435631
755,534210
756,465369
757,462672
758,581510
759,513000
760,437216
761,438111
762,465245
763,463541
764,467421
765,555320
766,537910
767,469901
768,539100
769,487140
770,449106
771,466110
772,479990
773,597095
774,465569
775,552260
776,470124
777,527900
778,465309
779,410980
780,441101
781,445107
782,484902
783,465370
784,567210
785,475414
786,506040
787,470169
788,519100
789,480599
790,554990
791,461123
792,467121
793,460802
794,462611
795,465903
796,460647
797,581070
798,493017
799,443111
800,473223
801,493043
802,443213
803,493014
804,561610
805,435291
806,460704
807,538100
808,544910
809,536310
810,470178
811,506065
812,527820
813,585030
814,466999
815,487250
816,476311
817,473244
818,532410
819,435249
820,460500
821,581800
822,544150
823,595300
824,581013
825,461120
826,527060
827,463106
828,466222
829,478905
830,463111
831,410930
832,468111
833,460170
834,440140
835,430199
836,536620
837,465675
838,465875
839,465673
840,465662
841,460627
842,560110
843,486490
844,515630
845,448411
846,410981
847,473300
848,461143
849,463571
850,467711
851,476199
852,420330
853,470202
854,470136
855,465871
856,463107
857,435539
858,486185
859,465544
860,473245
861,444011
862,475991
863,551110
864,501000
865,549710
866,460103
867,573110
868,412925
869,552435
870,466104
871,533000
872,581920
873,549310
874,581630
875,581380
876,465742
877,435220
878,462691
879,581150
880,465768
881,410320
882,595040
883,526410
884,478960
885,437512
886,443211
887,486440
888,465845
889,420320
890,440166
891,464500
892,465275
893,495007
894,437321
895,461111
896,461131
897,440221
898,446211
899,412210
900,487280
901,465867
902,435211
903,437215
904,463510
905,487910
906,465652
907,435311
908,486040
909,465777
910,595201
911,460172
912,436560
913,460630
914,461106
915,487050
916,465995
917,465367
918,527240
919,581190
920,460906
921,469920
922,591070
923,591320
924,473171
925,473220
926,506050
927,448998
928,574240
929,581087
930,480121
931,479993
932,506020
933,480141
934,581590
935,435612
936,460130
937,585020
938,473169
939,591280
940,460143
941,473161
942,462660
943,465872
944,463574
945,527840
946,461199
947,410210
948,493008
949,465869
950,465371
951,527860
952,461184
953,527810
954,461180
955,478951
956,581625
957,581016
958,597090
959,475311
960,581015
961,475910
962,465669
963,463109
964,566110
965,595290
966,460799
967,581088
968,425530
969,425317
970,473205
971,460631
972,536420
973,487130
974,487040
975,420316
976,465865
977,448920
978,581091
979,475320
980,461135
981,461167
982,467151
983,460116
984,465570
985,493019
986,527710
987,486590
988,460133
989,486191
990,463573
991,598030
992,460169
993,465877
994,510050
995,460505
996,460148
997,595110
998,461164
