geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Cordillera Administrative Region,Repair of personal and household goods,16,57,50,0,28704,24344,3582,20762,8991,30,-711,0,0
Cordillera Administrative Region,"Personal services for wellness, except sports activities",108,816,752,0,332833,298064,58324,239740,113732,2308,-553,0,0
Cordillera Administrative Region,Laundry services,42,108,99,0,43261,37645,9056,28589,18008,0,5,0,0
Cordillera Administrative Region,Funeral and related activities,13,96,74,0,76210,68512,14707,53805,32873,341,-514,0,0
Cordillera Administrative Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Other Service Activities,278,1734,1686,0,903640,769447,156056,613391,433163,352401,-73172,0,0
Ilocos Region,Repair of computers and communications equipment,9,39,38,0,11690,9523,5346,4177,8032,0,7,0,0
Ilocos Region,Repair of personal and household goods,38,377,375,0,149170,121082,27038,94044,62552,303,1994,0,0
Ilocos Region,"Personal services for wellness, except sports activities",134,1012,998,0,499378,423831,102889,320942,207239,430,-6650,0,0
Ilocos Region,Laundry services,26,82,82,0,25514,19966,8697,11269,6492,0,-430,0,0
Ilocos Region,Funeral and related activities,71,223,193,0,217888,195044,12085,182959,148848,351668,-68093,0,0
Ilocos Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Other Service Activities,124,1363,1301,0,372610,279746,125009,154738,248440,77444,-2218,0,0
Cagayan Valley,Repair of computers and communications equipment,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Repair of personal and household goods,20,117,117,0,47325,40325,11313,29012,20691,4046,5418,0,0
Cagayan Valley,"Personal services for wellness, except sports activities",55,970,915,0,184324,130362,57519,72842,134273,66383,-8463,0,0
Cagayan Valley,Laundry services,12,36,36,0,8192,6406,2645,3761,4763,0,13,0,0
Cagayan Valley,Funeral and related activities,33,233,226,0,128365,98742,53064,45678,87455,6982,654,0,0
Cagayan Valley,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Other Service Activities,859,5391,5227,0,6272424,5722229,681911,5040318,1681099,27803,-74465,0,0
Central Luzon,Repair of computers and communications equipment,28,159,153,0,367212,331154,17087,314068,70123,3333,-6440,0,0
Central Luzon,Repair of personal and household goods,84,675,673,0,569001,532040,125112,406928,172833,1530,982,0,0
Central Luzon,"Personal services for wellness, except sports activities",473,3192,3105,0,4728057,4356076,366341,3989735,1124257,0,-59920,0,0
Central Luzon,Laundry services,102,409,381,0,185766,157079,80673,76407,117808,0,-494,0,0
Central Luzon,Funeral and related activities,171,952,910,0,420893,344815,92128,252687,195034,22939,-8545,0,0
Central Luzon,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Other Service Activities,1657,12959,12716,0,6666316,5850086,1531933,4318154,2831890,56557,-23426,0,0
Calabarzon,Repair of computers and communications equipment,32,160,154,0,83353,65883,16466,49417,36442,59,-150,0,0
Calabarzon,Repair of personal and household goods,145,2107,2107,0,1586632,1467929,177597,1290331,321090,9461,-7550,0,0
Calabarzon,"Personal services for wellness, except sports activities",1007,7638,7480,0,3471952,3035393,920487,2114906,1588232,39589,7214,0,0
Calabarzon,Laundry services,295,1668,1644,0,688933,623269,270925,352343,393812,5248,-5894,0,0
Calabarzon,Funeral and related activities,166,1293,1242,0,812050,642859,137096,505763,472959,2077,-17009,0,0
Calabarzon,"Other personal service activities, n.e.c.",12,92,89,0,23395,14753,9361,5393,19356,122,-38,0,0
Mimaropa Region,Other Service Activities,68,561,557,0,278099,254371,60707,193664,111395,925,575,0,0
Mimaropa Region,Repair of computers and communications equipment,4,14,13,0,22190,21996,1153,20843,1770,0,2490,0,0
Mimaropa Region,Repair of personal and household goods,6,30,30,0,9112,7222,3246,3976,5167,0,128,0,0
Mimaropa Region,"Personal services for wellness, except sports activities",34,344,344,0,91343,78869,35496,43373,52029,925,-2054,0,0
Mimaropa Region,Laundry services,7,40,37,0,9308,8850,3726,5125,4650,0,671,0,0
Mimaropa Region,Funeral and related activities,17,133,133,0,146146,137434,17087,120347,47779,0,-660,0,0
Mimaropa Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Other Service Activities,307,2228,2091,0,625084,528637,154014,374623,292559,46806,-9830,0,0
Bicol Region,Repair of computers and communications equipment,13,30,30,0,16058,13400,3710,9690,6088,135,-133,0,0
Bicol Region,Repair of personal and household goods,40,224,214,0,145017,125774,15372,110401,40694,1432,-981,0,0
Bicol Region,"Personal services for wellness, except sports activities",131,1438,1320,0,212016,165802,92373,73429,146227,0,12,0,0
Bicol Region,Laundry services,10,39,29,0,7538,6233,3360,2873,5133,0,19,0,0
Bicol Region,Funeral and related activities,113,497,497,0,244454,217427,39198,178229,94416,45239,-8747,0,0
Bicol Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Other Service Activities,575,4333,3908,0,1453969,1271025,338676,932349,590653,524106,2628,0,0
Western Visayas,Repair of computers and communications equipment,15,67,67,0,56795,47168,8263,38904,18768,950,1856,0,0
Western Visayas,Repair of personal and household goods,35,335,332,0,385530,378789,23075,355714,35167,137,-9,0,0
Western Visayas,"Personal services for wellness, except sports activities",298,2450,2104,0,364130,312650,176086,136564,241021,0,236,0,0
Western Visayas,Laundry services,134,714,674,0,269778,234503,63340,171162,108846,16500,-87,0,0
Western Visayas,Funeral and related activities,93,767,731,0,377736,297916,67911,230005,186853,506519,632,0,0
Western Visayas,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Other Service Activities,960,7276,7205,0,5097603,4460830,1240334,3220496,2137980,33898,101992,0,0
Central Visayas,Repair of computers and communications equipment,18,76,72,0,84413,81309,8924,72385,13925,54,2470,0,0
Central Visayas,Repair of personal and household goods,57,1578,1578,0,2138666,1894140,579429,1314711,906009,10596,117966,0,0
Central Visayas,"Personal services for wellness, except sports activities",531,3809,3793,0,1769159,1545918,413746,1132172,706328,429,-8191,0,0
Central Visayas,Laundry services,228,729,729,0,238010,209570,58441,151129,124711,18144,-7757,0,0
Central Visayas,Funeral and related activities,119,1024,985,0,825874,697861,171843,526018,368642,4674,-2822,0,0
Central Visayas,"Other personal service activities, n.e.c.",7,59,47,0,41481,32031,7950,24081,18365,0,327,0,0
Eastern Visayas,Other Service Activities,184,995,972,0,424987,363969,73797,290172,175734,13220,4619,0,0
Eastern Visayas,Repair of computers and communications equipment,4,15,14,0,18648,15496,1976,13520,5268,0,46,0,0
Eastern Visayas,Repair of personal and household goods,23,196,174,0,43348,35339,17398,17941,27521,321,-403,0,0
Eastern Visayas,"Personal services for wellness, except sports activities",66,505,505,0,167796,155540,28897,126643,54652,247,4566,0,0
Eastern Visayas,Laundry services,41,90,90,0,31728,24613,7989,16624,17183,172,100,0,0
Eastern Visayas,Funeral and related activities,50,189,189,0,163468,132981,17537,115444,71109,12480,310,0,0
Eastern Visayas,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Other Service Activities,141,1071,1042,0,757678,623469,99448,524021,293729,4193,12828,0,0
Zamboanga Peninsula,Repair of computers and communications equipment,7,39,39,0,34266,30499,3946,26552,8856,565,2819,0,0
Zamboanga Peninsula,Repair of personal and household goods,11,143,143,0,56212,46233,13611,32622,26765,243,8080,0,0
Zamboanga Peninsula,"Personal services for wellness, except sports activities",84,689,673,0,440611,364862,46633,318229,162822,0,360,0,0
Zamboanga Peninsula,Laundry services,16,24,24,0,11139,9459,2331,7128,3755,0,1266,0,0
Zamboanga Peninsula,Funeral and related activities,24,177,164,0,215450,172417,32925,139492,91531,3385,303,0,0
Zamboanga Peninsula,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Other Service Activities,211,1983,1820,0,622223,550067,181485,368583,303764,54324,11485,0,0
Northern Mindanao,Repair of computers and communications equipment,6,28,23,0,6851,6074,1758,4316,3129,0,379,0,0
Northern Mindanao,Repair of personal and household goods,19,117,102,0,57211,51023,8528,42495,17225,355,-474,0,0
Northern Mindanao,"Personal services for wellness, except sports activities",132,1333,1276,0,324200,286326,110057,176269,159682,22824,-881,0,0
Northern Mindanao,Laundry services,20,140,140,0,28841,21007,11934,9072,22109,3314,0,0,0
Northern Mindanao,Funeral and related activities,34,366,280,0,205121,185638,49207,136431,101620,27831,12461,0,0
Northern Mindanao,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Other Service Activities,455,3241,3072,0,2105213,1803741,304654,1499088,746585,120561,81890,0,0
Davao Region,Repair of computers and communications equipment,9,43,40,0,24417,21697,7658,14039,11652,130,-64,0,0
Davao Region,Repair of personal and household goods,31,358,358,0,147543,127931,44257,83674,67758,11206,192,0,0
Davao Region,"Personal services for wellness, except sports activities",300,2092,1926,0,1140677,1029789,166462,863328,284447,48237,76142,0,0
Davao Region,Laundry services,57,231,231,0,155919,109360,30706,78654,105787,0,0,0,0
Davao Region,Funeral and related activities,55,508,508,0,633883,512785,54758,458026,275200,60872,5289,0,0
Davao Region,"Other personal service activities, n.e.c.",3,11,11,0,2775,2179,813,1366,1741,115,329,0,0
Soccsksargen,Other Service Activities,268,1701,1620,0,936660,752088,199979,552109,510808,74220,1434,0,0
Soccsksargen,Repair of computers and communications equipment,4,10,7,0,3060,2462,567,1895,1281,80,-356,0,0
Soccsksargen,Repair of personal and household goods,29,152,132,0,39456,35255,13474,21780,20409,61,248,0,0
Soccsksargen,"Personal services for wellness, except sports activities",146,1102,1065,0,679422,535748,140140,395608,380654,0,-434,0,0
Soccsksargen,Laundry services,34,83,75,0,29529,25428,8661,16767,18714,0,-26,0,0
Soccsksargen,Funeral and related activities,55,354,341,0,185194,153195,37136,116059,89751,74078,2002,0,0
Soccsksargen,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Other Service Activities,99,607,525,0,350651,298373,75659,222715,187699,10767,1022,0,0
Caraga,Repair of computers and communications equipment,3,7,6,0,2184,1805,417,1388,1018,55,-2,0,0
Caraga,Repair of personal and household goods,14,90,17,0,29885,27512,3259,24252,5957,30,300,0,0
Caraga,"Personal services for wellness, except sports activities",50,330,330,0,73950,58227,32526,25701,51084,800,0,0,0
Caraga,Laundry services,7,18,15,0,3769,3411,1368,2043,2912,988,69,0,0
Caraga,Funeral and related activities,26,163,157,0,240864,207418,38088,169330,126727,8894,654,0,0
Caraga,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Other Service Activities,5,26,22,0,3708,3132,1334,1798,2446,553,2,0,0
Autonomous Region in Muslim Mindanao,Repair of computers and communications equipment,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Repair of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Personal services for wellness, except sports activities",5,26,22,0,3708,3132,1334,1798,2446,553,2,0,0
Autonomous Region in Muslim Mindanao,Laundry services,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Funeral and related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
