by_month_incident_date,incident_category,analysis_neighborhood,count,point
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45873162377274 37.77933315786935)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45387663108788 37.78023904761363)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.4564727014912 37.775483264251925)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45850463913598 37.77619040484718)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45116424560547 37.77425003051758)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45296382638446 37.775750128426345)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45289551819857 37.78036304407931)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44879124957072 37.78088166227314)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44603482651536 37.778749529743024)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44167819391822 37.77737328369181)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44446660053207 37.77945871942826)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44095816451255 37.77936413819776)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44149017333984 37.77643585205078)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,2,POINT (-122.44148832787053 37.77643503539543)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44332122802734 37.777164459228516)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44496661579105 37.77695766643813)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44313245524896 37.7762260352543)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44459533691406 37.77508544921875)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44459286382713 37.7750860862052)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44421618410915 37.773212066372885)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45097351074219 37.7733154296875)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44730151526936 37.78239164108496)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,2,POINT (-122.4458236694336 37.78248977661133)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.44806671142578 37.7824821472168)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,1,POINT (-122.45773304499775 37.78131458534108)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,2,POINT (-122.4588623046875 37.78125762939453)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.43675994873047 37.79501724243164)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.43695068359375 37.79594802856445)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.435302734375 37.79615783691406)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.43183135986328 37.7956428527832)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42524987582406 37.796481302067)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42360129831425 37.79669105830072)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.4296646118164 37.80165481567383)
2020-04-01T00:00:00.000,Larceny Theft,Marina,2,POINT (-122.42618004477822 37.80109545463191)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42472839355469 37.80228042602539)
