"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"03053175","0","030531750","738 Naples St.","2003-07-04T00:00:00.000","031850287","2003-07-04T18:09:38.000","2003-07-04T18:12:01.000","2003-07-04T18:24:00.000","SF","94112","B09","43",,"1","4","0","0","0","0","E43","0","0","0","0","0","0","1","554 - Assist invalid","None","73 - Provide manpower",,,,"419 - 1 or 2 family dwelling",,,,,,,,,,,,,,,,,,,,,,,,,,,"11","Excelsior","POINT (-122.43428373 37.71723403)","2003-07-04T18:32:54.000","2025-06-01T02:18:08.000"
"03053178","0","030531780","Cesar Chavez / I280nb C Chavez Of","2003-07-04T00:00:00.000","031850293","2003-07-04T18:33:00.000","2003-07-04T18:54:15.000","2003-07-04T19:56:46.000","SF","94134","B10","25",,"1","4","0","0","0","0","E42","0","0","0","0","0","0","1","311 - Medical assist, assist EMS crew","None","33 - Provide advanced life support (ALS)",,,,"961 - Highway or divided highway (Street)",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Bayview Hunters Point","POINT (-122.39434 37.7499134)","2003-07-04T23:48:45.000","2025-06-01T02:18:08.000"
"03053180","0","030531800","1150 Carroll Av.","2003-07-04T00:00:00.000","031850294","2003-07-04T18:34:14.000","2003-07-04T18:38:42.000","2003-07-04T19:38:34.000","SF","94124","B10","17",,"2","4","0","0","0","0","E25","0","0","0","0","0","0","1","143 - Grass fire","None","11 - Extinguish",,,,"963 - Street or road in commercial area","90 - Outside area, other","2 - Unintentional","10 - Misuse of material or product, other",,"54 - Fireworks","72 - Light vegetation - no crops, inc. gra","3 - Unattended or unsupervised person",,,,,,,,,,,,,,,,,,,,"10","Bayview Hunters Point","POINT (-122.384996 37.720286)","2003-07-05T02:32:29.000","2025-06-01T02:18:08.000"
"03053183","0","030531830","333 Taylor St.","2003-07-04T00:00:00.000","031850298","2003-07-04T18:38:25.000","2003-07-04T18:39:17.000","2003-07-04T18:46:11.000","SF","94109","B01","01",,"3","9","0","0","0","0","B01","0","0","0","0","0","0","1","735 - Alarm system sounded due to malfunction","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.411293 37.785387)","2003-07-05T07:15:01.000","2025-06-01T02:18:08.000"
"03053186","0","030531860","1310 Greenwich St.","2003-07-04T00:00:00.000","031850301","2003-07-04T18:44:15.000","2003-07-04T18:44:45.000","2003-07-04T19:12:01.000","SF","94133","B01","16",,"1","9","0","0","0","0","T16","0","0","0","0","0","0","1","700 - False alarm or false call, other","None","63 - Restore fire alarm system",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Russian Hill","POINT (-122.4213919 37.80092181)","2003-07-04T19:25:04.000","2025-06-01T02:18:08.000"
"03053188","0","030531880","Mason St. / Sutter St.","2003-07-04T00:00:00.000","031850305","2003-07-04T18:47:25.000","2003-07-04T18:48:46.000","2003-07-04T18:48:49.000","SF","94102","B01","03",,"11","4","0","0","0","0","T03","0","0","0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"NNN - None",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Nob Hill","POINT (-122.410247 37.789016)","2003-07-04T23:39:45.000","2025-06-01T02:18:08.000"
"03053190","0","030531900","178 Farallones St.","2003-07-04T00:00:00.000","031850307","2003-07-04T18:56:42.000","2003-07-04T18:58:14.000","2003-07-04T19:04:01.000","SF","94112","B09","33",,"1","4","0","0","0","0","E33","0","0","0","0","0","0","1","500 - Service Call, other","None","52 - Forcible entry",,,,"419 - 1 or 2 family dwelling",,,,,,,,,,,,,,,,,,,,,,,,,,,"11","Oceanview/Merced/Ingleside","POINT (-122.45839627 37.71431453)","2003-07-04T20:34:42.000","2025-06-01T02:18:08.000"
"03053191","0","030531910","3298 Van Ness Av.","2003-07-04T00:00:00.000","031850304","2003-07-04T19:00:24.000","2003-07-04T19:19:43.000","2003-07-04T23:16:23.000","SF","94133","B04","28",,"3","9","0","0","0","0","RC2","0","0","0","0","0","0","1","900 - Special type of incident, other","None","60 - Systems and services, other",,,,"888 - Fire station",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","Marina","POINT (-122.426623 37.808016)","2003-07-05T07:11:44.000","2025-06-01T02:18:08.000"
"03053193","0","030531930","2045 Sutter St.","2003-07-04T00:00:00.000","031850309","2003-07-04T19:09:47.000","2003-07-04T19:12:18.000","2003-07-04T19:17:21.000","SF","94115","B04","38",,"1","4","0","0","0","0","E38","0","0","0","0","0","0","1","510 - Person in distress, other","None","31 - Provide first aid & check for injuries",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Japantown","POINT (-122.43378147 37.78554114)","2003-07-07T18:19:23.000","2025-06-01T02:18:08.000"
"03053202","0","030532020","23rd St. / Grand View Av.","2003-07-04T00:00:00.000","031850323","2003-07-04T19:41:08.000","2003-07-04T19:44:17.000","2003-07-04T19:44:22.000","SF","94114","B06","24",,"2","9","0","0","0","0","E24","0","0","0","0","0","0","1","710 - Malicious, mischievous false call, other","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"8","Noe Valley","POINT (-122.442524 37.752381)","2003-07-04T22:21:27.000","2025-06-01T02:18:08.000"
