geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
National Capital Region,Passenger air transport,22,17455,17455,0,374936462,382084263,29666155,352418109,93167171,40119956,1245468,80958170,0
National Capital Region,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Warehousing and storage,110,5745,5726,8313,8472622,7414956,1629995,5784961,3784437,96324,-33073,0,0
National Capital Region,Support activities for transportation,956,68627,68276,963,152908077,123681437,22737074,100944363,79993711,5393172,-393448,78364,0
National Capital Region,Courier activities,85,16682,16682,1396,26517080,24490826,5169326,19321500,8695912,1881494,0,0,0
Cordillera Administrative Region,Transportation and Storage,14,322,311,2,189836,178277,37626,140651,61556,0,-1688,0,0
Cordillera Administrative Region,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Transport via buses,5,236,227,0,51081,47527,20301,27226,27241,0,80,0,0
Cordillera Administrative Region,Other land transport,5,33,33,0,20076,17615,6224,11391,15406,0,4,0,0
Cordillera Administrative Region,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Support activities for transportation,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Transportation and Storage,43,1450,1418,63,910643,791621,169846,621775,386330,1900084,-8203,0,0
Ilocos Region,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Transport via buses,12,454,449,0,309997,276217,55418,220799,145882,14467,-439,0,0
Ilocos Region,Other land transport,23,757,730,63,503803,445059,86441,358618,183445,1885617,-7765,0,0
Ilocos Region,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Support activities for transportation,4,182,182,0,65470,48389,20812,27577,39409,0,1,0,0
Ilocos Region,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Transportation and Storage,18,559,510,0,420676,356866,74742,282124,181248,41540,3320,0,0
Cagayan Valley,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Transport via buses,6,153,132,0,49944,43851,10075,33775,21652,0,7,0,0
Cagayan Valley,Other land transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Sea and coastal water transport,4,277,250,0,198730,162747,39827,122920,90646,41540,-2200,0,0
Cagayan Valley,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Support activities for transportation,3,79,79,0,56076,42674,12667,30007,45529,0,-1851,0,0
Cagayan Valley,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Transportation and Storage,152,11611,11540,639,16426676,12420995,3159214,9261780,9134956,3086355,-248689,0,297029
Central Luzon,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Transport via buses,18,2729,2722,11,1897948,1790739,491051,1299689,833598,977362,32117,0,0
Central Luzon,Other land transport,77,2987,2930,2,4074428,3312394,402033,2910361,1885824,1022593,-2230,0,0
Central Luzon,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Warehousing and storage,15,825,818,447,2544816,1765411,259206,1506206,1817611,613616,2330,0,0
Central Luzon,Support activities for transportation,36,4990,4990,180,7892596,5538767,1997579,3541188,4584996,472783,-280886,0,297029
Central Luzon,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Transportation and Storage,271,19641,19468,3359,44123067,34256392,4029053,30227339,17248569,716852,18261,67886,0
Calabarzon,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Transport via buses,64,5979,5831,206,3161068,3013064,922449,2090615,1506322,116810,6829,0,0
Calabarzon,Other land transport,101,4712,4686,1224,3043247,2609531,766409,1843122,1435468,67268,38848,0,0
Calabarzon,Sea and coastal water transport,8,2245,2245,0,3675549,3416212,394967,3021245,1032785,-329712,-12697,0,0
Calabarzon,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Warehousing and storage,30,1661,1661,485,3428861,2250703,407419,1843284,1862769,28664,-64009,0,0
Calabarzon,Support activities for transportation,62,4751,4751,1444,30658374,22824541,1477740,21346801,11326691,833822,49290,67886,0
Calabarzon,Courier activities,5,294,294,0,155968,142342,60069,82272,84534,0,0,0,0
Mimaropa Region,Transportation and Storage,38,805,791,25,927524,809365,114809,694557,250063,149,32011,0,0
Mimaropa Region,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Transport via buses,3,50,50,0,19266,15738,6151,9587,12050,0,9,0,0
Mimaropa Region,Other land transport,8,72,72,0,74676,45151,7599,37552,47373,0,-2,0,0
Mimaropa Region,Sea and coastal water transport,6,97,97,0,102834,66609,4272,62337,14617,149,31705,0,0
Mimaropa Region,Inland water transport,3,37,37,0,7053,5192,2742,2450,5294,0,0,0,0
Mimaropa Region,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Warehousing and storage,4,105,91,0,563683,535295,14680,520615,70209,0,15,0,0
Mimaropa Region,Support activities for transportation,14,444,444,25,160012,141380,79365,62016,100519,0,284,0,0
Mimaropa Region,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Transportation and Storage,62,3022,2870,13,2563143,2387166,415815,1971351,882841,482248,-3543,0,0
Bicol Region,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Transport via buses,14,361,361,0,310660,288939,63275,225664,119300,2744,1436,0,0
Bicol Region,Other land transport,8,323,312,0,214572,179734,42166,137567,105339,35644,-18635,0,0
Bicol Region,Sea and coastal water transport,11,1366,1247,13,1247228,1206345,167955,1038390,389533,378194,-1678,0,0
Bicol Region,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Warehousing and storage,6,124,113,0,386196,359076,17019,342058,53815,0,11386,0,0
Bicol Region,Support activities for transportation,20,812,808,0,388847,341287,123621,217666,208809,65485,4045,0,0
Bicol Region,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Transportation and Storage,83,5716,5627,521,9306894,8383652,1020366,7363286,2510162,173504,-115085,0,0
Western Visayas,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Transport via buses,5,2898,2898,0,5207909,4756204,482960,4273244,1317696,0,26,0,0
Western Visayas,Other land transport,46,1352,1352,519,2027699,1734549,217544,1517005,593472,68981,-338,0,0
Western Visayas,Sea and coastal water transport,5,293,293,2,1183279,1160276,55391,1104885,112684,43801,-113731,0,0
Western Visayas,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Support activities for transportation,25,1053,964,0,833160,685072,248127,436945,457332,60380,-1098,0,0
Western Visayas,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Transportation and Storage,276,23681,23556,574,32353266,29151897,6089420,23062477,15233127,6860860,9627,0,0
Central Visayas,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Transport via buses,17,335,318,0,126512,100851,31618,69234,75249,14377,-423,0,0
Central Visayas,Other land transport,82,2861,2861,138,3433811,2915366,482066,2433300,1397944,1547914,-36857,0,0
Central Visayas,Sea and coastal water transport,38,5083,4975,8,11276156,10892583,1220556,9672027,4373777,735955,39177,0,0
Central Visayas,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Warehousing and storage,8,7730,7730,104,4836897,4083662,1700748,2382914,3425946,1178733,0,0,0
Central Visayas,Support activities for transportation,122,7419,7419,324,12444379,10938604,2619264,8319340,5895794,3350975,7672,0,0
Central Visayas,Courier activities,4,102,102,0,57626,53732,10481,43251,19298,25358,14,0,0
Eastern Visayas,Transportation and Storage,68,2202,2188,2,1733873,1437266,334480,1102786,776640,102349,14637,0,0
Eastern Visayas,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Transport via buses,7,382,382,0,350763,309955,58419,251536,159053,0,4178,0,0
Eastern Visayas,Other land transport,25,348,334,0,293298,250060,59077,190983,136226,93906,-153,0,0
Eastern Visayas,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Inland water transport,23,542,542,0,185131,164888,62966,101922,92832,7290,-149,0,0
Eastern Visayas,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Warehousing and storage,3,555,555,0,644170,490804,100495,390309,292391,0,4215,0,0
Eastern Visayas,Support activities for transportation,6,320,320,0,216579,186945,45848,141097,78462,1153,6486,0,0
Eastern Visayas,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Transportation and Storage,41,2365,2350,9,2033183,1822852,278448,1544404,558828,121570,62150,0,0
Zamboanga Peninsula,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Transport via buses,4,151,151,0,27383,22511,7814,14697,14330,0,0,0,0
Zamboanga Peninsula,Other land transport,8,186,183,9,109606,87897,19718,68179,44842,0,6463,0,0
Zamboanga Peninsula,Sea and coastal water transport,7,646,646,0,1300994,1260659,95696,1164963,173062,119888,0,0,0
Zamboanga Peninsula,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Warehousing and storage,8,115,115,0,171149,118958,14387,104572,69301,0,55460,0,0
Zamboanga Peninsula,Support activities for transportation,14,1267,1255,0,424051,332826,140833,191993,257294,1682,227,0,0
Zamboanga Peninsula,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Transportation and Storage,90,8455,8439,749,18042755,16224795,2086229,14138566,6169858,3147402,-74020,113,0
Northern Mindanao,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Transport via buses,7,3177,3176,164,3975549,3650672,1008760,2641912,1825839,2395101,-350,0,0
Northern Mindanao,Other land transport,40,1533,1523,227,4026338,3027143,187655,2839488,1295755,570681,-1440,0,0
Northern Mindanao,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Warehousing and storage,9,355,350,3,609678,567807,68622,499185,113899,3534,4244,0,0
Northern Mindanao,Support activities for transportation,30,2292,2292,293,2214104,1812586,199392,1613194,859875,151806,-26245,0,0
Northern Mindanao,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Transportation and Storage,162,7381,7371,1068,9552241,8020568,1364834,6655734,4328938,399509,-93351,0,0
Davao Region,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Transport via buses,5,987,987,792,516055,472353,136899,335454,277051,249312,136,0,0
Davao Region,Other land transport,90,2621,2621,83,4674500,4302544,388130,3914413,1211773,60685,2934,0,0
Davao Region,Sea and coastal water transport,4,46,46,16,181913,76671,5344,71327,133104,0,0,0,0
Davao Region,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Warehousing and storage,14,204,194,0,377893,222893,43538,179355,252490,0,88,0,0
Davao Region,Support activities for transportation,44,3302,3302,27,3652616,2816371,735903,2080468,2368921,87634,-95246,0,0
Davao Region,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Transportation and Storage,47,2674,2673,343,3022191,2597487,510285,2087201,1269194,200926,10791,0,0
Soccsksargen,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Transport via buses,4,989,988,68,1239667,1150594,195854,954740,512912,63045,5353,0,0
Soccsksargen,Other land transport,18,716,716,0,722483,660086,124417,535669,217082,72026,3887,0,0
Soccsksargen,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Support activities for transportation,20,893,893,0,692651,481296,151566,329730,398452,37869,-5292,0,0
Soccsksargen,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Transportation and Storage,18,623,620,11,453233,335691,69838,265853,210090,90014,-3332,0,0
Caraga,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Transport via buses,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Other land transport,7,201,199,0,104168,70789,15600,55189,57136,64384,0,0,0
Caraga,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Support activities for transportation,6,283,283,11,173081,96504,41941,54563,123775,36,0,0,0
Caraga,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Transportation and Storage,4,134,131,0,37424,33040,12081,20960,19455,8417,689,0,626
Autonomous Region in Muslim Mindanao,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Transport via buses,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Other land transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Sea and coastal water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Inland water transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Passenger air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Warehousing and storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Support activities for transportation,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Courier activities,0,0,0,0,0,0,0,0,0,0,0,0,0
