per_month_incident_date,incident_category,analysis_neighborhood,count,geolocation_x_axis,geolocation_y_axis
2018-03-01,Burglary,Nob Hill,1,-122.41169923333719,37.78787216759232
2018-03-01,Burglary,Nob Hill,1,-122.41024017333984,37.78901672363281
2018-03-01,Burglary,Nob Hill,1,-122.4166386980169,37.787245209374895
2018-03-01,Burglary,Nob Hill,1,-122.42011260986328,37.787757873535156
2018-03-01,Burglary,Nob Hill,4,-122.42011607573366,37.78775665157557
2018-03-01,Burglary,Nob Hill,1,-122.42176055908203,37.78754806518555
2018-03-01,Burglary,Nob Hill,1,-122.41846502787442,37.787966284910645
2018-03-01,Burglary,Nob Hill,1,-122.41836547851562,37.7874870300293
2018-03-01,Burglary,Nob Hill,1,-122.41836486841419,37.78748711637317
2018-03-01,Burglary,Nob Hill,2,-122.42176481318378,37.78706157746915
2018-03-01,Burglary,Noe Valley,2,-122.42684637612442,37.742078028383624
2018-03-01,Burglary,Noe Valley,1,-122.43125915527344,37.745033264160156
2018-03-01,Burglary,Noe Valley,1,-122.43939208984375,37.749366760253906
2018-03-01,Burglary,Noe Valley,1,-122.4425277709961,37.75238037109375
2018-03-01,Burglary,Noe Valley,1,-122.43408966064453,37.751304626464844
2018-03-01,Burglary,Noe Valley,1,-122.42884826660156,37.75483322143555
2018-03-01,Burglary,Noe Valley,1,-122.42678833007812,37.756561279296875
2018-03-01,Burglary,Noe Valley,1,-122.43439483642578,37.754493713378906
2018-03-01,Burglary,Noe Valley,1,-122.43454611117873,37.75609295477341
2018-03-01,Burglary,North Beach,1,-122.40288650206678,37.79739648082984
2018-03-01,Burglary,North Beach,3,-122.40406036376953,37.79724884033203
2018-03-01,Burglary,North Beach,1,-122.40442657470703,37.8010368347168
2018-03-01,Burglary,North Beach,1,-122.41580200195312,37.80821228027344
2018-03-01,Burglary,North Beach,1,-122.4094467163086,37.80470657348633
2018-03-01,Burglary,North Beach,2,-122.41020654508439,37.80031549840949
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.46138763427734,37.7108154296875
2018-03-01,Burglary,Oceanview/Merced/Ingleside,2,-122.46790313720703,37.709598541259766
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.46532106701022,37.71611762115738
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.45714526860372,37.71823335961878
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.45903778076172,37.714054107666016
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.44999694824219,37.719024658203125
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.46221160888672,37.72526550292969
2018-03-01,Burglary,Oceanview/Merced/Ingleside,1,-122.46221250480679,37.725265706639064
2018-03-01,Burglary,Outer Mission,1,-122.4515380859375,37.711727142333984
2018-03-01,Burglary,Outer Mission,2,-122.45153809125458,37.71172830885809
2018-03-01,Burglary,Outer Mission,1,-122.45014054028809,37.712763060557464
2018-03-01,Burglary,Outer Mission,1,-122.44609113076844,37.711592020561866
2018-03-01,Burglary,Outer Mission,1,-122.44679998143806,37.71216078012866
2018-03-01,Burglary,Outer Mission,1,-122.4366226196289,37.72542190551758
2018-03-01,Burglary,Outer Mission,1,-122.44006203468729,37.728922713693294
2018-03-01,Burglary,Outer Mission,1,-122.44306587712263,37.72498829635846
2018-03-01,Burglary,Outer Richmond,1,-122.49597201699906,37.77203201350724
2018-03-01,Burglary,Outer Richmond,1,-122.49625876462662,37.7757638039623
2018-03-01,Burglary,Outer Richmond,1,-122.48794555664062,37.779945373535156
2018-03-01,Burglary,Outer Richmond,1,-122.48231845030055,37.776399885826606
2018-03-01,Burglary,Outer Richmond,1,-122.48086010109549,37.785933962302536
2018-03-01,Burglary,Outer Richmond,2,-122.51129492624534,37.77507596005672
2018-03-01,Burglary,Pacific Heights,1,-122.4285250123337,37.78765056083807
2018-03-01,Burglary,Pacific Heights,1,-122.43035591916887,37.78836831158777
2018-03-01,Burglary,Pacific Heights,1,-122.43327331542969,37.78608703613281
2018-03-01,Burglary,Pacific Heights,1,-122.43510576955943,37.7868105415523
2018-03-01,Burglary,Pacific Heights,1,-122.43492126464844,37.7858772277832
2018-03-01,Burglary,Pacific Heights,1,-122.43491932780171,37.794266032306126
2018-03-01,Burglary,Pacific Heights,1,-122.42487189095837,37.79460729485547
2018-03-01,Burglary,Pacific Heights,1,-122.4243392944336,37.79196548461914
2018-03-01,Burglary,Pacific Heights,1,-122.42416381835938,37.791080474853516
2018-03-01,Burglary,Pacific Heights,1,-122.42598016109677,37.79175692085105
2018-03-01,Burglary,Pacific Heights,1,-122.42397496619338,37.79016047050102
2018-03-01,Burglary,Portola,1,-122.41446025314589,37.727456926929214
2018-03-01,Burglary,Portola,1,-122.41139221191406,37.73060607910156
2018-03-01,Burglary,Portola,1,-122.40947816712493,37.73125509599642
2018-03-01,Burglary,Portola,1,-122.40500937033156,37.72050867949002
2018-03-01,Burglary,Portola,1,-122.40357208251953,37.71966552734375
2018-03-01,Burglary,Portola,1,-122.4035928907734,37.7276341253869
2018-03-01,Burglary,Potrero Hill,1,-122.39859315175997,37.75368474505065
2018-03-01,Burglary,Potrero Hill,1,-122.38985954971992,37.75399971361786
2018-03-01,Burglary,Potrero Hill,2,-122.39069849493485,37.7629257461423
2018-03-01,Burglary,Potrero Hill,1,-122.39608874127984,37.75829496713925
2018-03-01,Burglary,Potrero Hill,1,-122.39918161288799,37.75985052037038
2018-03-01,Burglary,Presidio Heights,1,-122.44715118408203,37.78907012939453
2018-03-01,Burglary,Presidio Heights,1,-122.45194244384766,37.78755187988281
2018-03-01,Burglary,Presidio Heights,2,-122.45194587433278,37.78755175095027
2018-03-01,Burglary,Presidio Heights,1,-122.45477294921875,37.7862434387207
2018-03-01,Burglary,Russian Hill,1,-122.42158508300781,37.79502868652344
2018-03-01,Burglary,Russian Hill,1,-122.41845766319119,37.796275467515336
2018-03-01,Burglary,Russian Hill,1,-122.41853332519531,37.80500030517578
2018-03-01,Burglary,Russian Hill,1,-122.41853063274806,37.804999042593565
2018-03-01,Burglary,Russian Hill,1,-122.41703009398731,37.79754141761171
2018-03-01,Burglary,Russian Hill,1,-122.41703033447266,37.797542572021484
2018-03-01,Burglary,Russian Hill,1,-122.41949462890625,37.7972297668457
2018-03-01,Burglary,Russian Hill,2,-122.42290179923349,37.80155805140089
2018-03-01,Burglary,Russian Hill,1,-122.42271423339844,37.80062484741211
2018-03-01,Burglary,Russian Hill,1,-122.42271316003152,37.800624154211846
2018-03-01,Burglary,Russian Hill,1,-122.4225252159745,37.799693671684
2018-03-01,Burglary,Seacliff,1,-122.48821744658856,37.78373715070546
2018-03-01,Burglary,South of Market,1,-122.40374755859375,37.77262496948242
2018-03-01,Burglary,South of Market,1,-122.40320508205973,37.773051100635065
2018-03-01,Burglary,South of Market,1,-122.39684295654297,37.7805290222168
2018-03-01,Burglary,South of Market,2,-122.3968458230064,37.780527160091324
2018-03-01,Burglary,South of Market,1,-122.39530181884766,37.779296875
2018-03-01,Burglary,South of Market,1,-122.3953038732683,37.779296389723044
2018-03-01,Burglary,South of Market,5,-122.39706420898438,37.778751373291016
2018-03-01,Burglary,South of Market,1,-122.39498138427734,37.7770881652832
2018-03-01,Burglary,South of Market,1,-122.39875545059135,37.7765683819308
2018-03-01,Burglary,South of Market,1,-122.40460550711119,37.777699658507856
2018-03-01,Burglary,South of Market,1,-122.40238189697266,37.778602600097656
2018-03-01,Burglary,South of Market,1,-122.39859771728516,37.77997970581055
2018-03-01,Burglary,South of Market,1,-122.40571874050352,37.780878373077506
2018-03-01,Burglary,South of Market,2,-122.4087086749172,37.780971182329765
2018-03-01,Burglary,South of Market,1,-122.40928649902344,37.779659271240234
2018-03-01,Burglary,South of Market,1,-122.4076919555664,37.7801628112793
2018-03-01,Burglary,South of Market,1,-122.40769141596378,37.78016202513452
2018-03-01,Burglary,South of Market,1,-122.40701293945312,37.777400970458984
2018-03-01,Burglary,South of Market,1,-122.40938700711665,37.777977086075
