,,,,,,,,,,,,,,"Summary Statistics for Administrative and support service activities Establishments by Region and Industry Group: Philippines, 2021 by Region, Industry description, Year and Data Items"
Region,Industry description,2021 Number  of  Establishments,2021 Total Employment as of 15 November,2021 Paid Employees as of 15 November,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors as of 15 November,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions To Tangible Fixed Assets,2021 Change  in Inventories,2021 Sales from E-Commerce,2021 Subsidies
..Ilocos Region,..Activities of employment placement agencies,10,372,372,-,85562,81130,68811,12318,74231,-,4,-,-
..Ilocos Region,..Temporary employment agency activities,12,3488,3488,-,466734,443121,362406,80715,396349,-,-,-,-
..Ilocos Region,..Other human resources provision,,,,,,,,,,,,,
..Ilocos Region,..Travel agency and tour operator activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Other reservation service and related activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Private security activities,11,2034,2033,948,83264,67288,27325,39963,48360,-,520,-,-
..Ilocos Region,..Security systems service activities,,,,,,,,,,,,,
..Ilocos Region,..Investigation activities,,,,,,,,,,,,,
..Ilocos Region,..Combined facilities support activities,,,,,,,,,,,,,
..Ilocos Region,..Cleaning activities,8,1025,1024,-,35235,23183,14935,8248,28729,-,1885,-,-
..Ilocos Region,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Ilocos Region,..Office administrative and support activities,16,119,119,-,103124,110193,78108,32086,85268,2774,13,-,-
..Ilocos Region,..Call centers and other related activities,10,3022,3021,38,1555896,1271849,1044564,227285,1453091,73047,1,8659,-
..Ilocos Region,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Ilocos Region,"..Business support service activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,Administrative and support service activities,31,2694,2686,-,350359,310670,277007,33663,323957,7858,2528,57,-
..Cagayan Valley,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Cagayan Valley,..Renting and leasing of personal and household goods,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
