"Summary Statistics for Education Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number of Establishments","2021 Total Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions to Tangible Fixed Assets","2021 Change in Inventories","2021 Sales from E-commerce Transactions","2021 Subsidies"
"..Ilocos Region","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Cagayan Valley","Education",245,7929,7848,64,2704138,2448887,1680693,768194,2244771,211615,-10008,-,179084
"..Cagayan Valley","..Pre-primary/pre-school education",64,597,575,-,116929,112145,70850,41295,89426,142,-7066,-,-
"..Cagayan Valley","..Primary/elementary education",42,625,625,-,113359,104959,77148,27811,90523,4760,-1832,-,650
"..Cagayan Valley","..Secondary/High School Education",68,1754,1707,-,551883,486656,342927,143729,467781,41424,-976,-,138060
"..Cagayan Valley","..Higher education",51,4798,4786,64,1884334,1712144,1170166,541978,1566472,165289,-51,-,38688
"..Cagayan Valley","..Other education services",20,155,155,-,37633,32983,19602,13380,30570,-,-84,-,1687
"..Cagayan Valley","..Educational support services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","Education",1196,33146,32758,977,13373002,11975911,6841352,5134559,9983418,1176644,-35690,-,856928
"..Central Luzon","..Pre-primary/pre-school education",143,1677,1640,-,449470,395627,204054,191573,315436,169480,-919,-,6842
"..Central Luzon","..Primary/elementary education",302,5438,5360,29,1340534,1274624,847637,426987,1111915,474319,-12306,-,104302
"..Central Luzon","..Secondary/High School Education",393,12539,12460,486,4660772,4226400,2584337,1642062,3676809,108840,9316,-,324825
"..Central Luzon","..Higher education",214,12607,12495,462,6470093,5693702,3089020,2604682,4581813,412726,9266,-,420959
"..Central Luzon","..Other education services",143,884,804,-,452133,385559,116304,269255,297446,11280,-41046,-,-
"..Central Luzon","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..CALABARZON","Education",1590,44699,44180,1338,20794865,18645602,10126248,8519354,15258605,608958,10469,-,977385
"..CALABARZON","..Pre-primary/pre-school education",133,1303,1270,-,331364,310076,153481,156596,207081,-,-33,-,-
"..CALABARZON","..Primary/elementary education",444,5873,5747,45,1334569,1274193,818142,456051,998141,2617,4617,-,14296
"..CALABARZON","..Secondary/High School Education",627,17538,17287,242,6818060,6247703,3500978,2746725,5082186,198497,-2858,-,820073
"..CALABARZON","..Higher education",233,19096,18991,1051,11651859,10246065,5502578,4743487,8690371,407844,8592,-,143017
"..CALABARZON","..Other education services",153,888,885,-,659013,567564,151070,416495,280827,-,152,-,-
"..CALABARZON","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..MIMAROPA Region","Education",232,4573,4547,30,1004667,906329,607063,299266,803712,13756,-1762,-,140486
"..MIMAROPA Region","..Pre-primary/pre-school education",39,366,363,7,84778,74563,40609,33954,56939,-,-3739,-,-
"..MIMAROPA Region","..Primary/elementary education",56,459,454,-,68823,66796,30872,35924,37671,-,-268,-,970
"..MIMAROPA Region","..Secondary/High School Education",69,1324,1307,20,240613,239776,190278,49497,204846,4140,49,-,132604
"..MIMAROPA Region","..Higher education",45,2311,2311,-,586709,504659,336857,167802,490284,9616,2260,-,6912
"..MIMAROPA Region","..Other education services",23,114,114,3,23744,20535,8446,12089,13971,-,-65,-,-
"..MIMAROPA Region","..Educational support services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","Education",458,13185,13017,171,4945380,4300714,2364542,1936172,3644138,418039,260,-,324874
"..Bicol Region","..Pre-primary/pre-school education",76,632,625,1,84953,75749,42140,33609,60047,400,320,-,-
"..Bicol Region","..Primary/elementary education",108,1458,1445,6,231748,209180,118935,90244,171998,16600,-773,-,20073
"..Bicol Region","..Secondary/High School Education",105,2680,2680,12,807772,706338,405566,300772,657356,108161,-,-,67696
"..Bicol Region","..Higher education",121,8191,8042,152,3775013,3266902,1779778,1487124,2730162,292458,169,-,237105
"..Bicol Region","..Other education services",48,224,224,-,45893,42546,18123,24423,24576,420,544,-,-
"..Bicol Region","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Western Visayas","Education",739,18892,18580,539,7592495,6584138,3933236,2650902,5917464,620102,8802,-,322402
"..Western Visayas","..Pre-primary/pre-school education",220,2194,2078,6,512576,447151,291242,155909,423677,44021,-610,-,2835
"..Western Visayas","..Primary/elementary education",149,1659,1613,28,336524,315841,205009,110832,256734,15759,-458,-,29409
"..Western Visayas","..Secondary/High School Education",193,5074,4973,61,1441555,1355767,843489,512277,1074228,16352,-2758,-,227340
"..Western Visayas","..Higher education",103,9127,9077,444,5057741,4246992,2518767,1728224,4048409,540339,14094,-,62818
"..Western Visayas","..Other education services",74,840,840,-,244098,218387,74728,143659,114417,3631,-1466,-,-
"..Western Visayas","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Central Visayas","Education",766,26589,26434,1289,14932974,13360466,6618080,6742385,10078749,570192,-6585,26438,130793
"..Central Visayas","..Pre-primary/pre-school education",77,436,404,2,96359,99023,46418,52604,51973,4488,82,-,-
"..Central Visayas","..Primary/elementary education",123,1360,1310,-,1187958,1065508,188479,877029,487320,1472,-5574,-,6005
"..Central Visayas","..Secondary/High School Education",276,7609,7561,133,3777429,3120231,1496255,1623976,2729244,43159,-2140,-,53531
"..Central Visayas","..Higher education",118,12426,12420,1047,7795769,7137340,4036150,3101190,5657735,505850,2918,-,61952
"..Central Visayas","..Other education services",171,4759,4738,107,2075459,1938364,850778,1087587,1152477,15224,-1871,26438,9305
"..Central Visayas","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Eastern Visayas","Education",257,6160,6052,98,1677168,1541185,947531,593654,1219341,130645,8309,-,191390
"..Eastern Visayas","..Pre-primary/pre-school education",44,335,277,-,69454,60724,21020,39704,38116,650,-246,-,-
"..Eastern Visayas","..Primary/elementary education",49,494,489,-,88422,78456,53142,25314,69495,1109,46,-,-
"..Eastern Visayas","..Secondary/High School Education",74,1530,1491,29,269877,260638,159300,101338,192790,10102,821,-,118948
"..Eastern Visayas","..Higher education",60,3634,3634,69,1192184,1088505,692596,395910,881797,113052,7688,-,65520
"..Eastern Visayas","..Other education services",30,166,160,-,57232,52862,21473,31389,37143,5733,-,-,6921
"..Eastern Visayas","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Zamboanga Peninsula","Education",196,5950,5918,228,2181762,1990958,1174027,816932,1750358,502866,7448,-,315316
"..Zamboanga Peninsula","..Pre-primary/pre-school education",41,447,425,16,94348,86583,61954,24628,78955,4311,1200,-,3273
"..Zamboanga Peninsula","..Primary/elementary education",34,497,497,-,128404,113602,89133,24469,108136,407,460,-,-
"..Zamboanga Peninsula","..Secondary/High School Education",38,1261,1256,-,463320,452688,241231,211457,305536,173754,138,-,37963
"..Zamboanga Peninsula","..Higher education",64,3642,3642,210,1466648,1311244,774055,537189,1236747,324394,5377,-,269095
"..Zamboanga Peninsula","..Other education services",19,103,97,2,29042,26842,7653,19189,20984,-,274,-,4986
"..Zamboanga Peninsula","..Educational support services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","Education",424,9898,9379,110,3811322,3347262,1930369,1416893,2859117,629253,5532,-,143184
"..Northern Mindanao","..Pre-primary/pre-school education",55,401,366,-,58601,54021,32539,21482,45594,-,33,-,-
"..Northern Mindanao","..Primary/elementary education",92,889,751,-,134530,122729,84896,37833,100294,-,47,-,-
"..Northern Mindanao","..Secondary/High School Education",146,3401,3118,30,892792,796714,553294,243420,676067,58330,493,-,85149
"..Northern Mindanao","..Higher education",86,4777,4717,80,2552035,2210546,1171882,1038663,1932105,566937,6822,-,58035
"..Northern Mindanao","..Other education services",45,430,427,-,173364,163252,87758,75495,105058,3986,-1862,-,-
"..Northern Mindanao","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Davao Region","Education",439,14127,13973,483,6701078,5879306,3331114,2548192,5167820,204809,-27755,-,172028
"..Davao Region","..Pre-primary/pre-school education",60,431,406,-,68425,62817,40487,22330,53469,-,-,-,21375
"..Davao Region","..Primary/elementary education",97,1113,1083,14,254210,259766,154858,104908,193991,-,-30,-,-
"..Davao Region","..Secondary/High School Education",107,3241,3218,55,1136387,988715,642700,346015,938540,10787,-3060,-,86492
"..Davao Region","..Higher education",124,8960,8883,407,5103017,4432152,2404788,2027364,3883073,194022,-24585,-,61991
"..Davao Region","..Other education services",50,382,382,7,139039,135857,88280,47576,98747,-,-80,-,2170
"..Davao Region","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..SOCCSKSARGEN","Education",345,9591,9384,189,4120076,3634592,1894931,1739661,2853267,171988,-40249,-,313060
"..SOCCSKSARGEN","..Pre-primary/pre-school education",47,340,303,4,65302,67938,30663,37276,33112,4000,414,-,-
"..SOCCSKSARGEN","..Primary/elementary education",79,1011,978,57,358857,321920,160646,161274,231678,2278,-3638,-,-
"..SOCCSKSARGEN","..Secondary/High School Education",114,2673,2563,25,691135,674778,389975,284802,510910,114132,207,-,187006
"..SOCCSKSARGEN","..Higher education",79,5412,5391,103,2937650,2514597,1285781,1228816,2033686,45370,-37163,-,126053
"..SOCCSKSARGEN","..Other education services",26,155,149,-,67132,55360,27867,27493,43880,6208,-70,-,-
"..SOCCSKSARGEN","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Caraga","Education",181,4866,4821,81,1696780,1548652,796873,751779,1199895,122881,-7062,-,369068
"..Caraga","..Pre-primary/pre-school education",52,428,413,4,85432,81713,57686,24027,67618,2297,-1180,-,3211
"..Caraga","..Primary/elementary education",24,258,235,-,41534,39056,25335,13721,29407,28,289,-,-
"..Caraga","..Secondary/High School Education",45,1116,1116,-,345172,293046,171134,121912,272348,93137,2,-,132354
"..Caraga","..Higher education",47,3022,3016,77,1214196,1125191,537748,587442,823843,27418,-6174,-,233504
"..Caraga","..Other education services",13,42,42,-,10445,9646,4970,4676,6679,-,-,-,-
"..Caraga","..Educational support services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","Education",117,3835,3792,50,593859,552933,384292,168641,450250,38462,-227,-,52504
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Pre-primary/pre-school education",5,57,57,-,7593,6805,3714,3092,5084,-,-,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Primary/elementary education",47,717,689,-,26390,25204,18369,6835,20828,13000,87,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Secondary/High School Education",33,1022,1017,-,198107,180484,127287,53197,154516,-,-36,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Higher education",28,1986,1986,50,356838,335782,231013,104769,265546,25462,-264,-,52504
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Other education services",4,53,44,-,4930,4658,3910,747,4276,-,-13,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
